series,gamma_initial_prime,tau_gamma_f_t,y,z,distance_to_final,provenance
colder_0.02,0.02,0.0,0.03757174604697265,-0.0007514349209393201,0.9973099871376317,independent_matrix_exponential
colder_0.02,0.02,0.01,0.03720459332160378,-0.019337130824782722,0.9787431894480121,independent_matrix_exponential
colder_0.02,0.02,0.02,0.03685330726569101,-0.037576916828233276,0.9605225181253418,independent_matrix_exponential
colder_0.02,0.02,0.03,0.03651750268937802,-0.05547722493857832,0.9426415304452569,independent_matrix_exponential
colder_0.02,0.02,0.04,0.036196802462309496,-0.07304436762265876,0.9250939034898478,independent_matrix_exponential
colder_0.02,0.02,0.05,0.03589083735488134,-0.09028454002796626,0.9078734319209033,independent_matrix_exponential
colder_0.02,0.02,0.06,0.0355992458825304,-0.10720382216247615,0.8909740257945331,independent_matrix_exponential
colder_0.02,0.02,0.07,0.03532167415300563,-0.12380818103398705,0.8743897084163896,independent_matrix_exponential
colder_0.02,0.02,0.08,0.03505777571656525,-0.1401034727497137,0.8581146142367463,independent_matrix_exponential
colder_0.02,0.02,0.09,0.03480721141904365,-0.15609544457687607,0.8421429867846831,independent_matrix_exponential
colder_0.02,0.02,0.1,0.03456964925773508,-0.17178973696500643,0.8264691766406582,independent_matrix_exponential
colder_0.02,0.02,0.11,0.034344764240039696,-0.1871918855306861,0.8110876394467502,independent_matrix_exponential
colder_0.02,0.02,0.12,0.03413223824482078,-0.20230732300541177,0.7959929339538699,independent_matrix_exponential
colder_0.02,0.02,0.13,0.03393175988642135,-0.21714138114727244,0.7811797201052593,independent_matrix_exponential
colder_0.02,0.02,0.14,0.03374302438129009,-0.23169929261711386,0.7666427571555973,independent_matrix_exponential
colder_0.02,0.02,0.15,0.03356573341716739,-0.24598619281984602,0.7523769018250576,independent_matrix_exponential
colder_0.02,0.02,0.16,0.03339959502478291,-0.26000712171154383,0.7383771064876626,independent_matrix_exponential
colder_0.02,0.02,0.17,0.03324432345201746,-0.27376702557297505,0.7246384173933021,independent_matrix_exponential
colder_0.02,0.02,0.18,0.03309963904048229,-0.2872707587501804,0.7111559729227866,independent_matrix_exponential
colder_0.02,0.02,0.19,0.03296526810447048,-0.3005230853627163,0.6979250018753251,independent_matrix_exponential
colder_0.02,0.02,0.2,0.03284094281223508,-0.3135286809801633,0.6849408217878217,independent_matrix_exponential
colder_0.02,0.02,0.21,0.032726401069550666,-0.3262921342674855,0.6721988372854039,independent_matrix_exponential
colder_0.02,0.02,0.22,0.03262138640551427,-0.3388179485998255,0.6596945384625978,independent_matrix_exponential
colder_0.02,0.02,0.23,0.03252564786054412,-0.3511105436472973,0.6474234992945848,independent_matrix_exponential
colder_0.02,0.02,0.24,0.032438939876534255,-0.36317425693033756,0.6353813760779773,independent_matrix_exponential
colder_0.02,0.02,0.25,0.032361022189123914,-0.3750133453461607,0.6235639059005694,independent_matrix_exponential
colder_0.02,0.02,0.26,0.032291659722042315,-0.38663198666685616,0.6119669051395193,independent_matrix_exponential
colder_0.02,0.02,0.27,0.03223062248348906,-0.39803428100965266,0.6005862679874387,independent_matrix_exponential
colder_0.02,0.02,0.28,0.03217768546451171,-0.4092242522798676,0.5894179650058698,independent_matrix_exponential
colder_0.02,0.02,0.29,0.03213262853934292,-0.420205849587049,0.5784580417056413,independent_matrix_exponential
colder_0.02,0.02,0.3,0.032095236367659645,-0.430982948634809,0.567702617153601,independent_matrix_exponential
colder_0.02,0.02,0.31,0.03206529829872844,-0.44155935308483407,0.5571478826052418,independent_matrix_exponential
colder_0.02,0.02,0.32,0.032042608277400665,-0.45193879589555597,0.5467901001627321,independent_matrix_exponential
colder_0.02,0.02,0.33,0.03202696475192299,-0.462124940635952,0.5366256014578844,independent_matrix_exponential
colder_0.02,0.02,0.34,0.032018170583528384,-0.4721213827749361,0.5266507863595954,independent_matrix_exponential
colder_0.02,0.02,0.35000000000000003,0.03201603295777416,-0.4819316509467957,0.5168621217053054,independent_matrix_exponential
colder_0.02,0.02,0.36,0.03202036329759363,-0.49155920819311827,0.5072561400560283,independent_matrix_exponential
colder_0.02,0.02,0.37,0.03203097717802931,-0.5010074531816443,0.49782943847451694,independent_matrix_exponential
colder_0.02,0.02,0.38,0.032047694242615214,-0.5102797214024769,0.48857867732613064,independent_matrix_exponential
