coordinate_um,x_profile,y_profile
-300.0,1.2166792355322976e-69,1.5649808782165134e-18
-299.0,3.498183083685353e-69,2.0559590950734644e-18
-298.0,1.0022533900151091e-68,2.6985112098971922e-18
-297.0,2.861416597385446e-68,3.538655671070424e-18
-296.0,8.140539902258537e-68,4.6361417627697795e-18
-295.0,2.307777242576718e-67,6.06847310108945e-18
-294.0,6.519332368734038e-67,7.936088050807211e-18
-293.0,1.8351895125217796e-66,1.0369023207833375e-17
-292.0,5.147866479934599e-66,1.3535476144577473e-17
-291.0,1.438938355147698e-65,1.765279799361963e-17
-290.0,4.007981084694863e-65,2.3001591569973848e-17
-289.0,1.1124428192634602e-64,2.9943774678254104e-17
-288.0,3.0767930810991745e-64,3.89457011609363e-17
-287.0,8.47983580309602e-64,5.060772684479222e-17
-286.0,2.32886951070891e-63,6.570197978692867e-17
-285.0,6.373403680818237e-63,8.522056408323331e-17
-284.0,1.738065975880341e-62,1.1043701896097298e-16
-283.0,4.723127272959729e-62,1.4298460114246642e-16
-282.0,1.2789736546743303e-61,1.8495589748462288e-16
-281.0,3.451136271359823e-61,2.3902945521936926e-16
-280.0,9.279641044743566e-61,3.086305991957476e-16
-279.0,2.4863874533954796e-60,3.9813546454877474e-16
-278.0,6.638576948277725e-60,5.131296026153384e-16
-277.0,1.7662401015528268e-59,6.607354336257973e-16
-276.0,4.682664553376566e-59,8.50026465452984e-16
-275.0,1.2371003056191037e-58,1.0925507514793882e-15
-274.0,3.256756885426396e-58,1.4029917425958671e-15
-273.0,8.543470521681573e-58,1.8000017704692647e-15
-272.0,2.2333247046108466e-57,2.307252217195292e-15
-271.0,5.817521195341924e-57,2.9547553941005258e-15
-270.0,1.5100545558584652e-56,3.780526779330644e-15
-269.0,3.9058527020536563e-56,4.832673176696175e-15
-268.0,1.0067175593611664e-55,6.172013327040027e-15
-267.0,2.5856395720083223e-55,7.875363473068832e-15
-266.0,6.617544758516186e-55,1.0039652507428055e-14
-265.0,1.687696494859065e-54,1.278707103997442e-14
-264.0,4.2890426900584866e-54,1.627150773812832e-14
-263.0,1.086162860851758e-53,2.0686586742590222e-14
