theta_case,phi_rad,state,probability
pi_over_2,-3.141592653589793,20,0.4999999999999996
pi_over_2,-3.141592653589793,11,0.0
pi_over_2,-3.141592653589793,02,0.4999999999999996
pi_over_2,-3.12413936106985,20,0.4998477067547736
pi_over_2,-3.12413936106985,11,0.00030458649045213255
pi_over_2,-3.12413936106985,02,0.4998477067547736
pi_over_2,-3.1066860685499065,20,0.49939101256495566
pi_over_2,-3.1066860685499065,11,0.0012179748700878882
pi_over_2,-3.1066860685499065,02,0.49939101256495566
pi_over_2,-3.0892327760299634,20,0.49863047384206804
pi_over_2,-3.0892327760299634,11,0.002739052315863329
pi_over_2,-3.0892327760299634,02,0.49863047384206804
pi_over_2,-3.07177948351002,20,0.49756701718539204
pi_over_2,-3.07177948351002,11,0.004865965629214872
pi_over_2,-3.07177948351002,02,0.49756701718539204
pi_over_2,-3.0543261909900767,20,0.4962019382530517
pi_over_2,-3.0543261909900767,11,0.007596123493895974
pi_over_2,-3.0543261909900767,02,0.4962019382530517
pi_over_2,-3.036872898470133,20,0.494536900183451
pi_over_2,-3.036872898470133,11,0.010926199633097239
pi_over_2,-3.036872898470133,02,0.494536900183451
pi_over_2,-3.01941960595019,20,0.49257393156899876
pi_over_2,-3.01941960595019,11,0.014852136862001776
pi_over_2,-3.01941960595019,02,0.49257393156899876
pi_over_2,-3.0019663134302466,20,0.4903154239845792
pi_over_2,-3.0019663134302466,11,0.019369152030840636
pi_over_2,-3.0019663134302466,02,0.4903154239845794
pi_over_2,-2.9845130209103035,20,0.48776412907378797
pi_over_2,-2.9845130209103035,11,0.02447174185242323
pi_over_2,-2.9845130209103035,02,0.48776412907378813
pi_over_2,-2.9670597283903604,20,0.48492315519647666
pi_over_2,-2.9670597283903604,11,0.030153689607045772
pi_over_2,-2.9670597283903604,02,0.48492315519647666
pi_over_2,-2.949606435870417,20,0.4817959636416963
pi_over_2,-2.949606435870417,11,0.03640807271660635
pi_over_2,-2.949606435870417,02,0.48179596364169647
pi_over_2,-2.9321531433504737,20,0.4783863644106497
pi_over_2,-2.9321531433504737,11,0.04322727117869953
pi_over_2,-2.9321531433504737,02,0.47838636441064986
pi_over_2,-2.91469985083053,20,0.4746985115747913
pi_over_2,-2.91469985083053,11,0.05060297685041657
pi_over_2,-2.91469985083053,02,0.4746985115747915
pi_over_2,-2.897246558310587,20,0.4707368982147312
pi_over_2,-2.897246558310587,11,0.058526203570536506
pi_over_2,-2.897246558310587,02,0.47073689821473136
pi_over_2,-2.8797932657906435,20,0.46650635094610915
