displacement_um,field_v_m,excess_energy_mk,density_cm3,density_over_peak,classical_rate_s,classical_survival,parameter_status
-25.0,-6.317856698978956,404.57339330632647,207478155.68203878,0.0012967384730127424,6.147602980974545e-08,0.9999999877047941,printed_shape_reconstructed_peak_density
-24.8,-6.267313845387125,398.12611171059694,226708210.86893532,0.0014169263179308457,7.427968038199777e-08,0.9999999851440641,printed_shape_reconstructed_peak_density
-24.6,-6.216770991795294,391.73061550921057,247573277.1794716,0.0015473329823716977,8.965169174135833e-08,0.9999999820696618,printed_shape_reconstructed_peak_density
-24.4,-6.166228138203461,385.38690470216727,270197873.4600534,0.0016887367091253337,1.0808659776090177e-07,0.9999999783826807,printed_shape_reconstructed_peak_density
-24.2,-6.11568528461163,379.0949792894674,294714655.5478527,0.0018419665971740793,1.3016995661798084e-07,0.999999973966009,printed_shape_reconstructed_peak_density
-24.0,-6.065142431019799,372.8548392711107,321264829.9969676,0.0020079051874810475,1.5659428414127663e-07,0.9999999686811437,printed_shape_reconstructed_peak_density
-23.8,-6.014599577427967,366.66648464709704,349998578.909261,0.002187491118182881,1.881776222518443e-07,0.9999999623644763,printed_shape_reconstructed_peak_density
-23.6,-5.964056723836135,360.52991541742665,381075495.29408693,0.0023817218455880434,2.2588515069513027e-07,0.9999999548229709,printed_shape_reconstructed_peak_density
-23.4,-5.913513870244303,354.4451315820994,414665028.2832487,0.0025916564267703043,2.708543087895195e-07,0.9999999458291398,printed_shape_reconstructed_peak_density
-23.2,-5.862971016652472,348.4121331411156,450946937.4243141,0.002818418358901963,3.2442396008053526e-07,0.9999999351152101,printed_shape_reconstructed_peak_density
-23.0,-5.812428163060641,342.43092009447486,490111755.16675466,0.0030631984697922165,3.8816820747016906e-07,0.9999999223663615,printed_shape_reconstructed_peak_density
-22.8,-5.761885309468808,336.50149244217727,532361256.54145575,0.0033272578533840983,4.6393555055599996e-07,0.9999999072128942,printed_shape_reconstructed_peak_density
-22.6,-5.711342455876978,330.6238501842231,577908934.9152527,0.0036119308432203292,5.538941716254989e-07,0.9999998892211718,printed_shape_reconstructed_peak_density
-22.4,-5.660799602285146,324.7979933206119,626980482.5782169,0.003918628016113855,6.605842431665e-07,0.9999998678831601,printed_shape_reconstructed_peak_density
-22.2,-5.610256748693313,319.0239218513439,679814274.7931151,0.00424883921745697,7.86978269141801e-07,0.9999998426043586,printed_shape_reconstructed_peak_density
-22.0,-5.559713895101482,313.3016357764193,736661855.8037084,0.004604136598773178,9.365506060130161e-07,0.9999998126898964,printed_shape_reconstructed_peak_density
-21.8,-5.509171041509651,307.6311350958379,797788425.1619778,0.004986177657262361,1.1133574590868825e-06,0.999999777328533,printed_shape_reconstructed_peak_density
-21.6,-5.458628187917818,302.01241980959946,863473322.5943618,0.005396708266214761,1.322128816825548e-06,0.9999997355742716,printed_shape_reconstructed_peak_density
-21.4,-5.408085334325987,296.4454899177045,934010509.4839954,0.005837565684274971,1.5683739720767839e-06,0.9999996863252548,printed_shape_reconstructed_peak_density
-21.2,-5.357542480734155,290.9303454201526,1009709044.9005324,0.006310681530628327,1.8585024866529248e-06,0.9999996282995718,printed_shape_reconstructed_peak_density
-21.0,-5.306999627142324,285.4669863169441,1090893553.9618092,0.0068180847122613075,2.1999626863842036e-06,0.9999995600075595,printed_shape_reconstructed_peak_density
-20.8,-5.256456773550492,280.0554126080786,1177904686.1631124,0.007361904288519452,2.60140002992301e-06,0.9999994797201294,printed_shape_reconstructed_peak_density
-20.6,-5.205913919958661,274.6956242935564,1271099561.1610708,0.007944372257256693,3.0728379785843985e-06,0.9999993854325931,printed_shape_reconstructed_peak_density
-20.4,-5.155371066366829,269.3876213733774,1370852199.3504705,0.00856782624594044,3.6258843089603055e-06,0.9999992748234011,printed_shape_reconstructed_peak_density
-20.2,-5.104828212774998,264.13140384754166,1477553934.4252276,0.009234712090157672,4.273966157725284e-06,0.9999991452071338,printed_shape_reconstructed_peak_density
-20.0,-5.054285359183166,258.9269717160491,1591613804.9694157,0.009947586281058848,5.032597471946411e-06,0.9999989934810122,printed_shape_reconstructed_peak_density
-19.8,-5.003742505591334,253.7743249788996,1713458921.9822845,0.010709118262389279,5.919682961531126e-06,0.9999988160641086,printed_shape_reconstructed_peak_density
-19.6,-4.953199651999503,248.67346363609352,1843534809.1033885,0.011522092556896178,6.955863116637891e-06,0.9999986088283443,printed_shape_reconstructed_peak_density
