track,target_real,target_imag,radius,site_count,boundary_length,inverse_boundary_length,eigenvalue_real,eigenvalue_imag,target_distance,normalized_residual,gaussian_amplitude,gaussian_center,gaussian_sigma,kappa,gaussian_r_squared,fit_point_count
lower,1.3,0.4,40,3281,40,0.025,1.3108756699960422,0.3907601365581359,0.014270783940874058,9.16715181142623e-16,1.0776430187870198,-6.524852703695964,4.967122331410129,0.020265638540622185,0.9899333440269222,23
lower,1.3,0.4,42,3613,42,0.023809523809523808,1.2992986214511675,0.4085240743581483,0.008552881124627158,9.217481790230876e-16,1.0735554280276873,-7.74278805877686,5.052688009399597,0.019585065997102347,0.992441664409957,24
lower,1.3,0.4,45,4141,45,0.022222222222222223,1.294777571202467,0.40906573795081436,0.010462378655838177,7.358464934456031e-16,1.092260050586969,-8.485891636009068,5.207539605854281,0.018437619198679,0.9923443257175296,25
lower,1.3,0.4,48,4705,48,0.020833333333333332,1.2908200264371812,0.40955325966615913,0.01324902580807795,8.252268439278805e-16,1.0614143692060327,-9.09216947089459,5.417750937550107,0.017034599698992358,0.993530099285903,25
lower,1.3,0.4,52,5513,52,0.019230769230769232,1.292189558697918,0.39641492485785357,0.008593937229704793,7.957165610788969e-16,1.0805781677996495,-9.423638700739206,5.629349116402825,0.01577806125919948,0.9921694080152934,27
lower,1.3,0.4,56,6385,56,0.017857142857142856,1.2936063885354498,0.38517422885390495,0.016145642063294132,1.1825563444227764e-15,1.0457812033416962,-9.597964225234815,5.902404828812316,0.014351986525859645,0.9926529398933877,28
lower,1.3,0.4,60,7321,60,0.016666666666666666,1.3115323812603155,0.40533428946764116,0.012706315817649952,9.456987953423066e-16,1.0497665974463402,-10.464462243714436,6.166462889492818,0.013149152430288445,0.9933076384950718,29
lower,1.3,0.4,65,8581,65,0.015384615384615385,1.300538776590688,0.41703453438911103,0.01704305260416921,1.2096424087839132e-15,1.0661392448541653,-12.452808552834828,6.356856072675953,0.012373291577120419,0.9943208299924235,31
lower,1.3,0.4,70,9941,70,0.014285714285714285,1.3046061685017378,0.3967667634893941,0.005627664400078992,7.405237345503341e-16,1.0602539213965207,-12.159337695111768,6.634743660513112,0.01135851897891742,0.993116682497377,32
lower,1.3,0.4,75,11401,75,0.013333333333333334,1.2953675003950211,0.4074890649497431,0.00880602898085168,8.437435808688119e-16,1.0463355897626068,-14.021840654851223,6.866869294674477,0.010603578167962209,0.9949141137876398,33
lower,1.3,0.4,80,12961,80,0.0125,1.299381999887168,0.3902806713615169,0.009738956480152204,1.0325923887787065e-15,1.0350046164697213,-13.713590960558271,7.130715996262174,0.009833400441238269,0.994234343273816,34
lower,1.3,0.4,85,14621,85,0.011764705882352941,1.2914017201138923,0.4000720904571487,0.008598582094383739,8.3060770694586e-16,1.034610949657495,-15.587960676443391,7.344364915734619,0.009269611008867492,0.9955318879027258,35
lower,1.3,0.4,90,16381,90,0.011111111111111112,1.306022160370186,0.4051176484381734,0.007902957741312864,1.0200353970590859e-15,1.0311038896461306,-15.836142977572264,7.614728806292976,0.008623054335531599,0.9954271373629767,36
lower,1.3,0.4,95,18241,95,0.010526315789473684,1.2876179187218484,0.39689414066758416,0.012765668763190923,9.668344284642856e-16,1.0365531587636143,-17.137518408919973,7.730195355904657,0.00836737176815395,0.9953531541554796,36
lower,1.3,0.4,100,20201,100,0.01,1.2995419691484944,0.3992064262000773,0.0009162705041933774,6.916929089746447e-16,1.177049730284324,-17.08905016617681,9.696301954986295,0.005318115207596757,0.910839700369904,45
main,1.5,0.5,40,3281,40,0.025,1.5220056415258472,0.5011877931378781,0.02203767482069012,1.7467458340146932e-15,1.0167557907925655,-3.286085176326462,5.566396779413853,0.016136958572896362,0.9839438044512465,25
main,1.5,0.5,42,3613,42,0.023809523809523808,1.500449661223783,0.5104778003396816,0.01048744464464084,1.6745543518309455e-15,1.0786552513576066,-4.977849768441976,5.521122053089303,0.016402698733011395,0.9797799211224186,26
main,1.5,0.5,45,4141,45,0.022222222222222223,1.4836999624317697,0.5041065537627248,0.016809372639449344,1.4491517694591656e-15,1.0291503030340654,-5.5331281934146626,5.750376740191216,0.015120891838351448,0.986631019586585,26
main,1.5,0.5,48,4705,48,0.020833333333333332,1.5081312601383976,0.4952573564297881,0.009413291638548454,1.831607323385735e-15,1.0237754116344577,-4.518706581166788,6.0422317504596945,0.013695416582054719,0.9833053134434995,28
main,1.5,0.5,52,5513,52,0.019230769230769232,1.5103635053777076,0.5082365292094378,0.013237924955660417,9.876933209414752e-16,1.0224905681274457,-5.359776330339546,6.3164217137552505,0.012532213030339669,0.9856172873777385,29
main,1.5,0.5,56,6385,56,0.017857142857142856,1.4981002853047254,0.490997420757386,0.009200834143869059,1.835032198015414e-15,1.0804471930219366,-5.683406568903762,6.43507357906097,0.012074328027114717,0.9806554627815729,30
main,1.5,0.5,60,7321,60,0.016666666666666666,1.5007691768356353,0.5026370989516732,0.0027469845076726796,1.2288263047735446e-15,1.06311614466701,-6.534932604315805,6.6915653073562105,0.011166435522958493,0.9831017765104008,31
