delta,radius,site_count,inverse_boundary_length,mean_absolute_difference,realization_standard_deviation,realization_standard_error,realization_count,probe_count_per_realization
0.0,30,1861,0.03333333333333333,0.057261157322496634,0.0,0.0,1,25
0.0,34,2381,0.029411764705882353,0.06186306134538427,0.0,0.0,1,25
0.0,38,2965,0.02631578947368421,0.0653578433054543,0.0,0.0,1,25
0.0,42,3613,0.023809523809523808,0.06811689756378268,0.0,0.0,1,25
0.0,46,4325,0.021739130434782608,0.0703521017087645,0.0,0.0,1,25
0.0,50,5101,0.02,0.07221285292510828,0.0,0.0,1,25
0.0,55,6161,0.01818181818181818,0.07408651189499477,0.0,0.0,1,25
0.0,60,7321,0.016666666666666666,0.07559035313142885,0.0,0.0,1,25
0.0,65,8581,0.015384615384615385,0.0767948974812,0.0,0.0,1,25
0.0,70,9941,0.014285714285714285,0.07782385417479022,0.0,0.0,1,25
0.0,75,11401,0.013333333333333334,0.07880459879734636,0.0,0.0,1,25
0.0,80,12961,0.0125,0.08004153648604502,0.0,0.0,1,25
0.0,85,14621,0.011764705882352941,0.08176201971129088,0.0,0.0,1,25
0.0,90,16381,0.011111111111111112,0.08385971839250012,0.0,0.0,1,25
0.0,100,20201,0.01,0.08880222521819253,0.0,0.0,1,25
0.05,30,1861,0.03333333333333333,0.12559495192537043,0.002791627754939171,0.0016117470357913612,3,25
0.05,34,2381,0.029411764705882353,0.1403201017158273,0.001452175654073613,0.0008384140047900214,3,25
0.05,38,2965,0.02631578947368421,0.14868462701013038,0.005429023191733726,0.003134448001184188,3,25
0.05,42,3613,0.023809523809523808,0.16087223394228914,0.0010140769808809251,0.0005854776178906052,3,25
0.05,46,4325,0.021739130434782608,0.16822888022379398,0.0021270812074060514,0.001228070907684078,3,25
0.05,50,5101,0.02,0.1756830411047138,0.0007147945026209872,0.0004126867985034916,3,25
0.05,55,6161,0.01818181818181818,0.180880264302517,0.00019274289967222415,0.00011128016501014765,3,25
0.05,60,7321,0.016666666666666666,0.18763982939900292,0.00046405370135954403,0.000267921529398375,3,25
0.05,65,8581,0.015384615384615385,0.1941236567647373,0.0006324862855374279,0.0003651661272137805,3,25
0.05,70,9941,0.014285714285714285,0.19771044219638426,0.001169540583014229,0.0006752345704314571,3,25
0.05,75,11401,0.013333333333333334,0.2018128999045314,0.0011797827808966836,0.0006811479061359856,3,25
0.05,80,12961,0.0125,0.20551469697060729,0.0007875547508837564,0.00045469494742430547,3,25
0.05,85,14621,0.011764705882352941,0.2086935465541978,0.000652541493018099,0.00037674500665139975,3,25
0.05,90,16381,0.011111111111111112,0.2112640900083037,0.0007738720547707492,0.0004467952391402209,3,25
0.05,100,20201,0.01,0.21629915509933642,0.00048319529125898477,0.0002789729314795345,3,25
0.1,30,1861,0.03333333333333333,0.14000418379946503,0.002747149167502347,0.0015860673113615364,3,25
0.1,34,2381,0.029411764705882353,0.15247240968523007,0.002227173929324382,0.0012858594676275485,3,25
0.1,38,2965,0.02631578947368421,0.16233400387024025,0.0011907899700294654,0.0006875029097448183,3,25
0.1,42,3613,0.023809523809523808,0.17003185164131304,0.0017305048922812566,0.0009991074653925478,3,25
0.1,46,4325,0.021739130434782608,0.17871400511412902,0.0021989296603336494,0.0012695526313226848,3,25
0.1,50,5101,0.02,0.18407953575066738,0.0005961562570812405,0.000344190975504934,3,25
0.1,55,6161,0.01818181818181818,0.1911449810221716,0.0016949069535597838,0.0009785549858891097,3,25
0.1,60,7321,0.016666666666666666,0.19662337105588143,0.0009178046539726237,0.0005298947640345856,3,25
0.1,65,8581,0.015384615384615385,0.20117087126795075,0.001199340635794219,0.0006924396389258493,3,25
0.1,70,9941,0.014285714285714285,0.20536394193867835,0.0006920440661090537,0.0003995518278591454,3,25
0.1,75,11401,0.013333333333333334,0.20852100176642951,0.0007812681909420361,0.0004510654003496765,3,25
0.1,80,12961,0.0125,0.21191351665925176,0.0004396066342530834,0.00025380700862356306,3,25
0.1,85,14621,0.011764705882352941,0.21454375450467097,0.00032299313690448936,0.00018648017453820858,3,25
0.1,90,16381,0.011111111111111112,0.21723627170681784,0.000708597541383813,0.00040910898126505146,3,25
0.1,100,20201,0.01,0.2215052671810719,0.0008072092965833203,0.00046604250467474845,3,25
0.15,30,1861,0.03333333333333333,0.14518583926831982,0.001342981025372399,0.0007753704565153143,3,25
0.15,34,2381,0.029411764705882353,0.16076845479903504,0.0007648077102757432,0.0004415619374060017,3,25
0.15,38,2965,0.02631578947368421,0.1707981236071943,0.0005799796396903327,0.0003348514010997158,3,25
0.15,42,3613,0.023809523809523808,0.17712213357836418,0.0023121033939883726,0.0013348935169134343,3,25
0.15,46,4325,0.021739130434782608,0.18489886568349187,0.0021660957035500587,0.0012505959375351183,3,25
0.15,50,5101,0.02,0.189932653641692,0.00046016207405239737,0.00026567469732500815,3,25
0.15,55,6161,0.01818181818181818,0.19451144346694157,0.0009788383218118626,0.0005651325685912005,3,25
0.15,60,7321,0.016666666666666666,0.20210693217748443,0.0004740173515424811,0.00027367404551360494,3,25
0.15,65,8581,0.015384615384615385,0.20595934493755208,0.0008733485367854987,0.0005042280128094734,3,25
0.15,70,9941,0.014285714285714285,0.2090171063271933,0.0005903844036059549,0.0003408585943472547,3,25
0.15,75,11401,0.013333333333333334,0.21283891796057675,0.0005949267437720505,0.0003434811156649009,3,25
0.15,80,12961,0.0125,0.21597280958596973,0.0006936874499361189,0.0004005006359540833,3,25
0.15,85,14621,0.011764705882352941,0.2180454880607606,0.0001930937470684714,0.00011148272684881548,3,25
0.15,90,16381,0.011111111111111112,0.22015151697751123,0.0008504722927280699,0.0004910204071448694,3,25
0.15,100,20201,0.01,0.22484605748820918,0.0001126063956298805,6.5013332829385e-05,3,25
0.2,30,1861,0.03333333333333333,0.15364828193472868,0.002557315197242807,0.0014764666175308555,3,25
0.2,34,2381,0.029411764705882353,0.1650450157043719,0.0019230096977619882,0.0011102501666571448,3,25
0.2,38,2965,0.02631578947368421,0.17292856887394445,0.0005019129513831519,0.00028977957759082233,3,25
0.2,42,3613,0.023809523809523808,0.18240193281392092,0.0004961922121526482,0.00028647670725612733,3,25
0.2,46,4325,0.021739130434782608,0.1895169027836953,0.0002851557993934411,0.00016463477754078613,3,25
0.2,50,5101,0.02,0.19310466829027553,0.0009740499375095609,0.0005623679936252832,3,25
0.2,55,6161,0.01818181818181818,0.2002272846353347,0.0007025998858220418,0.0004056462332119562,3,25
0.2,60,7321,0.016666666666666666,0.2046416344658503,0.0006684638048800545,0.00038593775769102097,3,25
0.2,65,8581,0.015384615384615385,0.20946640386951432,0.00028693193691855026,0.00016566023101902572,3,25
0.2,70,9941,0.014285714285714285,0.21338487986925672,0.0007253277052677812,0.00041876814588704704,3,25
0.2,75,11401,0.013333333333333334,0.21587110207903648,0.0006165820374245121,0.00035598380528453,3,25
0.2,80,12961,0.0125,0.21914227888517743,0.0004943673398742325,0.0002854231167549474,3,25
0.2,85,14621,0.011764705882352941,0.22180846061889214,0.0010448729043244476,0.000603257652580666,3,25
0.2,90,16381,0.011111111111111112,0.22358414081924796,0.0003489061317233744,0.00020144104907240124,3,25
0.2,100,20201,0.01,0.22721507882243017,6.0343626629769525e-05,3.4839409078575704e-05,3,25
0.25,30,1861,0.03333333333333333,0.15933843098318398,0.0021346021530072204,0.0012324131276514735,3,25
0.25,34,2381,0.029411764705882353,0.169707075334116,0.002813186190642396,0.0016241938044479253,3,25
0.25,38,2965,0.02631578947368421,0.17832570022182861,0.0009747736502698826,0.0005627858293822709,3,25
0.25,42,3613,0.023809523809523808,0.18504839061715037,0.001544377449697212,0.0008916467363130731,3,25
0.25,46,4325,0.021739130434782608,0.19171968903601608,0.0003479971795599584,0.00020091626529617252,3,25
0.25,50,5101,0.02,0.19844705491177886,0.001243600752504333,0.0007179932292227979,3,25
0.25,55,6161,0.01818181818181818,0.20316374227034728,0.0008119124625926403,0.0004687578788362729,3,25
0.25,60,7321,0.016666666666666666,0.2073554758838985,0.0008491524316708808,0.0004902583850082084,3,25
0.25,65,8581,0.015384615384615385,0.21272516882695716,0.00026938443913934447,0.0001555291784525969,3,25
0.25,70,9941,0.014285714285714285,0.21549088102867256,0.0003370479844210976,0.0001945947445353415,3,25
0.25,75,11401,0.013333333333333334,0.2190064891465083,0.0006111937127980659,0.0003528728546109702,3,25
0.25,80,12961,0.0125,0.2215364531615095,0.00047491585955776835,0.0002741927993581001,3,25
0.25,85,14621,0.011764705882352941,0.22434266316308782,0.0008216081310345295,0.00047435567562117097,3,25
0.25,90,16381,0.011111111111111112,0.2259714315689468,0.00029356791699548346,0.0001694915159027801,3,25
0.25,100,20201,0.01,0.22931382061584035,0.0004240925502541268,0.00024484994805053505,3,25
0.3,30,1861,0.03333333333333333,0.16416578379574753,0.0023350361477216257,0.0013481337484545874,3,25
0.3,34,2381,0.029411764705882353,0.17600340693649505,0.0005519730190038402,0.00031868177110727755,3,25
0.3,38,2965,0.02631578947368421,0.18342837302546292,0.002023770486254342,0.0011684244350169644,3,25
0.3,42,3613,0.023809523809523808,0.1913092749578169,0.0007048919588933433,0.0004069695622166744,3,25
0.3,46,4325,0.021739130434782608,0.19620677665387717,0.0018153412089590185,0.00104808773566351,3,25
0.3,50,5101,0.02,0.20127094233687723,0.0014427972611031933,0.0008329993870839835,3,25
0.3,55,6161,0.01818181818181818,0.20552774414885414,0.0009154066306043488,0.0005285102645973891,3,25
0.3,60,7321,0.016666666666666666,0.21170914484777104,0.0004551607452731373,0.0002627871788079965,3,25
0.3,65,8581,0.015384615384615385,0.21407471767693953,0.0003397103615860581,0.00019613186870821576,3,25
0.3,70,9941,0.014285714285714285,0.21855770645486028,6.875726389905817e-05,3.969702482086337e-05,3,25
0.3,75,11401,0.013333333333333334,0.22116929417361433,0.00056484003217055,0.00032611054462274394,3,25
0.3,80,12961,0.0125,0.22410161951802401,0.00018746813120260782,0.00010823477601430171,3,25
0.3,85,14621,0.011764705882352941,0.2260156840696191,0.00033802633564144607,0.0001951595958757717,3,25
0.3,90,16381,0.011111111111111112,0.22812734659693792,5.2772377058373947e-05,3.046814610042863e-05,3,25
0.3,100,20201,0.01,0.23101435653794236,0.000219028040392767,0.00012645589808084025,3,25
