probe_index,real_E,imag_E,geometry_potential,amoeba_potential,amoeba_minus_geometry,amoeba_deformation_x,amoeba_deformation_y,amoeba_evaluations
0,-0.16,-0.14,0.06625056070992372,0.31301879122762066,0.24676823051769695,-0.01156549751549033,0.036529179961316015,503
1,-0.08,-0.14,0.06614970249029017,0.3121849580039453,0.24603525551365513,-0.011460029526286402,0.014725433133768309,429
2,0.0,-0.14,0.06611613254671064,0.312906981203851,0.24679084865714038,-8.130797767496023e-14,0.0,191
3,0.07999999999999999,-0.14,0.06614970249029024,0.31218338365071446,0.24603368116042423,0.011462202884927324,0.01472543980907724,478
4,0.16,-0.14,0.06625056070992372,0.31301879122765136,0.24676823051772764,-0.011565497515492776,-0.03652917996130958,494
5,-0.16,-0.06000000000000001,0.03149805697907505,0.3110250093502154,0.27952695237114034,-0.013683097161526405,0.03604654755774469,415
6,-0.08,-0.06000000000000001,0.028361901098260117,0.31018502348809524,0.2818231223898351,-0.013621005608087114,0.01454541021072679,638
7,0.0,-0.06000000000000001,0.028347487609051127,0.3108631341486675,0.28251564653961636,1.1102230246251565e-16,1.1102230246251565e-16,138
8,0.07999999999999999,-0.06000000000000001,0.028361901098260114,0.3100553111750942,0.2816934100768341,-0.013645390397662814,0.014547209504458864,644
9,0.16,-0.06000000000000001,0.03149805697907504,0.31102500935021676,0.2795269523711417,-0.013683097161526686,0.03604654755774468,459
10,-0.16,0.01999999999999999,0.025533102161761113,0.31053033970976895,0.2849972375480078,-0.00640928518489267,0.03605056922948726,478
11,-0.08,0.01999999999999999,0.01381153579883153,0.3102205615316422,0.29640902573281064,2.220446049250313e-16,0.0,138
12,0.0,0.01999999999999999,0.009449963212444772,0.31041296635172294,0.30096300313927815,-0.003098266558590628,-0.06022383113242596,304
13,0.07999999999999999,0.01999999999999999,0.01381153579883148,0.3102205615316422,0.2964090257328107,-1.1102230246251565e-16,-1.1102230246251565e-16,138
14,0.16,0.01999999999999999,0.025533102161761127,0.3105303397097842,0.2849972375480231,-0.006409285184893759,0.03605056922950744,482
15,-0.16,0.09999999999999998,0.047333933742356823,0.3115241219099743,0.26419018816761747,-0.0009637140102070733,0.036187710675819905,871
16,-0.08,0.09999999999999998,0.047261813482988746,0.3102874853590251,0.26302567187603637,-0.0009867160827896028,0.014632320587674434,698
17,0.0,0.09999999999999998,0.0472378085554786,0.310321646783417,0.2630838382279384,-0.0009150225070271501,0.06570451477389473,516
18,0.07999999999999999,0.09999999999999998,0.04726181348298877,0.31068284921704975,0.263421035734061,-0.000975569517856151,0.014631718361647051,649
19,0.16,0.09999999999999998,0.04733393374235685,0.3115241219099534,0.26419018816759654,-0.0009637140100870161,0.0361877106758287,871
20,-0.16,0.18,0.08515026247053452,0.31522304919731525,0.23007278672678072,3.161533534967731e-16,1.1102230246251565e-16,160
21,-0.08,0.18,0.08502077710574574,0.31434829377432116,0.22932751666857543,0.005044165445866411,0.001694443563715166,229
22,0.0,0.18,0.08497767931497673,0.31454678782337747,0.22956910850840073,2.220446049250313e-16,-1.1102230246251565e-16,161
23,0.07999999999999999,0.18,0.08502077710574574,0.3143482937743255,0.22932751666857976,-0.005044165261280285,0.0016944434980227492,230
24,0.16,0.18,0.0851502624705345,0.31522304919731536,0.23007278672678086,3.3306690738754696e-16,-2.220446049250313e-16,180
