displayed_se_rounds,noisy_se_rounds,conventional_data_lifecycle,conventional_measure_lifecycle,conventional_all_lifecycle,swap_period_1_all_lifecycle,swap_period_2_all_lifecycle,distance,generated_data_provenance,parameter_match
2,1,3.5555555555555554,3.6,3.577639751552795,3.577639751552795,3.577639751552795,9,analytic_reference,paper_subset
3,2,7.111111111111111,3.6,4.780082987551867,4.780082987551867,4.780082987551867,9,analytic_reference,paper_subset
4,3,10.666666666666666,3.6,5.383177570093458,5.383177570093458,5.383177570093458,9,analytic_reference,paper_subset
5,4,14.222222222222221,3.6,5.745635910224439,5.745635910224439,5.745635910224439,9,analytic_reference,paper_subset
6,5,17.77777777777778,3.6,5.987525987525988,5.987525987525988,5.987525987525988,9,analytic_reference,paper_subset
7,6,21.333333333333332,3.6,6.160427807486631,6.160427807486631,6.160427807486631,9,analytic_reference,paper_subset
8,7,24.88888888888889,3.6,6.290171606864274,6.290171606864274,6.290171606864274,9,analytic_reference,paper_subset
9,8,28.444444444444443,3.6,6.391123439667129,6.391123439667129,6.391123439667129,9,analytic_reference,paper_subset
10,9,32.0,3.6,6.47191011235955,6.47191011235955,6.47191011235955,9,analytic_reference,paper_subset
11,10,35.55555555555556,3.6,6.538024971623155,6.538024971623155,6.538024971623155,9,analytic_reference,paper_subset
12,11,39.111111111111114,3.6,6.593132154006243,6.593132154006243,6.593132154006243,9,analytic_reference,paper_subset
13,12,42.666666666666664,3.6,6.639769452449568,6.639769452449568,6.639769452449568,9,analytic_reference,paper_subset
14,13,46.22222222222222,3.6,6.679750223015165,6.679750223015165,6.679750223015165,9,analytic_reference,paper_subset
15,14,49.77777777777778,3.6,6.714404662781016,6.714404662781016,6.714404662781016,9,analytic_reference,paper_subset
16,15,53.333333333333336,3.6,6.744730679156909,6.744730679156909,6.744730679156909,9,analytic_reference,paper_subset
17,16,56.888888888888886,3.6,6.771491550330639,6.771491550330639,6.771491550330639,9,analytic_reference,paper_subset
18,17,60.44444444444444,3.6,6.79528105482304,6.79528105482304,6.79528105482304,9,analytic_reference,paper_subset
19,18,64.0,3.6,6.816568047337278,6.816568047337278,6.816568047337278,9,analytic_reference,paper_subset
20,19,67.55555555555556,3.6,6.835727670206121,6.835727670206121,6.835727670206121,9,analytic_reference,paper_subset
