time_us,graph_A_target_probability,graph_B_target_probability,graph_C_target_probability,graph_D_target_probability,graph_E_target_probability,graph_F_target_probability
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028,0.0,0.0,0.0,0.0,0.0,0.0
0.056,1.705695542962183e-11,1.1145828872522389e-14,2.9577290063040536e-15,4.07826244661776e-19,4.5480778631772025e-23,1.5177784946575845e-23
0.084,1.3495882753385408e-09,1.282375405359293e-12,3.7928686771873504e-13,2.919128655294321e-16,2.7779585849802395e-19,9.243296493247708e-20
0.112,7.920268529918054e-09,2.448702422926905e-12,4.128003155031987e-12,3.2510154514173146e-15,9.448901797279228e-18,3.1779119036536684e-18
0.14,4.4729572472219756e-08,3.033664071922601e-11,4.332699342834554e-11,4.583373546900796e-14,2.8777100825124364e-16,9.409482724757021e-17
0.168,1.1224654488912854e-07,1.4221673688190634e-10,1.4386002001196397e-10,3.286025556421328e-13,2.393719803584164e-15,7.925839549682823e-16
0.196,4.7290537099049397e-07,1.1302874475141947e-09,9.772551047364594e-10,3.4919844773598e-12,3.18914626198975e-14,1.0589360721607828e-14
0.224,3.324071282329068e-07,1.4075965217452648e-09,6.781773711050791e-10,2.1115003178154014e-12,1.686231498683796e-14,5.6148917154741595e-15
0.252,8.33800937037733e-07,4.740587134597011e-09,3.2417451343787644e-09,1.4711943010242665e-11,1.3725427531641758e-13,4.5034222673256674e-14
0.28,1.8839518664206804e-06,1.2896164122398332e-08,6.779466572980634e-09,4.4364024825912447e-11,5.207142373380139e-13,1.7271786535964835e-13
0.308,3.747773403929909e-06,2.3425616987030034e-08,1.7199773009255283e-08,1.1905885690322877e-10,2.113149421213292e-12,6.977180154484783e-13
0.336,6.376469810596279e-06,3.175375461569712e-08,3.744379941792272e-08,2.6915998714536526e-10,6.456854785109661e-12,2.1441981583939076e-12
0.364,1.026876708249327e-05,5.231705121284973e-08,6.175843255296716e-08,6.095508807603978e-10,1.643928451888272e-11,5.425585486691797e-12
0.392,1.7510530095455436e-05,1.4888007762294044e-07,1.3489860640990378e-07,1.598263649397239e-09,4.420042708564626e-11,1.4631300211286084e-11
0.42,1.2912398571461462e-05,8.582305265994776e-08,1.0103703223653732e-07,1.090767383785368e-09,2.748480348658711e-11,8.989053119601027e-12
0.448,1.9412866807053533e-05,1.9398102783727398e-07,1.7478370734681532e-07,2.1326796491104107e-09,5.423600677355706e-11,1.8055758533139218e-11
0.47600000000000003,2.2912949628912496e-05,2.0718434923473854e-07,1.9460132896650065e-07,2.8349206189069547e-09,8.759629121229854e-11,2.843469500720745e-11
0.504,2.8881350512185134e-05,3.396270407101678e-07,2.8541291573850547e-07,3.847018105762389e-09,1.2628802022965215e-10,4.201326331475743e-11
0.532,2.9314622951233815e-05,2.9450466708383444e-07,2.635708661331442e-07,3.4152552373442315e-09,1.22579621962919e-10,4.046007519804797e-11
0.56,3.9819086827943143e-05,6.810122639869853e-07,4.146371691350275e-07,6.75963593855788e-09,2.587197125114834e-10,8.488665414302997e-11
0.588,3.733734728906615e-05,7.226990836560368e-07,3.7411754596045495e-07,5.5450763312142e-09,1.7312133954121895e-10,5.825878796180908e-11
0.616,3.7962639285172596e-05,8.29486124399797e-07,3.9881451303399304e-07,6.696491248138334e-09,2.40198595556658e-10,7.810764033055181e-11
