state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
1,2.9596863449477573e-06,3.9498935306695375e-05,2.9208784424220866e-09
2,0.00013643307308579988,5.4760846891730203e-05,3.7948876468650013e-08
3,7.730971859728404e-05,2.2296326429613318e-05,2.277275409675195e-09
4,8.728346956667277e-05,4.444396467375172e-05,3.3252671035423495e-05
5,4.479321614985339e-05,2.5887496366422034e-06,4.4212335158196095e-07
6,2.4704185137866927e-05,5.4760846891731254e-05,3.7948876468688573e-08
7,1.0460233269934742e-09,1.2447726505284652e-11,3.2011210549273066e-09
8,2.9441639348101696e-06,1.2851098424870931e-05,3.819254257285944e-08
9,0.05275838627846269,1.9957610162855196e-06,9.55219196555954e-08
10,0.00015862309547276827,6.852336765986719e-07,3.8262604454281305e-07
11,1.1374886620200406e-05,2.229632642961199e-05,2.277275409697039e-09
12,2.0690467069922252e-05,1.2851098424871429e-05,3.819254257281798e-08
13,5.4432795948328345e-11,2.9511737089468737e-10,1.6958319485999395e-08
14,7.0225914747043254e-09,0.00011952471764772329,1.374579003190905e-06
15,4.152022041667872e-07,1.383098874313938e-05,3.074481560219202e-06
16,4.680608190689727e-05,4.4443964673745746e-05,3.325267103542269e-05
17,0.06302512060561949,1.995761016284861e-06,9.552191965547507e-08
18,2.2958821913361963e-09,0.00011952471764772647,1.374579003192473e-06
19,3.1066346241118575e-08,7.075582301148299e-10,1.6005241087493724e-07
20,6.668986635695338e-09,1.7525269233647914e-05,3.1415766328232005e-07
21,2.2402668765872263e-05,2.588749636642855e-06,4.4212335158208477e-07
22,0.0007056372716137926,6.852336765982917e-07,3.826260445425338e-07
23,9.85617372072381e-08,1.383098874314019e-05,3.0744815602189876e-06
24,7.843274768084167e-09,1.752526923364414e-05,3.1415766328254806e-07
25,2.3022479846382274e-11,1.4360695358682414e-08,1.446267294167045e-10
26,2.4704185137865375e-05,5.476084689173214e-05,3.794887646872209e-08
27,1.04602332699393e-09,1.8716107736612503e-05,3.2011210549389103e-09
28,2.9441639348095585e-06,1.5653933716700512e-05,3.8192542572851515e-08
