state_index_1_based,graph_E_probability,graph_F_probability
1,2.4509565763387163e-08,2.6170152770338707e-09
2,3.7792630771467225e-09,2.9911684040236245e-10
3,4.234966892133375e-08,1.97187819499822e-09
4,3.779263077170837e-09,1.7811367188092898e-09
5,2.0802661593203002e-07,7.589652964662412e-10
6,1.869449453655767e-07,6.887022354390326e-07
7,4.23496689217623e-08,1.4930038155224456e-08
8,1.8694494536562553e-07,2.0853025466497127e-06
9,7.491047852457402e-07,1.9182548700797713e-09
10,6.17500186667324e-08,1.1907988670995067e-09
11,1.318971119425243e-09,1.9173915209831487e-09
12,6.062331112211044e-07,4.57395163688939e-06
13,1.3189711194312714e-09,2.021427636770959e-09
14,6.072172017018737e-10,3.579108984500921e-12
15,2.3591610345874656e-08,5.948915368119029e-09
16,6.062331112208798e-07,7.016223341127856e-07
17,2.3591610345896206e-08,2.695824790262456e-08
18,9.145448835032689e-07,8.04925937213935e-10
19,5.273675673525616e-09,9.157320130500483e-09
20,2.3077902263087438e-07,4.49496851971776e-06
21,1.1724229855488647e-09,2.477881482627247e-10
22,2.3077902263206547e-07,1.4237217270785064e-06
23,5.875642249498548e-06,8.315436923910957e-09
24,2.8586246900609082e-08,2.405713488475557e-08
25,1.172422985550467e-09,1.6448044317180928e-09
26,2.858624690064277e-08,2.5254430893969335e-09
27,2.302096407909654e-11,1.547966288041151e-13
28,6.175001866696054e-08,1.1907988671049315e-09
29,8.945352414235211e-08,1.359359008207618e-08
30,1.5396653459586962e-07,1.4694703426133925e-07
31,1.318971119414639e-09,6.141139482648994e-10
32,2.4680690266859254e-09,8.651229981688496e-10
33,1.0144024905749723e-10,2.5950073139135655e-09
34,6.062331112225895e-07,1.4987726615970975e-07
35,9.241985523261801e-07,3.973784566845099e-05
36,1.1544467911346311e-05,8.779093937681403e-10
37,4.1760758252011254e-10,4.911685904850291e-10
38,4.075683522182112e-09,6.278640002585946e-10
39,6.596833691795388e-09,2.8712535589213363e-09
40,1.1385908024598749e-11,1.8274850501469623e-11
41,2.5742704255622647e-13,5.650645518876406e-15
42,3.432132926053007e-13,8.948891499002382e-11
43,3.637149968346612e-08,2.3602341413665422e-08
44,5.460485628411516e-09,8.271766511982258e-09
45,4.3597504758294813e-07,2.855548835430695e-08
46,6.130094315173545e-07,1.4834487694495781e-07
47,6.550794933550984e-06,1.4941984965017369e-05
48,4.0980967579295674e-08,2.0845457896210506e-09
49,7.184242248892985e-09,1.4517399581619516e-07
50,6.760452168502592e-08,7.055615411542297e-10
51,7.003135354927073e-10,2.2962399981760382e-10
52,1.3772966148931316e-07,6.25687183923358e-10
53,3.9239493131794336e-08,1.8825020014029144e-07
54,3.0309215209642536e-10,8.314434903553779e-12
55,5.273675673658473e-09,9.157320130503407e-09
56,1.2784623717588335e-07,1.1644840542200719e-07
57,1.0556033559732492e-08,1.4099656722610077e-07
58,2.3077902263196165e-07,5.729145255000331e-07
59,1.087741021215981e-06,4.451872738504851e-08
60,2.116855864414039e-05,3.831633303459829e-06
61,1.1724229855487811e-09,6.256043659343468e-10
62,1.462594028337019e-08,5.3442648453983725e-09
63,2.1171462189455455e-08,1.848155888197555e-11
64,6.130094315187465e-07,1.4834487694434496e-07
65,2.771586537569349e-10,5.00900590066796e-09
66,1.1635564968013263e-06,6.458356965371525e-05
67,7.184242248895042e-09,5.568306269186715e-09
68,3.3187295403157747e-09,1.6781945942155103e-09
69,1.7060352227873491e-09,2.5060543198114107e-05
70,1.3772966148911628e-07,2.921027461046737e-08
71,9.130072261357062e-12,3.145762920952748e-09
72,3.65421502191771e-07,7.992802280280356e-10
73,1.4717352724866136e-08,1.4995645270591041e-09
74,1.1180458733519412e-07,4.079169699038681e-09
75,4.197711630172987e-11,6.408576203698122e-11
76,3.012171070362196e-09,4.931557095889833e-08
77,2.152568574529339e-08,7.420441377215442e-10
78,1.0514388414052194e-10,5.942319306639452e-10
79,4.6973528538212755e-12,1.7934654498405733e-13
80,4.7720809254648734e-11,1.30533404729223e-11
81,6.172161952213767e-13,1.2156649808817073e-15
82,6.175001866703015e-08,1.781136718821399e-09
83,1.3189711194301014e-09,6.253389874043051e-08
84,6.062331112212507e-07,7.620279516170278e-10
85,8.945352414198313e-08,4.160079367829149e-08
86,2.468069026679739e-09,1.0462281666137143e-08
87,9.241985523201425e-07,1.731798170854944e-07
88,1.5396653459463666e-07,4.0387947503296296e-07
89,1.0144024905877769e-10,5.357465632563171e-07
90,1.154446791136081e-05,8.954044731616066e-10
91,4.176075825352974e-10,6.141139482713393e-10
92,1.1385908024472455e-11,8.614915331152443e-10
