state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
1,1.0816176765353768e-08,1.376885666501784e-06,4.599723533580973e-07
2,7.847288938991375e-07,1.0999535752997547e-06,2.463536877664642e-06
3,5.484011149977156e-06,1.132318075461232e-05,1.959792201206102e-07
4,6.012495672945991e-05,1.8049873353027298e-06,2.7164746867091788e-06
5,6.325545227019154e-07,1.0999535752998561e-06,2.463536877664246e-06
6,5.229644972854422e-13,2.7739153868267315e-10,6.390661940486372e-10
7,1.0921886582607201e-08,0.010140875302265723,1.1281592398355327e-06
8,0.0017787388538021596,0.000514749164666788,3.0860708768676453e-06
9,8.026252960144462e-06,1.1323180754610098e-05,1.9597922012052497e-07
10,1.5605600056973198e-09,0.010140875302265363,1.1281592398355873e-06
11,6.384036124411549e-10,1.525068149224847e-09,3.6750194660772356e-09
12,2.6863295312050013e-08,0.00861890529993424,0.0015964436801875548
13,4.33511769543452e-06,1.8049873353029144e-06,2.7164746867112367e-06
14,0.00011926664993026009,0.0005147491646668235,3.086070876865741e-06
15,1.0293370397672665e-08,0.008618905299934136,0.001596443680187506
16,9.324592312678862e-09,6.184777731223285e-08,2.3313420773999928e-09
17,6.325545226979684e-07,1.0999535752991076e-06,2.463536877663679e-06
18,5.229644972898955e-13,8.014883136876665e-05,6.390661940478911e-10
19,1.092188658260758e-08,2.9312389664183583e-05,1.1281592398357565e-06
20,0.0017787388538023042,1.3171735131042162e-05,3.086070876866052e-06
21,3.700801295955707e-09,2.7739153868283734e-10,6.390661940492642e-10
22,2.467573004724592e-15,1.617343218753924e-11,1.1546583192101923e-14
23,5.790757931519448e-13,5.9008247268299755e-08,6.61214954386138e-08
24,2.7992862040407866e-08,3.38589441557082e-10,1.6743457116929838e-08
25,1.841354340219068e-05,0.010140875302265838,1.128159239834311e-06
26,6.560435354718985e-11,0.04115933632010629,6.612149543860062e-08
27,1.265453409065021e-10,6.314885034584727e-09,4.981785130463028e-08
28,4.6129952829873544e-10,2.3525802030730058e-07,0.0407373240965605
29,1.3713812111727378e-05,0.0005147491646668197,3.0860708768673014e-06
30,7.510039974158507e-11,0.06514550866009505,1.6743457116913155e-08
31,1.7117994907239856e-10,0.0011563166807366364,0.040737324096560765
32,1.0465098218705968e-10,2.5382474303658635e-07,4.610623548515485e-08
33,8.026252960152082e-06,1.132318075461048e-05,1.9597922012042224e-07
34,1.5605600056964273e-09,2.931238966419942e-05,1.1281592398349213e-06
35,6.384036124414295e-10,2.1365187296627345e-06,3.675019466080802e-09
36,2.6863295312058808e-08,6.874623199671873e-05,0.0015964436801875182
37,1.8413543402182024e-05,0.010140875302265573,1.1281592398360744e-06
38,6.56043535471942e-11,5.900824726828991e-08,6.612149543859376e-08
39,1.265453409065041e-10,0.02796287571866772,4.9817851304652365e-08
40,4.612995283000896e-10,0.034328542714014885,0.040737324096560966
41,1.0625715145803774e-07,1.5250681492239218e-09,3.6750194660746073e-09
42,5.401112481357771e-12,6.314885034583282e-09,4.981785130462223e-08
43,3.7717709363943456e-15,5.559784955260023e-12,1.8510750461999793e-12
44,1.09524999596889e-10,2.2837787786482205e-08,4.715144839109593e-07
45,0.008473380298844174,0.008618905299934258,0.0015964436801875095
46,5.669788014552311e-10,0.0011563166807366096,0.04073732409656194
47,3.4361357974343276e-10,5.024932037226596e-06,4.715144839108327e-07
48,1.3891065485523498e-10,1.3922735277893958e-10,2.301547355763607e-07
49,4.33511769544458e-06,1.804987335304779e-06,2.7164746867105556e-06
50,0.00011926664993026399,1.3171735131044835e-05,3.0860708768675174e-06
51,1.0293370397663296e-08,6.874623199673714e-05,0.0015964436801874946
52,9.324592312678804e-09,6.585995718418266e-07,2.331342077395697e-09
53,1.3713812111773763e-05,0.0005147491646668907,3.0860708768652223e-06
54,7.51003997415264e-11,3.385894415579431e-10,1.6743457116903834e-08
55,1.7117994907220787e-10,0.034328542714015295,0.040737324096560765
56,1.0465098218736067e-10,3.642409402964646e-07,4.610623548514816e-08
57,0.008473380298844427,0.00861890529993428,0.0015964436801874978
58,5.669788014553315e-10,2.3525802030734444e-07,0.04073732409656074
59,3.436135797431956e-10,2.2837787786488843e-08,4.715144839109569e-07
60,1.3891065485523844e-10,0.0012289550239113023,2.3015473557637276e-07
61,1.1460726354294119e-07,6.184777731222751e-08,2.3313420774074022e-09
62,3.4320077528795724e-05,2.5382474303658275e-07,4.6106235485160827e-08
63,4.979732408162263e-11,1.3922735277923256e-10,2.3015473557632985e-07
64,2.1391848411315225e-13,4.686571627279801e-13,1.0495229197724621e-11
65,6.325545226992681e-07,1.0999535753012397e-06,2.4635368776635945e-06
66,5.229644972872503e-13,2.7739153868180466e-10,6.390661940454954e-10
67,1.0921886582623472e-08,0.01014087530226615,1.1281592398354901e-06
68,0.0017787388538022305,0.0005147491646668352,3.0860708768709373e-06
69,3.7008012959493167e-09,8.01488313687555e-05,6.390661940467951e-10
70,2.4675730047260687e-15,1.6173432187529798e-11,1.1546583192571365e-14
71,5.790757931506721e-13,0.04115933632010554,6.612149543852278e-08
72,2.799286204034793e-08,0.06514550866009367,1.674345711689752e-08
73,1.8413543402157393e-05,2.931238966419398e-05,1.1281592398345184e-06
74,6.560435354737088e-11,5.9008247268300496e-08,6.612149543858799e-08
75,1.2654534090656115e-10,6.314885034587045e-09,4.981785130465343e-08
76,4.6129952829802086e-10,0.0011563166807366304,0.04073732409656028
77,1.371381211175029e-05,1.317173513103875e-05,3.086070876869731e-06
78,7.510039974149266e-11,3.3858944155726977e-10,1.6743457116910948e-08
79,1.7117994907217804e-10,2.3525802030737925e-07,0.04073732409656033
80,1.0465098218722182e-10,2.538247430365652e-07,4.610623548514171e-08
81,3.7008012959349916e-09,2.77391538682084e-10,6.390661940453057e-10
82,2.4675730047365937e-15,1.6173432187548933e-11,1.154658319235054e-14
83,5.790757931522468e-13,5.900824726829636e-08,6.61214954385338e-08
84,2.7992862040381025e-08,3.3858944155717924e-10,1.674345711688502e-08
85,3.335916447298622e-11,1.617343218754005e-11,1.15465831921427e-14
86,6.43616611948981e-17,6.90649076994745e-17,1.104117219207245e-17
87,3.96251940402118e-14,4.4179767685066033e-10,3.5623803270304855e-12
88,6.2809434407101185e-09,5.444110321818122e-09,1.6790760833946159e-12
89,9.61794415639236e-07,5.90082472682908e-08,6.612149543855152e-08
90,3.245184875938667e-13,4.4179767685019075e-10,3.5623803270438908e-12
91,3.420196525630799e-14,1.8179983496155824e-13,3.6329746264108235e-08
92,3.286180671339826e-11,5.5412752623665424e-08,0.00023905620044636865
93,9.319256917582266e-07,3.3858944155724847e-10,1.6743457116919766e-08
94,8.26014475404914e-13,5.444110321819464e-09,1.6790760833955356e-12
95,1.2494239230593916e-13,5.541275262366281e-08,0.00023905620044636667
96,1.5130831887525407e-13,1.3935775440227306e-10,4.339457776204165e-11
97,1.841354340216089e-05,0.010140875302265645,1.1281592398358997e-06
98,6.560435354706618e-11,5.900824726830844e-08,6.612149543852228e-08
99,1.2654534090649412e-10,0.027962875718668137,4.981785130462004e-08
100,4.6129952829839433e-10,0.0343285427140129,0.04073732409656091
101,9.617944156371712e-07,0.041159336320104656,6.612149543861377e-08
102,3.2451848759396204e-13,4.4179767685030925e-10,3.562380327034164e-12
103,3.420196525633145e-14,0.001962326919731057,3.632974626412168e-08
104,3.286180671338627e-11,0.00370316097841744,0.00023905620044636027
105,1.3373263690416879e-08,6.314885034584391e-09,4.9817851304601914e-08
106,5.0441262712620945e-11,1.8179983496133708e-13,3.632974626409549e-08
107,4.290335660536713e-14,9.669905105312267e-09,3.1268294263851584e-12
108,1.0776102704452915e-11,4.905427594033514e-06,1.4985266784250537e-05
109,0.1571695223377784,2.3525802030734974e-07,0.0407373240965605
110,6.2032246346162826e-09,5.541275262366652e-08,0.00023905620044636515
111,3.5294337391777074e-08,4.066289422880201e-07,1.4985266784254312e-05
112,1.971019601308466e-09,1.9702971672053598e-08,1.2525071618270147e-06
113,1.371381211174682e-05,0.0005147491646668394,3.086070876868183e-06
114,7.510039974153765e-11,3.385894415568476e-10,1.6743457116918777e-08
115,1.7117994907235606e-10,0.03432854271401329,0.04073732409656001
116,1.0465098218718567e-10,3.6424094029574495e-07,4.610623548515548e-08
117,9.31925691760149e-07,0.06514550866009397,1.6743457116914012e-08
118,8.260144754067052e-13,5.444110321819509e-09,1.6790760834013176e-12
119,1.249423923065215e-13,0.003703160978417196,0.00023905620044637117
120,1.5130831887416567e-13,0.0001520054954533447,4.339457776228299e-11
121,0.15716952233778297,0.0011563166807365785,0.040737324096560036
122,6.203224634610066e-09,5.5412752623675516e-08,0.00023905620044637358
123,3.5294337391777854e-08,4.905427594033345e-06,1.4985266784253085e-05
124,1.9710196013053807e-09,3.994864407555764e-05,1.2525071618272248e-06
125,1.4841027838451658e-07,2.5382474303656777e-07,4.610623548517003e-08
126,3.4650689923634946e-11,1.393577544022858e-10,4.3394577761817974e-11
127,1.3427012361941e-15,1.9702971672050706e-08,1.25250716182733e-06
128,1.0478074228135668e-13,2.7599601759088247e-12,1.1184308388386999e-10
129,8.026252960138873e-06,1.1323180754611916e-05,1.9597922012012355e-07
130,1.5605600056949905e-09,0.01014087530226577,1.1281592398354077e-06
131,6.384036124406654e-10,1.5250681492245463e-09,3.675019466082535e-09
132,2.686329531201959e-08,0.008618905299934396,0.0015964436801875548
133,1.8413543402164657e-05,2.9312389664194083e-05,1.1281592398352493e-06
134,6.560435354715907e-11,5.900824726830222e-08,6.612149543855655e-08
135,1.265453409063319e-10,6.3148850345857395e-09,4.981785130464338e-08
136,4.612995282982853e-10,0.0011563166807367006,0.0407373240965612
137,1.0625715145803321e-07,2.136518729662362e-06,3.675019466083322e-09
138,5.4011124813566096e-12,0.027962875718667988,4.981785130459931e-08
139,3.771770936401549e-15,5.55978495525817e-12,1.8510750461998246e-12
140,1.0952499959690397e-10,5.024932037226308e-06,4.7151448391089555e-07
141,0.008473380298844735,6.874623199671254e-05,0.0015964436801875167
142,5.669788014537086e-10,0.03432854271401156,0.04073732409656184
143,3.436135797433515e-10,2.2837787786480412e-08,4.715144839108226e-07
144,1.389106548547955e-10,1.3922735277871632e-10,2.3015473557633499e-07
145,1.8413543402165914e-05,0.010140875302265139,1.1281592398349362e-06
146,6.560435354719958e-11,0.04115933632010509,6.612149543854213e-08
147,1.2654534090657208e-10,6.314885034584785e-09,4.9817851304637e-08
148,4.61299528297186e-10,2.3525802030727128e-07,0.040737324096561334
149,9.61794415637408e-07,5.900824726830056e-08,6.612149543855977e-08
150,3.245184875935765e-13,4.4179767685003695e-10,3.5623803270260394e-12
151,3.4201965255922635e-14,1.8179983496108765e-13,3.6329746264129814e-08
152,3.2861806713405996e-11,5.541275262367007e-08,0.00023905620044636865
153,1.3373263690326561e-08,0.027962875718667107,4.981785130467025e-08
154,5.0441262712617184e-11,0.0019623269197310035,3.632974626412819e-08
155,4.290335660534789e-14,9.66990510530848e-09,3.1268294263864068e-12
156,1.0776102704463657e-11,4.0662894228815506e-07,1.498526678424906e-05
157,0.1571695223377768,0.03432854271401241,0.040737324096561285
158,6.203224634617126e-09,0.0037031609784173376,0.00023905620044637363
159,3.529433739177843e-08,4.905427594033072e-06,1.4985266784252931e-05
160,1.971019601306376e-09,1.9702971672049657e-08,1.252507161827184e-06
161,1.0625715145808054e-07,1.5250681492250989e-09,3.675019466085352e-09
162,5.4011124813606275e-12,6.314885034586571e-09,4.981785130461182e-08
163,3.771770936392561e-15,5.5597849552576626e-12,1.8510750461992313e-12
164,1.095249995969012e-10,2.2837787786483132e-08,4.715144839108553e-07
165,1.3373263690234238e-08,6.31488503458858e-09,4.981785130464087e-08
166,5.0441262712620984e-11,1.817998349604722e-13,3.6329746264112027e-08
167,4.29033566055778e-14,9.66990510530906e-09,3.126829426385552e-12
168,1.0776102704471153e-11,4.905427594033422e-06,1.4985266784249685e-05
169,6.511943998381189e-11,5.559784955258999e-12,1.85107504620708e-12
170,1.4333811613147256e-14,9.669905105309075e-09,3.1268294263835133e-12
171,3.6343228610473e-18,9.167973563567006e-18,2.0559021124277523e-15
172,5.461132920720585e-14,4.5828001978400946e-11,7.375279998311593e-10
173,1.2153564651433265e-05,2.2837787786479946e-08,4.7151448391104204e-07
174,1.60001282360389e-11,4.905427594033302e-06,1.4985266784250705e-05
175,1.6741144814216327e-13,4.582800197847187e-11,7.37527999831221e-10
176,2.192049787153424e-11,6.062001433635707e-13,1.310720392260955e-09
177,0.008473380298844826,0.0086189052999345,0.0015964436801875388
178,5.669788014543919e-10,2.3525802030720082e-07,0.040737324096561445
179,3.436135797431358e-10,2.2837787786493578e-08,4.7151448391086845e-07
180,1.3891065485500528e-10,0.0012289550239113073,2.3015473557630124e-07
181,0.1571695223377742,0.0011563166807366898,0.040737324096561056
182,6.203224634611838e-09,5.5412752623679764e-08,0.00023905620044637778
183,3.529433739178e-08,4.905427594033808e-06,1.4985266784252069e-05
184,1.971019601305441e-09,3.9948644075557446e-05,1.252507161827367e-06
185,1.2153564651428078e-05,5.024932037226314e-06,4.7151448391108804e-07
186,1.6000128236039444e-11,4.066289422877437e-07,1.4985266784251005e-05
187,1.6741144814233137e-13,4.582800197841566e-11,7.375279998308233e-10
188,2.192049787152929e-11,6.344317672629404e-09,1.3107203922596125e-09
189,1.2020395459862454e-06,1.392273527796087e-10,2.301547355762898e-07
190,2.1978445073973924e-09,1.970297167205945e-08,1.2525071618277902e-06
191,7.639969180581069e-13,6.06200143364583e-13,1.3107203922585698e-09
192,3.1527540790555314e-13,5.284922258770295e-10,4.386413711604802e-11
193,4.3351176954377345e-06,1.8049873353017381e-06,2.716474686710186e-06
194,0.00011926664993025722,0.0005147491646668624,3.0860708768677673e-06
195,1.029337039765562e-08,0.00861890529993438,0.0015964436801875416
196,9.324592312676477e-09,6.184777731223255e-08,2.3313420773997004e-09
197,1.3713812111734178e-05,1.3171735131036292e-05,3.0860708768703283e-06
198,7.51003997415389e-11,3.385894415577648e-10,1.6743457116882715e-08
199,1.7117994907183794e-10,2.3525802030738693e-07,0.04073732409656029
200,1.0465098218717639e-10,2.5382474303651827e-07,4.610623548516285e-08
201,0.008473380298844386,6.874623199671059e-05,0.0015964436801875117
202,5.669788014555601e-10,0.03432854271401397,0.04073732409656092
203,3.4361357974292275e-10,2.2837787786484204e-08,4.7151448391051513e-07
204,1.3891065485511243e-10,1.3922735277903244e-10,2.3015473557630497e-07
205,1.1460726354294874e-07,6.585995718421913e-07,2.331342077402946e-09
206,3.432007752879473e-05,3.642409402948834e-07,4.610623548517834e-08
207,4.979732408160241e-11,0.0012289550239112928,2.3015473557632426e-07
208,2.1391848411306978e-13,4.686571627296402e-13,1.0495229197697153e-11
209,1.371381211173889e-05,0.0005147491646668615,3.086070876868396e-06
210,7.510039974152176e-11,0.06514550866009435,1.674345711688439e-08
211,1.7117994907220094e-10,0.0011563166807366284,0.040737324096560966
212,1.0465098218695982e-10,2.5382474303659053e-07,4.610623548518713e-08
213,9.319256917592757e-07,3.3858944155771133e-10,1.674345711693153e-08
214,8.260144754057539e-13,5.444110321820835e-09,1.6790760833973137e-12
215,1.2494239230592225e-13,5.541275262366475e-08,0.00023905620044636602
216,1.513083188747779e-13,1.393577544022564e-10,4.3394577762147954e-11
217,0.1571695223377778,0.034328542714013074,0.04073732409655993
218,6.203224634616439e-09,0.003703160978416735,0.0002390562004463664
219,3.529433739179e-08,4.905427594033404e-06,1.49852667842529e-05
220,1.971019601302391e-09,1.970297167204539e-08,1.252507161827084e-06
221,1.4841027838458487e-07,3.6424094029503e-07,4.610623548516001e-08
222,3.4650689923789526e-11,0.00015200549545332667,4.3394577762052473e-11
223,1.3427012362220626e-15,3.9948644075558e-05,1.2525071618272777e-06
224,1.0478074228114601e-13,2.759960175896435e-12,1.1184308388389013e-10
