state_index_1_based,graph_J_probability
1,1.2785814607997072e-10
2,8.923765650026032e-11
3,1.1012650105529565e-08
4,2.447693176475399e-08
5,8.923765650063559e-11
6,2.14243642101989e-11
7,1.9782653665507617e-08
8,2.999333729777882e-09
9,1.1012650105529588e-08
10,1.9782653665535708e-08
11,3.7080374719338854e-13
12,1.3975938225150665e-08
13,2.447693176475532e-08
14,2.9993337297688015e-09
15,1.3975938225212605e-08
16,2.0384073603056935e-12
17,8.923765650145946e-11
18,6.904752162345191e-09
19,2.158743387592498e-09
20,8.211321405639861e-09
21,2.1424364210322314e-11
22,9.391087176684663e-13
23,7.539872805815259e-11
24,1.768853208935986e-10
25,1.9782653665537134e-08
26,1.3418507364039045e-08
27,7.538267219278454e-11
28,9.372776806383428e-09
29,2.9993337297447677e-09
30,1.4508409386484827e-07
31,1.4408780943427998e-08
32,1.348488593836028e-10
33,1.1012650105544613e-08
34,2.158743387600048e-09
35,4.6545716956429297e-10
36,1.2426841949228682e-08
37,1.9782653665538315e-08
38,7.539872805981275e-11
39,6.209711501816909e-08
40,2.3173131898823543e-09
41,3.7080374717020123e-13
42,7.53826721934042e-11
43,2.0095264461531188e-13
44,2.937990263459645e-11
45,1.3975938225212221e-08
46,1.4408780943440525e-08
47,3.595017907075583e-07
48,1.2755092196078573e-13
49,2.4476931764784833e-08
50,8.211321405676598e-09
51,1.2426841949218583e-08
52,1.5994841322843657e-07
53,2.999333729762212e-09
54,1.7688532089545484e-10
55,2.3173131898758837e-09
56,7.138024151725065e-07
57,1.3975938225210135e-08
58,9.37277680633858e-09
59,2.9379902634472825e-11
60,2.3622199862313144e-06
61,2.0384073602976834e-12
62,1.3484885938372738e-10
63,1.275509219636995e-13
64,6.354770485463922e-14
65,8.923765649753842e-11
66,6.904752162339639e-09
67,2.1587433876119063e-09
68,8.211321405656471e-09
69,6.904752162341842e-09
70,3.043990523066299e-11
71,1.6959328992911445e-09
72,9.766186210761566e-08
73,2.1587433876171838e-09
74,1.6959328992784963e-09
75,2.9695473679359427e-12
76,2.8094856804221793e-08
77,8.211321405673716e-09
78,9.766186210756823e-08
79,2.809485680421446e-08
80,4.877160276160293e-12
81,2.1424364210120032e-11
82,3.043990523083273e-11
83,1.6948731915146278e-10
84,1.9760825865880282e-10
85,9.391087176411556e-13
86,2.9412762504444144e-13
87,1.614632158195762e-13
88,1.0966586203616358e-10
89,7.539872805887423e-11
90,2.060849407968984e-09
91,4.268223322459985e-14
92,1.3465548088094176e-09
93,1.7688532089550432e-10
94,7.072596945515358e-10
95,6.132862840135062e-09
96,1.3736093674626504e-12
97,1.978265366556404e-08
98,1.6959328992892335e-09
99,1.1920794571614505e-08
100,3.280741004391186e-08
101,1.3418507364052285e-08
102,2.060849407972799e-09
103,2.3431813450509597e-07
104,4.629029167625084e-07
105,7.538267219318584e-11
106,5.863063058968813e-11
107,3.0422580543579483e-13
108,6.18850308602668e-13
109,9.372776806386477e-09
110,5.047524205052226e-08
111,2.3601674532883848e-07
112,1.67639144309369e-11
113,2.9993337297702073e-09
114,9.766186210773984e-08
115,2.7714922159724482e-08
116,4.653433841084153e-08
117,1.450840938648964e-07
118,7.072596945541385e-10
119,3.0144521057184325e-07
120,7.577405359808627e-05
121,1.4408780943453136e-08
122,5.047524205055444e-08
123,1.5187038369754893e-10
124,1.5151798172460545e-06
125,1.348488593838162e-10
126,7.445881786648176e-11
127,7.185846922224539e-12
128,2.2990860268222163e-14
129,1.1012650105556961e-08
130,2.1587433876065433e-09
131,4.6545716956112436e-10
132,1.2426841949215252e-08
133,2.158743387605945e-09
134,1.6948731915182736e-10
135,1.1920794571609878e-08
136,2.771492215971238e-08
137,4.6545716956263706e-10
138,1.1920794571623381e-08
139,1.4085691281931781e-10
140,1.9149693448604284e-07
141,1.2426841949238012e-08
142,2.7714922159730527e-08
