rydberg_level_count,graph_id,atom_index,x_um,y_um,z_um
2,A,0,0.0,0.0,0.0
2,A,1,2.63,4.555293623906147,0.0
2,A,2,5.26,0.0,0.0
2,B,0,0.0,0.0,0.0
2,B,1,0.0,5.26,0.0
2,B,2,5.26,5.26,0.0
2,B,3,5.26,0.0,0.0
2,C,0,0.0,0.0,0.0
2,C,1,2.495,4.321466764884349,0.0
2,C,2,4.99,0.0,0.0
2,C,3,2.495,-4.321466764884349,0.0
2,D,0,0.0,0.0,0.0
2,D,1,2.63,4.555293623906147,0.0
2,D,2,5.26,0.0,0.0
2,D,3,7.89,4.555293623906147,0.0
2,D,4,10.52,0.0,0.0
2,E,0,-4.91,0.0,0.0
2,E,1,-2.455,4.252184732581593,0.0
2,E,2,0.0,0.0,0.0
2,E,3,2.455,4.252184732581593,0.0
2,E,4,4.91,0.0,0.0
2,E,5,0.0,8.504369465163187,0.0
2,F,0,-5.26,0.0,0.0
2,F,1,-2.63,4.555293623906147,0.0
2,F,2,0.0,0.0,0.0
2,F,3,2.63,4.555293623906147,0.0
2,F,4,5.26,0.0,0.0
2,F,5,7.89,4.555293623906147,0.0
3,A,0,0.0,0.0,0.0
3,A,1,3.165,5.481940805955497,0.0
3,A,2,6.33,0.0,0.0
3,B,0,0.0,0.0,0.0
3,B,1,0.0,6.41,0.0
3,B,2,6.41,6.41,0.0
3,B,3,6.41,0.0,0.0
3,C,0,0.0,0.0,0.0
3,C,1,3.375,5.84567147554496,0.0
3,C,2,6.75,0.0,0.0
3,C,3,3.375,-5.84567147554496,0.0
3,D,0,0.0,0.0,0.0
3,D,1,3.375,5.84567147554496,0.0
3,D,2,6.75,0.0,0.0
3,D,3,10.125,5.84567147554496,0.0
3,D,4,13.5,0.0,0.0
3,E,0,-6.75,0.0,0.0
3,E,1,-3.375,5.84567147554496,0.0
3,E,2,0.0,0.0,0.0
3,E,3,3.375,5.84567147554496,0.0
3,E,4,6.75,0.0,0.0
3,E,5,0.0,11.69134295108992,0.0
3,F,0,-6.75,0.0,0.0
3,F,1,-3.375,5.84567147554496,0.0
3,F,2,0.0,0.0,0.0
3,F,3,3.375,5.84567147554496,0.0
3,F,4,6.75,0.0,0.0
3,F,5,10.125,5.84567147554496,0.0
3,G,0,0.0,3.37,0.0
3,G,1,2.918505610753558,-1.685,0.0
3,G,2,-2.918505610753558,-1.685,0.0
3,G,3,0.0,0.0,0.0
3,H,0,0.0,0.0,0.0
3,H,1,0.0,4.45,0.0
3,H,2,4.45,4.45,0.0
3,H,3,4.45,0.0,0.0
3,I,0,0.0,0.0,0.0
3,I,1,-3.9668690424565316,0.0,3.9668690424565316
3,I,2,0.0,3.9668690424565316,3.9668690424565316
3,I,3,-3.9668690424565316,3.9668690424565316,0.0
3,J,0,0.0,0.0,0.0
3,J,1,3.899331716810129,1.2669696769372845,0.0
3,J,2,2.40991953439914,-3.316969676937284,0.0
3,J,3,-2.409919534399139,-3.3169696769372843,0.0
3,J,4,-3.8993317168101296,1.2669696769372836,0.0
3,J,5,-1.0042103753008295e-15,4.1,0.0
4,G,0,0.0,2.97,0.0
4,G,1,2.5720954492397827,-1.485,0.0
4,G,2,-2.5720954492397827,-1.485,0.0
4,G,3,0.0,0.0,0.0
4,H,0,0.0,0.0,0.0
4,H,1,0.0,3.83,0.0
4,H,2,3.83,3.83,0.0
4,H,3,3.83,0.0,0.0
4,I,0,0.0,0.0,0.0
4,I,1,-4.17193000900063,0.0,4.17193000900063
4,I,2,0.0,4.17193000900063,4.17193000900063
4,I,3,-4.17193000900063,4.17193000900063,0.0
