measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
0,0.08886718749999972,-0.0016914558667660371,0.08888328322642748,-7744.608000000001,0.2544352213541667,0.002197265625
1,-0.060546875000000264,0.016914558667665464,0.06286514429465309,-7577.488000000002,0.26318359375,0.0023193359375
2,-0.07812500000000026,6.071532165918825e-16,0.07812500000000026,-7673.296000000002,0.2568359375,0.0037841796875
3,-0.007812500000000276,0.0033829117335335036,0.008513474499103345,-7649.808000000002,0.2585042317708333,0.0032958984375
4,-0.05175781250000033,-0.025371838001496626,0.05764201001317858,-7841.344000000001,0.24825032552083334,0.00341796875
5,-0.10449218750000042,-0.032137661468562444,0.10932267163403557,-7702.3200000000015,0.2550862630208333,0.0040283203125
6,-0.06933593750000032,-0.018606014534430643,0.07178896855269196,-7731.680000000001,0.2542724609375,0.003173828125
7,-0.05761718750000029,0.008457279333833011,0.058234576233889335,-7730.768000000001,0.254638671875,0.0028076171875
8,-0.03125000000000019,0.013531646934132401,0.034053897996411904,-7666.416000000001,0.2582600911458333,0.0025634765625
9,-0.11914062500000021,0.03044620560179732,0.12296934561482219,-7653.488000000001,0.2580973307291667,0.0035400390625
10,-0.04589843750000036,-0.03213766146856255,0.05603120424914468,-7650.000000000002,0.259765625,0.0018310546875
11,-0.016601562500000173,0.028754749735030772,0.03320312500000059,-7613.088000000002,0.2601318359375,0.003662109375
12,-0.0283203125,0.06258386707036039,0.0686933804494887,-7633.680000000002,0.2593587239583333,0.0032958984375
13,0.018554687499999764,-0.025371838001496692,0.03143257214732576,-7626.608000000002,0.259521484375,0.0035400390625
14,-0.007812500000000201,-0.023680382134730227,0.024935830732038058,-7670.720000000001,0.2581380208333333,0.00244140625
15,-0.03125000000000026,-0.0033829117335324177,0.031432572147326525,-7563.744000000001,0.261474609375,0.005126953125
16,-0.007812500000000323,-0.03044620560179609,0.031432572147325845,-7666.864000000001,0.2578125,0.0030517578125
17,-0.05761718750000015,0.018606014534431874,0.06054687500000032,-7669.184000000001,0.2582194010416667,0.00244140625
18,-0.03710937500000019,0.023680382134731302,0.044021201834315474,-7671.184000000003,0.2582194010416667,0.0023193359375
19,-0.04882812500000017,0.02029747040119837,0.052878853010472585,-7608.496000000002,0.2609049479166667,0.0030517578125
20,0.012695312499999823,0.01860601453443183,0.022524536317716736,-7656.096000000001,0.2578531901041667,0.003662109375
21,-0.004882812500000295,-0.021988926267963685,0.022524536317715897,-7607.744000000002,0.261474609375,0.00244140625
22,-0.03417968750000018,0.011840191067365929,0.03617238120596155,-7650.1280000000015,0.2589111328125,0.0028076171875
23,-0.022460937500000163,0.02875474973503076,0.03648738611771423,-7833.984000000001,0.24906412760416666,0.0029296875
24,0.018554687499999886,0.011840191067365863,0.022010600917157678,-7802.976000000002,0.2513427734375,0.002197265625
25,-0.01074218750000026,-0.005074367600298884,0.011880395566988706,-7810.800000000001,0.2506103515625,0.0025634765625
26,-0.037109375000000194,0.013531646934132415,0.0394995086253064,-7661.008000000002,0.2574869791666667,0.0037841796875
27,0.009765624999999908,0.05412658773652787,0.05500049937628451,-7637.248000000002,0.2603352864583333,0.001953125
28,-0.01367187500000017,0.01691455866766529,0.021749079542305247,-7620.928000000002,0.2599283854166667,0.00341796875
29,0.0009765624999997988,0.005074367600299944,0.005167483029423481,-7729.392000000001,0.2549235026041667,0.0025634765625
30,-0.004882812500000175,0.03552057320209659,0.035854608888058734,-7644.720000000001,0.2581380208333333,0.0040283203125
31,0.027343749999999837,0.0033829117335334447,0.027552218710284827,-7919.536000000002,0.24442545572916666,0.0030517578125
32,0.0771484374999997,-0.035520573202095646,0.08493287072327647,-7832.464000000002,0.24967447916666666,0.0023193359375
33,0.04199218749999972,-0.011840191067364891,0.04362950762439155,-7707.104000000001,0.2555745442708333,0.003173828125
34,0.03027343749999979,0.015223102800898801,0.033885452290815396,-7536.448000000001,0.264404296875,0.00341796875
35,-0.010742187500000262,-0.0016914558667659313,0.01087453977115256,-7546.112000000001,0.2634684244791667,0.00390625
