measurement,polyakov_real,polyakov_imag,polyakov_abs,action,vortex_density,monopole_density
0,0.31481481481481466,0.1759259259259257,0.3606359647064895,-7135.914000000001,0.29462448559670784,0.02199074074074074
1,0.3333333333333332,0.17592592592592576,0.3769098599453261,-7096.028000000001,0.2978395061728395,0.02507716049382716
2,0.37037037037037024,0.16666666666666646,0.40614281850854256,-7078.4980000000005,0.30516975308641975,0.024691358024691357
3,0.3796296296296295,0.16666666666666646,0.4146039477266315,-7102.548000000001,0.29989711934156377,0.025848765432098766
4,0.32870370370370355,0.14351851851851832,0.35866933237493615,-7095.036,0.30156893004115226,0.021219135802469136
5,0.3194444444444443,0.14351851851851835,0.3502032527606932,-7070.522000000001,0.3037551440329218,0.021219135802469136
6,0.3379629629629628,0.15277777777777757,0.37089083800684663,-7052.586,0.30838477366255146,0.019290123456790122
7,0.3333333333333331,0.1666666666666665,0.37267799624996467,-7051.130000000001,0.3090277777777778,0.021604938271604937
8,0.3101851851851849,0.1805555555555554,0.3589082859873016,-7043.328,0.30877057613168724,0.01890432098765432
9,0.3240740740740739,0.1666666666666665,0.36441978989174845,-7080.1860000000015,0.30606995884773663,0.013888888888888888
10,0.3379629629629628,0.1527777777777776,0.37089083800684663,-7094.160000000002,0.30606995884773663,0.013117283950617283
11,0.34259259259259245,0.16666666666666646,0.38098223354520316,-7096.666,0.3020833333333333,0.020061728395061727
12,0.3749999999999997,0.14351851851851832,0.4015252982786391,-7119.666000000001,0.3001543209876543,0.015432098765432098
13,0.3518518518518516,0.12962962962962946,0.37497142095030683,-7097.072,0.30478395061728397,0.016589506172839507
14,0.3101851851851849,0.11574074074074057,0.33107516997742786,-7050.840000000001,0.30709876543209874,0.023919753086419752
15,0.3564814814814812,0.09722222222222202,0.3695012951710166,-7014.272000000001,0.3117283950617284,0.024305555555555556
16,0.28703703703703676,0.10185185185185168,0.304571929692565,-7020.85,0.3141718106995885,0.025848765432098766
17,0.3333333333333331,0.12037037037037018,0.3544010964630485,-7022.5380000000005,0.3150720164609053,0.017361111111111112
18,0.3055555555555553,0.13888888888888873,0.33564016593318224,-7057.128,0.30761316872427985,0.019675925925925927
19,0.32870370370370344,0.11574074074074057,0.34848535678812587,-7025.508000000001,0.3141718106995885,0.018518518518518517
20,0.3379629629629628,0.13425925925925905,0.36365438678991613,-6988.8240000000005,0.3180298353909465,0.020833333333333332
21,0.3472222222222221,0.15277777777777757,0.37934723010410154,-7060.388,0.30864197530864196,0.013503086419753086
22,0.3564814814814813,0.1435185185185183,0.38428714758235405,-7055.962,0.3101851851851852,0.016203703703703703
23,0.4259259259259257,0.14814814814814792,0.4509553948846634,-7122.81,0.3004115226337449,0.013503086419753086
24,0.41203703703703687,0.14351851851851827,0.4363164964197558,-7133.698,0.3005401234567901,0.013503086419753086
25,0.3564814814814813,0.13425925925925905,0.38092597093933706,-7165.144,0.29282407407407407,0.010802469135802469
26,0.36111111111111094,0.1574074074074072,0.3939268034478266,-7172.946,0.2930812757201646,0.011188271604938271
27,0.31944444444444425,0.18055555555555536,0.36694013371174716,-7140.862000000001,0.29655349794238683,0.015046296296296295
28,0.36574074074074053,0.2268518518518516,0.43038128691452193,-7144.18,0.2979681069958848,0.015046296296296295
29,0.37962962962962943,0.13888888888888865,0.4042385176470937,-7151.576,0.29552469135802467,0.013117283950617283
30,0.37037037037037024,0.14814814814814795,0.39890109682477787,-7093.812,0.3037551440329218,0.01427469135802469
31,0.31481481481481466,0.08333333333333313,0.3256575073160919,-7055.7880000000005,0.3090277777777778,0.018132716049382717
32,0.20833333333333315,0.1805555555555554,0.2756865727955443,-7121.122,0.299511316872428,0.018518518518518517
33,0.2453703703703701,0.13425925925925913,0.27970013827765183,-7190.9400000000005,0.2888374485596708,0.015817901234567902
34,0.2870370370370368,0.10185185185185168,0.304571929692565,-7163.92,0.2950102880658436,0.012345679012345678
