W,alpha,binomial_standard_error,eigenvalues,L,realizations,transfer_length
0.0,0.0,0.0,600,100,6,700
0.2,0.021666666666666667,0.005943795395511499,600,100,6,700
0.4,0.056666666666666664,0.009438887253940084,600,100,6,700
0.6,0.21666666666666667,0.016818750559134003,600,100,6,700
0.8,0.36833333333333335,0.01969195643272014,600,100,6,700
1.0,0.5416666666666666,0.020341414605384456,600,100,6,700
1.2,0.685,0.018963781268512878,600,100,6,700
1.4,0.71,0.018524758208048674,600,100,6,700
1.6,0.7566666666666667,0.017517715900492573,600,100,6,700
1.8,0.7916666666666666,0.016579633869879613,600,100,6,700
2.0,0.9483333333333334,0.009036704987828086,600,100,6,700
2.1,0.935,0.010064376119097825,600,100,6,700
2.2,0.97,0.006964194138592062,600,100,6,700
2.4,0.9933333333333333,0.0033222036417169115,600,100,6,700
2.6,0.9983333333333333,0.0016652771985913373,600,100,6,700
2.8,1.0,0.0,600,100,6,700
3.0,1.0,0.0,600,100,6,700
