W,alpha,binomial_standard_error,method,L,realizations,eigenvalues,transfer_length,classification_tolerance
0.0,0.0,0.0,ed_spectrum_with_lyapunov_classification_clean_limit_invariant,1000,8,8000,6000,0.0003333333333333333
0.1,0.00275,0.0005854952497672376,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.2,0.0245,0.0017284295617698744,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.3,0.055625,0.002562490472543264,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.4,0.097125,0.003310810595137541,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.5,0.155625,0.004052867185323867,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.6,0.2225,0.004650184808155478,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.7,0.29725,0.005109946642333949,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.8,0.36375,0.005378614337122527,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
0.9,0.48075,0.005586025392665164,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.0,0.569875,0.0055353125970332515,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.1,0.636125,0.005379009950434652,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.2,0.664625,0.005278477637716674,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.3,0.680375,0.005213742170636654,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.4,0.71375,0.005053599428872455,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.5,0.737375,0.004920024255212061,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.6,0.755875,0.004802707366358583,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.7,0.80725,0.00441017909925436,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.8,0.84025,0.0040961862979483725,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
1.9,0.86775,0.0037874783415222323,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.0,0.9275,0.002899218644738613,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.1,0.9875,0.0012421629321469848,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.2,0.98775,0.0012298342113878594,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.3,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.4,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.5,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.6,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.7,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.8,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
2.9,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
3.0,1.0,0.0,ed_spectrum_with_lyapunov_classification,1000,8,8000,6000,0.0003333333333333333
