group,state_class,profile_index,site,real_energy,imag_energy,probability
figs1,alm,0,0,-2.463694771295615,4.579137888494582e-16,0.5034567489189253
figs1,alm,0,1,-2.463694771295615,4.579137888494582e-16,0.33360981130036876
figs1,alm,0,2,-2.463694771295615,4.579137888494582e-16,0.10207504018110604
figs1,alm,0,3,-2.463694771295615,4.579137888494582e-16,0.005902112419185988
figs1,alm,0,4,-2.463694771295615,4.579137888494582e-16,0.04002966123235491
figs1,alm,0,5,-2.463694771295615,4.579137888494582e-16,0.014626287444098926
figs1,alm,0,6,-2.463694771295615,4.579137888494582e-16,0.0002608805081736959
figs1,alm,0,7,-2.463694771295615,4.579137888494582e-16,3.7470518066344454e-05
figs1,alm,0,8,-2.463694771295615,4.579137888494582e-16,1.0040607013627858e-06
figs1,alm,0,9,-2.463694771295615,4.579137888494582e-16,9.084751404886736e-07
figs1,alm,0,10,-2.463694771295615,4.579137888494582e-16,7.494187391072908e-08
figs1,alm,0,11,-2.463694771295615,4.579137888494582e-16,3.3264461996608573e-17
figs1,alm,0,12,-2.463694771295615,4.579137888494582e-16,2.640053647875079e-15
figs1,alm,0,13,-2.463694771295615,4.579137888494582e-16,1.3365736748838932e-15
figs1,alm,0,14,-2.463694771295615,4.579137888494582e-16,1.3637686778930863e-16
figs1,alm,0,15,-2.463694771295615,4.579137888494582e-16,1.2073755815488117e-16
figs1,alm,0,16,-2.463694771295615,4.579137888494582e-16,1.984108382502371e-20
figs1,alm,0,17,-2.463694771295615,4.579137888494582e-16,4.662538495760856e-18
figs1,alm,0,18,-2.463694771295615,4.579137888494582e-16,1.809587239953081e-18
figs1,alm,0,19,-2.463694771295615,4.579137888494582e-16,1.6608406633466177e-20
figs1,alm,0,20,-2.463694771295615,4.579137888494582e-16,1.3613013511437784e-22
figs1,alm,0,21,-2.463694771295615,4.579137888494582e-16,5.175807323750834e-24
figs1,alm,0,22,-2.463694771295615,4.579137888494582e-16,1.330726525622299e-25
figs1,alm,0,23,-2.463694771295615,4.579137888494582e-16,2.0029724934408193e-26
figs1,alm,0,24,-2.463694771295615,4.579137888494582e-16,1.972419472813043e-27
figs1,alm,0,25,-2.463694771295615,4.579137888494582e-16,1.3814337062867126e-28
figs1,alm,0,26,-2.463694771295615,4.579137888494582e-16,7.688210953756392e-31
