panel,theta_degrees,number_sites,fidelity,overlap_amplitude,exact_energy,mps_energy,sector_dimension,lowest_multiplicity,residual_norm,generated_data_provenance
ground,40,4,0.9990915364948191,0.9995456650372804,-0.2841704571983026,-0.28172990498843203,7,1,7.331623609259258e-16,independent_numerics
ground,40,6,0.9980504671489475,0.9990247580260199,-0.41591390133912376,-0.4108561114414633,18,1,1.911309477429992e-15,independent_numerics
ground,40,8,0.9972717982040112,0.9986349674450676,-0.5523091789003622,-0.5454770500839853,47,1,3.210151609103966e-15,independent_numerics
ground,40,10,0.9966446468178997,0.9983209137436216,-0.689872508067646,-0.6814198921468169,123,1,4.548935837064355e-15,independent_numerics
ground,40,12,0.9960255017787225,0.9980107723760914,-0.8277237043482619,-0.8176291807816451,322,1,1.7093814087083833e-14,independent_numerics
ground,30,4,0.9926012350733625,0.9962937493898888,-0.85744771779341,-0.8366294943644316,7,1,8.43696454564983e-16,independent_numerics
ground,30,6,0.9858365207999346,0.9928930057160915,-1.2610294256298533,-1.220084679281463,18,1,2.2185370327934623e-15,independent_numerics
ground,30,8,0.9802417936058432,0.9900716103423243,-1.6755120274355746,-1.6198571061098572,47,1,3.63110401934109e-15,independent_numerics
ground,30,10,0.9753646289256366,0.987605502680922,-2.0928381841908688,-2.0235550778326687,123,1,3.841315511893972e-15,independent_numerics
ground,30,12,0.9706305931072103,0.985205863313455,-2.5109665197593047,-2.4280442934272095,322,1,1.1553531318282756e-14,independent_numerics
ground,20,4,0.9809304317670903,0.9904193211802212,-1.4211720082084014,-1.3661085199091187,7,1,4.577566798522237e-16,independent_numerics
ground,20,6,0.9657448027579543,0.9827231567221535,-2.0968167719747064,-1.9922415915341318,18,1,2.4380709957580736e-15,independent_numerics
ground,20,8,0.9526048069743185,0.9760147575596992,-2.7875716193848707,-2.6450186236538262,47,1,3.8431200290280855e-15,independent_numerics
ground,20,10,0.9407834370755547,0.9699399141573434,-3.4822468790290513,-3.3042055664468495,123,1,5.453952952223917e-15,independent_numerics
ground,20,12,0.9293954906273146,0.9640516016413824,-4.17805082332522,-3.9646845088666822,322,1,1.7337017699152826e-14,independent_numerics
ground,10,4,0.9644603614625517,0.9820694280256115,-1.9572689077948997,-1.8540790293606337,7,1,6.280369834735101e-16,independent_numerics
ground,10,6,0.9387594942099925,0.9688960182651142,-2.8948483425263607,-2.7038652511509245,18,1,3.298128609666262e-15,independent_numerics
ground,10,8,0.9161201447951902,0.9571416534636815,-3.8504821136681087,-3.5898125887620784,47,1,2.3694874918170956e-15,independent_numerics
ground,10,10,0.8955298572107858,0.9463243932240074,-4.810633546909888,-4.4844594409332394,123,1,5.694562145732938e-15,independent_numerics
ground,10,12,0.875854120373508,0.935870781878304,-5.7720554571106,-5.380859791731402,322,1,9.038691732817673e-15,independent_numerics
ground,0,4,0.9427599510063207,0.9709582642968341,-2.449489742783179,-2.2857142857142843,7,1,2.4120218025558894e-15,independent_numerics
ground,0,6,0.9044253567118303,0.9510128057559637,-3.630276621113087,-3.333333333333332,18,1,3.007864442881939e-15,independent_numerics
ground,0,8,0.8706049998551534,0.9330621629104641,-4.830958672334983,-4.425531914893615,47,1,4.0018111741521165e-15,independent_numerics
ground,0,10,0.8398511539633214,0.9164339332234056,-6.036323169259001,-5.528455284552842,123,1,7.480011764722197e-15,independent_numerics
ground,0,12,0.8107699357973841,0.9004276405116538,-7.242940554718427,-6.633540372670801,322,1,1.3126303965728668e-14,independent_numerics
