panel,theta_degrees,number_sites,fidelity,pixel_y,pixel_count,one_pixel_fidelity_uncertainty,provenance
ground,40,4,0.999154334038055,49.0,201,0.0004228329809725159,digitized_source_reference
ground,40,6,0.99830866807611,51.0,197,0.0004228329809725159,digitized_source_reference
ground,40,8,0.9974630021141649,53.0,197,0.0004228329809725159,digitized_source_reference
ground,40,10,0.9966173361522199,55.0,199,0.0004228329809725159,digitized_source_reference
ground,40,12,0.9961945031712474,56.0,198,0.0004228329809725159,digitized_source_reference
ground,30,4,0.9928118393234673,64.0,169,0.0004228329809725159,digitized_source_reference
ground,30,6,0.986046511627907,80.0,169,0.0004228329809725159,digitized_source_reference
ground,30,8,0.9805496828752642,93.0,170,0.0004228329809725159,digitized_source_reference
ground,30,10,0.9754756871035941,105.0,170,0.0004228329809725159,digitized_source_reference
ground,30,12,0.9708245243128965,116.0,169,0.0004228329809725159,digitized_source_reference
ground,20,4,0.9809725158562368,92.0,178,0.0004228329809725159,digitized_source_reference
ground,20,6,0.9657505285412262,128.0,180,0.0004228329809725159,digitized_source_reference
ground,20,8,0.9526427061310783,159.0,180,0.0004228329809725159,digitized_source_reference
ground,20,10,0.9408033826638478,187.0,179,0.0004228329809725159,digitized_source_reference
ground,20,12,0.9293868921775899,214.0,179,0.0004228329809725159,digitized_source_reference
ground,10,4,0.9644820295983086,131.0,142,0.0004228329809725159,digitized_source_reference
ground,10,6,0.9386892177589852,192.0,155,0.0004228329809725159,digitized_source_reference
ground,10,8,0.9162790697674419,245.0,149,0.0004228329809725159,digitized_source_reference
ground,10,10,0.8955602536997885,294.0,145,0.0004228329809725159,digitized_source_reference
ground,10,12,0.879492600422833,332.0,141,0.0004228329809725159,digitized_source_reference
ground,0,4,0.9429175475687104,182.0,144,0.0004228329809725159,digitized_source_reference
ground,0,6,0.9044397463002114,273.0,150,0.0004228329809725159,digitized_source_reference
ground,0,8,0.8706131078224102,353.0,155,0.0004228329809725159,digitized_source_reference
ground,0,10,0.8397463002114165,426.0,160,0.0004228329809725159,digitized_source_reference
ground,0,12,0.8105708245243128,495.0,147,0.0004228329809725159,digitized_source_reference
