artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0,64,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0025,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.005,61,0.9884562229271479
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0075,60,0.9844817659347531
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.01,60,0.9844817659347531
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0125,57,0.9721483356941237
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.015,54,0.9591479170272449
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0175,51,0.945404223661916
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.02,49,0.9357849740192015
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0225,47,0.9257648086129396
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.025,45,0.9153088493882792
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0275,42,0.8987195704631268
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.03,42,0.8987195704631268
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0325,41,0.8929253341030141
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.035,38,0.8746545855739309
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.0375,36,0.8616541669070521
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.04,36,0.8616541669070521
