artifact_state,length,boundary,beta,observable,family,shell_mode,shell_width,delta,count,log_d_count
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.0,64,1.0
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.005,61,0.9884562229271479
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.01,60,0.9844817659347531
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.015,56,0.9678924870096008
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.02,55,0.9635599522541101
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.025,54,0.9591479170272449
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.03,51,0.945404223661916
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.035,51,0.945404223661916
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.04,48,0.9308270834535262
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.045,46,0.9205936593428355
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.05,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.055,43,0.9043774591170164
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.06,41,0.8929253341030141
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.065,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.07,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.075,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.08,39,0.8809003698103748
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.085,38,0.8746545855739309
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.09,37,0.8682422276048251
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.095,34,0.8479104735417233
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.1,32,0.8333333333333334
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.105,28,0.8012258203429341
exploratory,6,open,0.25,sigma_z,leaf_centred,centred,8,0.11,26,0.7834066196901821
