series_id,y_m,y_mm,R0
FIG001A_R0,-0.0015,-1.5,5.736137765225166e-09
FIG001A_R0,-0.0014990000000000001,-1.499,5.749623368236016e-09
FIG001A_R0,-0.001498,-1.498,5.7622936546158555e-09
FIG001A_R0,-0.001497,-1.497,5.774144170804043e-09
FIG001A_R0,-0.001496,-1.496,5.785170738382995e-09
FIG001A_R0,-0.001495,-1.495,5.79536945557199e-09
FIG001A_R0,-0.001494,-1.494,5.804736698614664e-09
FIG001A_R0,-0.001493,-1.4929999999999999,5.813269123058546e-09
FIG001A_R0,-0.001492,-1.492,5.820963664926695e-09
FIG001A_R0,-0.0014910000000000001,-1.491,5.827817541780785e-09
FIG001A_R0,-0.00149,-1.49,5.83382825367493e-09
FIG001A_R0,-0.001489,-1.489,5.838993584000034e-09
FIG001A_R0,-0.001488,-1.488,5.843311600218259e-09
FIG001A_R0,-0.001487,-1.487,5.846780654487077e-09
FIG001A_R0,-0.0014860000000000001,-1.4860000000000002,5.849399384172701e-09
FIG001A_R0,-0.001485,-1.485,5.851166712252724e-09
FIG001A_R0,-0.001484,-1.484,5.852081847607659e-09
FIG001A_R0,-0.001483,-1.4829999999999999,5.852144285200977e-09
FIG001A_R0,-0.001482,-1.482,5.851353806148166e-09
FIG001A_R0,-0.0014810000000000001,-1.481,5.849710477673958e-09
FIG001A_R0,-0.00148,-1.48,5.84721465295809e-09
FIG001A_R0,-0.001479,-1.479,5.843866970869829e-09
FIG001A_R0,-0.001478,-1.478,5.839668355590736e-09
FIG001A_R0,-0.001477,-1.477,5.834620016126298e-09
FIG001A_R0,-0.001476,-1.4760000000000002,5.828723445706331e-09
FIG001A_R0,-0.001475,-1.4749999999999999,5.821980421074461e-09
FIG001A_R0,-0.001474,-1.474,5.8143930016667395e-09
FIG001A_R0,-0.0014730000000000001,-1.473,5.805963528680004e-09
FIG001A_R0,-0.001472,-1.472,5.7966946240300286e-09
FIG001A_R0,-0.001471,-1.471,5.7865891892000095e-09
FIG001A_R0,-0.00147,-1.47,5.7756504039798126e-09
FIG001A_R0,-0.001469,-1.469,5.763881725096365e-09
FIG001A_R0,-0.0014680000000000001,-1.4680000000000002,5.751286884735795e-09
FIG001A_R0,-0.001467,-1.467,5.737869888957961e-09
FIG001A_R0,-0.001466,-1.466,5.723635016003833e-09
FIG001A_R0,-0.001465,-1.4649999999999999,5.7085868144964195e-09
FIG001A_R0,-0.001464,-1.464,5.6927301015361034e-09
FIG001A_R0,-0.001463,-1.463,5.676069960690961e-09
FIG001A_R0,-0.001462,-1.462,5.658611739882954e-09
FIG001A_R0,-0.001461,-1.461,5.640361049170821e-09
FIG001A_R0,-0.00146,-1.46,5.621323758430485e-09
FIG001A_R0,-0.001459,-1.459,5.601505994934126e-09
FIG001A_R0,-0.001458,-1.4580000000000002,5.580914140828636e-09
FIG001A_R0,-0.001457,-1.4569999999999999,5.5595548305144895e-09
FIG001A_R0,-0.001456,-1.456,5.537434947926451e-09
FIG001A_R0,-0.0014550000000000001,-1.455,5.514561623716777e-09
FIG001A_R0,-0.001454,-1.454,5.490942232342183e-09
FIG001A_R0,-0.001453,-1.453,5.466584389056063e-09
FIG001A_R0,-0.001452,-1.452,5.441495946806675e-09
FIG001A_R0,-0.001451,-1.451,5.4156849930431e-09
FIG001A_R0,-0.0014500000000000001,-1.4500000000000002,5.3891598464298115e-09
FIG001A_R0,-0.001449,-1.449,5.361929053471567e-09
FIG001A_R0,-0.001448,-1.4480000000000002,5.3340013850497994e-09
FIG001A_R0,-0.001447,-1.4469999999999998,5.305385832872045e-09
FIG001A_R0,-0.001446,-1.446,5.2760916058358045e-09
FIG001A_R0,-0.001445,-1.445,5.246128126308434e-09
FIG001A_R0,-0.001444,-1.444,5.215505026324368e-09
FIG001A_R0,-0.001443,-1.443,5.184232143701764e-09
FIG001A_R0,-0.0014420000000000001,-1.4420000000000002,5.152319518079591e-09
FIG001A_R0,-0.001441,-1.441,5.119777386876992e-09
FIG001A_R0,-0.00144,-1.4400000000000002,5.086616181177182e-09
FIG001A_R0,-0.001439,-1.439,5.05284652153642e-09
FIG001A_R0,-0.001438,-1.438,5.018479213721075e-09
FIG001A_R0,-0.0014370000000000001,-1.437,4.983525244373675e-09
FIG001A_R0,-0.001436,-1.436,4.947995776610098e-09
FIG001A_R0,-0.001435,-1.435,4.911902145549957e-09
FIG001A_R0,-0.001434,-1.434,4.875255853781409e-09
FIG001A_R0,-0.001433,-1.433,4.838068566763125e-09
FIG001A_R0,-0.0014320000000000001,-1.4320000000000002,4.8003521081646975e-09
FIG001A_R0,-0.001431,-1.431,4.762118455147654e-09
FIG001A_R0,-0.00143,-1.4300000000000002,4.7233797335893585e-09
FIG001A_R0,-0.0014290000000000001,-1.429,4.6841482132513234e-09
FIG001A_R0,-0.001428,-1.428,4.6444363028942655e-09
FIG001A_R0,-0.001427,-1.427,4.604256545342062e-09
FIG001A_R0,-0.001426,-1.426,4.563621612496286e-09
FIG001A_R0,-0.001425,-1.425,4.522544300304074e-09
FIG001A_R0,-0.0014240000000000001,-1.4240000000000002,4.481037523680709e-09
FIG001A_R0,-0.001423,-1.423,4.439114311389777e-09
FIG001A_R0,-0.001422,-1.4220000000000002,4.396787800882609e-09
FIG001A_R0,-0.001421,-1.421,4.354071233099287e-09
FIG001A_R0,-0.00142,-1.42,4.310977947233757e-09
FIG001A_R0,-0.0014190000000000001,-1.419,4.267521375464745e-09
FIG001A_R0,-0.001418,-1.418,4.223715037655158e-09
FIG001A_R0,-0.001417,-1.417,4.179572536022061e-09
FIG001A_R0,-0.001416,-1.416,4.135107549779496e-09
FIG001A_R0,-0.001415,-1.415,4.090333829756546e-09
FIG001A_R0,-0.0014140000000000001,-1.4140000000000001,4.045265192992773e-09
FIG001A_R0,-0.001413,-1.413,3.9999155173135335e-09
FIG001A_R0,-0.001412,-1.4120000000000001,3.9542987358874545e-09
FIG001A_R0,-0.001411,-1.411,3.908428831768159e-09
FIG001A_R0,-0.00141,-1.41,3.86231983242317e-09
FIG001A_R0,-0.001409,-1.409,3.815985804251593e-09
FIG001A_R0,-0.001408,-1.408,3.769440847093577e-09
FIG001A_R0,-0.001407,-1.407,3.7226990887336608e-09
FIG001A_R0,-0.0014060000000000001,-1.4060000000000001,3.67577467940024e-09
FIG001A_R0,-0.001405,-1.405,3.628681786263832e-09
FIG001A_R0,-0.001404,-1.4040000000000001,3.5814345879363106e-09
FIG001A_R0,-0.001403,-1.403,3.534047268973521e-09
FIG001A_R0,-0.001402,-1.4020000000000001,3.486534014383772e-09
FIG001A_R0,-0.0014010000000000001,-1.401,3.4389090041443483e-09
FIG001A_R0,-0.0014,-1.4,3.3911864077287466e-09
FIG001A_R0,-0.001399,-1.399,3.3433803786467645e-09
FIG001A_R0,-0.001398,-1.398,3.295505048999803e-09
FIG001A_R0,-0.001397,-1.397,3.2475745240540565e-09
FIG001A_R0,-0.001396,-1.3960000000000001,3.1996028768334612e-09
FIG001A_R0,-0.001395,-1.395,3.1516041427352737e-09
FIG001A_R0,-0.001394,-1.3940000000000001,3.1035923141703173e-09
FIG001A_R0,-0.0013930000000000001,-1.3930000000000002,3.055581335230223e-09
FIG001A_R0,-0.001392,-1.392,3.007585096384178e-09
FIG001A_R0,-0.001391,-1.391,2.9596174292074457e-09
FIG001A_R0,-0.00139,-1.39,2.9116921011437804e-09
FIG001A_R0,-0.001389,-1.389,2.8638228103044257e-09
FIG001A_R0,-0.0013880000000000001,-1.3880000000000001,2.816023180305358e-09
FIG001A_R0,-0.001387,-1.387,2.7683067551458543e-09
FIG001A_R0,-0.001386,-1.3860000000000001,2.720686994129925e-09
FIG001A_R0,-0.001385,-1.385,2.673177266833121e-09
FIG001A_R0,-0.001384,-1.3840000000000001,2.625790848117127e-09
FIG001A_R0,-0.0013830000000000001,-1.383,2.578540913193968e-09
FIG001A_R0,-0.001382,-1.382,2.5314405327421726e-09
FIG001A_R0,-0.001381,-1.381,2.4845026680772898e-09
FIG001A_R0,-0.0013800000000000002,-1.3800000000000001,2.4377401663783916e-09
FIG001A_R0,-0.001379,-1.379,2.391165755973099e-09
FIG001A_R0,-0.001378,-1.3780000000000001,2.3447920416830744e-09
FIG001A_R0,-0.001377,-1.377,2.2986315002319733e-09
FIG001A_R0,-0.001376,-1.3760000000000001,2.2526964757180883e-09
FIG001A_R0,-0.001375,-1.375,2.2069991751533867e-09
FIG001A_R0,-0.001374,-1.374,2.161551664071316e-09
FIG001A_R0,-0.001373,-1.373,2.116365862204999e-09
FIG001A_R0,-0.001372,-1.3719999999999999,2.0714535392378697e-09
FIG001A_R0,-0.001371,-1.371,2.026826310628831e-09
FIG001A_R0,-0.0013700000000000001,-1.37,1.982495633513393e-09
FIG001A_R0,-0.001369,-1.369,1.938472802682998e-09
FIG001A_R0,-0.001368,-1.368,1.8947689466441966e-09
FIG001A_R0,-0.001367,-1.367,1.8513950237593682e-09
FIG001A_R0,-0.001366,-1.366,1.8083618184708503e-09
FIG001A_R0,-0.0013650000000000001,-1.3650000000000002,1.7656799376100957e-09
FIG001A_R0,-0.001364,-1.3639999999999999,1.7233598067935412e-09
FIG001A_R0,-0.001363,-1.363,1.6814116669068717e-09
FIG001A_R0,-0.001362,-1.3619999999999999,1.6398455706790133e-09
FIG001A_R0,-0.001361,-1.361,1.5986713793479126e-09
FIG001A_R0,-0.00136,-1.36,1.5578987594189766e-09
FIG001A_R0,-0.001359,-1.359,1.5175371795181919e-09
FIG001A_R0,-0.001358,-1.358,1.4775959073410268e-09
FIG001A_R0,-0.0013570000000000001,-1.3570000000000002,1.4380840066986299e-09
FIG001A_R0,-0.001356,-1.356,1.3990103346626094e-09
FIG001A_R0,-0.001355,-1.355,1.3603835388097858e-09
FIG001A_R0,-0.001354,-1.3539999999999999,1.3222120545681264e-09
FIG001A_R0,-0.001353,-1.353,1.2845041026649968e-09
