ensemble,output_pair,overlap,fft_participation_ratio
integrable_Poisson,1-2,0,9.05636073104567
integrable_Poisson,1-3,1,8.790564097682898
integrable_Poisson,1-4,1,4.934273366527835
integrable_Poisson,1-5,0,7.3409667324591465
integrable_Poisson,1-6,0,26.918184466628045
integrable_Poisson,1-7,0,3.9081932839323144
integrable_Poisson,1-8,0,9.137941523666004
integrable_Poisson,2-3,1,10.156930326164584
integrable_Poisson,2-4,1,12.169775767771117
integrable_Poisson,2-5,0,7.231793906524887
integrable_Poisson,2-6,0,9.450948260335982
integrable_Poisson,2-7,0,12.30440792328748
integrable_Poisson,2-8,0,16.230447879189864
integrable_Poisson,3-5,1,6.914189133527549
integrable_Poisson,3-6,1,9.146258252307979
integrable_Poisson,3-7,1,8.326094491906177
integrable_Poisson,3-8,1,9.557334941575936
integrable_Poisson,4-5,1,7.156890763766771
integrable_Poisson,4-6,1,9.455008850888765
integrable_Poisson,4-7,1,7.187585602266618
integrable_Poisson,4-8,1,5.456850269145962
integrable_Poisson,5-6,0,6.427264639852729
integrable_Poisson,5-7,0,11.439899055497051
integrable_Poisson,5-8,0,10.794830687667067
integrable_Poisson,6-7,0,4.885568043849549
integrable_Poisson,6-8,0,10.162894144719736
integrable_Poisson,7-8,0,6.13348174200651
chaotic_GOE,1-2,0,140.97483694615846
chaotic_GOE,1-3,1,144.55162042623417
chaotic_GOE,1-4,1,133.31814919937656
chaotic_GOE,1-5,0,143.07154111201228
chaotic_GOE,1-6,0,156.84609079191688
chaotic_GOE,1-7,0,151.6239967449228
chaotic_GOE,1-8,0,143.51389045708754
chaotic_GOE,2-3,1,145.7235230342288
chaotic_GOE,2-4,1,142.47819900852016
chaotic_GOE,2-5,0,141.32462550805838
chaotic_GOE,2-6,0,159.2902833124155
chaotic_GOE,2-7,0,153.26123752721026
chaotic_GOE,2-8,0,151.40820136180807
chaotic_GOE,3-5,1,133.04063651392772
chaotic_GOE,3-6,1,158.97386138474496
chaotic_GOE,3-7,1,155.50508695983598
chaotic_GOE,3-8,1,147.08520625363934
chaotic_GOE,4-5,1,140.90182132248165
chaotic_GOE,4-6,1,152.45594893938846
chaotic_GOE,4-7,1,147.75486460417676
chaotic_GOE,4-8,1,165.42728873796966
chaotic_GOE,5-6,0,144.4283296702426
chaotic_GOE,5-7,0,154.03628984732654
chaotic_GOE,5-8,0,147.22884113847644
chaotic_GOE,6-7,0,147.88467752211656
chaotic_GOE,6-8,0,142.73131749826342
chaotic_GOE,7-8,0,143.60238128356082
