modes,D,ensemble,time_min_sff,time_min_pt,time_max_entropy,time_max_pr,min_pt_wasserstein,max_entropy,haar_entropy,entropy_gap_percent
4,6,integrable_Poisson,3.648148148148148,4.0,4.0,4.0,0.14555194722511405,0.34840443444484287,1.4500000000000002,75.97210796932117
4,6,chaotic_GOE,1.6074074074074072,3.3666666666666663,1.8888888888888886,1.8185185185185182,0.007399208316135733,1.398321814446639,1.4500000000000002,3.564012796783533
6,15,integrable_Poisson,2.662962962962963,4.0,4.0,4.0,0.08905270225373145,0.3685208368220814,2.3182289932289932,84.10334622254986
6,15,chaotic_GOE,1.79,2.0999999999999996,1.8185185185185182,2.4518518518518517,0.004549223449554829,2.216683095852546,2.3182289932289932,4.380322119731876
8,28,integrable_Poisson,3.7185185185185183,4.0,4.0,4.0,0.055214710308021886,0.3555132315460164,2.927171038966368,87.85471614697467
8,28,chaotic_GOE,1.8185185185185182,1.7481481481481478,1.6777777777777776,1.7481481481481478,0.0032518820520506704,2.818488652659767,2.927171038966368,3.7128813062108734
10,45,integrable_Poisson,3.7185185185185183,4.0,4.0,4.0,0.03704658293668503,0.32132150190870007,3.3949481155513217,90.5353044885483
10,45,chaotic_GOE,1.8888888888888886,1.79,1.8185185185185182,1.8185185185185182,0.0024575292941733705,3.2684164586142312,3.3949481155513217,3.7270571634801666
12,66,integrable_Poisson,3.4370370370370367,4.0,4.0,4.0,0.026413508600136547,0.2874148686234313,3.7744270342418993,92.38520533008106
12,66,chaotic_GOE,1.8185185185185182,1.8185185185185182,1.8888888888888886,1.8888888888888886,0.0020311838273382246,3.622583901111483,3.7744270342418993,4.022945251103904
14,91,integrable_Poisson,2.874074074074074,4.0,4.0,4.0,0.019626982665212924,0.2809315786689284,4.0935596138375265,93.13723005964562
14,91,chaotic_GOE,1.8888888888888886,2.0296296296296297,1.959259259259259,1.8888888888888886,0.0016304149250875024,3.925645869004457,4.0935596138375265,4.101900562665994
