time,sample_index,output_pair,probability,overlap
1.0,0,1-2,0.001145206625848434,0
1.0,0,1-3,0.02292018883996924,1
1.0,0,1-4,0.08901878183322323,1
1.0,0,1-5,0.010953627496726008,0
1.0,0,1-6,0.001988706992943876,0
1.0,0,1-7,0.00443714114122424,0
1.0,0,1-8,0.01493938525331745,0
1.0,0,2-3,0.03446448113431035,1
1.0,0,2-4,0.06350692680432601,1
1.0,0,2-5,0.008540089331172358,0
1.0,0,2-6,0.00036916729998427364,0
1.0,0,2-7,0.014001184639753824,0
1.0,0,2-8,0.0022570129823818496,0
1.0,0,3-4,0.30986154621375206,2
1.0,0,3-5,0.01352415504166726,1
1.0,0,3-6,0.0042137104289324675,1
1.0,0,3-7,0.04985068708539275,1
1.0,0,3-8,0.030560726188110877,1
1.0,0,4-5,0.21933674754289104,1
1.0,0,4-6,0.006573518309767603,1
1.0,0,4-7,0.02066577136347457,1
1.0,0,4-8,0.03505379365489389,1
1.0,0,5-6,0.0016820301296361548,0
1.0,0,5-7,0.02042165275695216,0
1.0,0,5-8,0.016540179136394807,0
1.0,0,6-7,0.00047289090246051843,0
1.0,0,6-8,0.0015894676729108245,0
1.0,0,7-8,0.00111122319758191,0
1.0,1,1-2,0.0051263476864071055,0
1.0,1,1-3,0.24187303271377708,1
1.0,1,1-4,0.027101600625108455,1
1.0,1,1-5,0.0009031974147652017,0
1.0,1,1-6,0.0027190878068664025,0
1.0,1,1-7,0.05578226655644471,0
1.0,1,1-8,0.0008336907348334094,0
1.0,1,2-3,0.0037908526548084747,1
1.0,1,2-4,0.007417692968745185,1
1.0,1,2-5,0.0018239277371603834,0
1.0,1,2-6,0.0017081992327977421,0
1.0,1,2-7,0.0038195142768382953,0
1.0,1,2-8,0.004873187676608231,0
1.0,1,3-4,0.0892726560296099,2
1.0,1,3-5,0.050745933120893705,1
1.0,1,3-6,0.032000929728621653,1
1.0,1,3-7,0.020531479548496614,1
1.0,1,3-8,0.21625167118795682,1
1.0,1,4-5,0.01549462526074721,1
1.0,1,4-6,0.016488191524067646,1
1.0,1,4-7,0.08151680261334635,1
1.0,1,4-8,0.02634055962695948,1
1.0,1,5-6,0.0022344784150094108,0
1.0,1,5-7,0.020518666886132277,0
1.0,1,5-8,0.0009600919275060311,0
1.0,1,6-7,0.016628836783562653,0
1.0,1,6-8,0.0028524213417434044,0
1.0,1,7-8,0.050390057920186165,0
1.0,2,1-2,0.0023137524219525468,0
1.0,2,1-3,0.03864398927178196,1
1.0,2,1-4,0.0453283074701611,1
1.0,2,1-5,0.04490974129512394,0
1.0,2,1-6,0.045755133438133644,0
1.0,2,1-7,0.008252801555209462,0
1.0,2,1-8,0.011711449460061451,0
1.0,2,2-3,0.000876747783601195,1
1.0,2,2-4,0.01943104656017516,1
1.0,2,2-5,0.0007218985091708536,0
1.0,2,2-6,0.0014565545855928304,0
1.0,2,2-7,3.945510432313991e-05,0
1.0,2,2-8,0.00344194554170197,0
1.0,2,3-4,0.1323625979123562,2
1.0,2,3-5,0.04111009212746469,1
1.0,2,3-6,0.025981796016516567,1
1.0,2,3-7,0.01272153082419031,1
1.0,2,3-8,0.063682161185713,1
1.0,2,4-5,0.1300421853626173,1
1.0,2,4-6,0.15342946696486556,1
1.0,2,4-7,0.021086795106320656,1
1.0,2,4-8,0.1404933476759623,1
1.0,2,5-6,0.018850541526503287,0
1.0,2,5-7,0.006504862410157661,0
1.0,2,5-8,0.012932214471462401,0
1.0,2,6-7,0.004577127698657535,0
1.0,2,6-8,0.008347535419536941,0
1.0,2,7-8,0.004994922300686308,0
1.0,3,1-2,0.03566374404169988,0
1.0,3,1-3,0.026819407085357908,1
1.0,3,1-4,0.06823588994101126,1
1.0,3,1-5,0.02767139637912358,0
1.0,3,1-6,0.008798798057837984,0
1.0,3,1-7,0.007419238684400282,0
1.0,3,1-8,0.005372402267863864,0
1.0,3,2-3,0.0702062895473574,1
1.0,3,2-4,0.04370849499757254,1
1.0,3,2-5,0.039618313482293104,0
1.0,3,2-6,0.023266237049073348,0
1.0,3,2-7,0.005215349238777148,0
1.0,3,2-8,0.002855982788950674,0
1.0,3,3-4,0.2661318108379619,2
1.0,3,3-5,0.05607372606012179,1
1.0,3,3-6,0.010844456743060246,1
1.0,3,3-7,0.029914240473386304,1
1.0,3,3-8,0.04786198638487969,1
1.0,3,4-5,0.06816331473928483,1
1.0,3,4-6,0.11469735695850151,1
1.0,3,4-7,0.0007231827317456952,1
1.0,3,4-8,0.003228333513195112,1
1.0,3,5-6,0.003335284911453784,0
1.0,3,5-7,0.01087020783674591,0
1.0,3,5-8,0.011034408811783076,0
1.0,3,6-7,0.004557424943967868,0
1.0,3,6-8,0.005722945257006475,0
1.0,3,7-8,0.0019897762355866122,0
1.0,4,1-2,0.00723743806081392,0
1.0,4,1-3,0.14536049392074984,1
1.0,4,1-4,0.025491181897220272,1
1.0,4,1-5,0.009190300966541996,0
1.0,4,1-6,0.012067907108363817,0
1.0,4,1-7,0.012075092746631622,0
1.0,4,1-8,0.0014898502612096481,0
1.0,4,2-3,0.022512957871698623,1
1.0,4,2-4,0.016824222127245925,1
1.0,4,2-5,0.002391086306972513,0
1.0,4,2-6,0.02398278974472792,0
1.0,4,2-7,0.00267309491133543,0
1.0,4,2-8,0.003077632967428663,0
1.0,4,3-4,0.3290430162875782,2
1.0,4,3-5,0.014532795938033645,1
1.0,4,3-6,0.11589144803169145,1
1.0,4,3-7,0.06370698804895615,1
1.0,4,3-8,0.03671891188707334,1
1.0,4,4-5,0.02887280017826021,1
1.0,4,4-6,0.06283646578987172,1
1.0,4,4-7,0.012799397297603704,1
1.0,4,4-8,0.00038726351549658844,1
1.0,4,5-6,0.026006208910861275,0
1.0,4,5-7,0.004216115929117491,0
1.0,4,5-8,0.003473116546863147,0
1.0,4,6-7,0.004233358130871515,0
1.0,4,6-8,0.012241878049496826,0
1.0,4,7-8,0.000666186567284326,0
1.79,0,1-2,0.0024693590942288708,0
1.79,0,1-3,0.006021104403220903,1
1.79,0,1-4,0.01602430102164515,1
1.79,0,1-5,0.007839273929363837,0
1.79,0,1-6,0.0004837487530682787,0
1.79,0,1-7,0.0004968921280813451,0
1.79,0,1-8,0.003949630900143732,0
1.79,0,2-3,0.06314182149706699,1
1.79,0,2-4,0.04567630390919642,1
1.79,0,2-5,0.026844775357617114,0
1.79,0,2-6,0.0036900201462504644,0
1.79,0,2-7,0.0028068140161715623,0
1.79,0,2-8,0.013806099225714574,0
1.79,0,3-4,0.11245208132907768,2
1.79,0,3-5,0.253521264452153,1
1.79,0,3-6,0.0549804756995825,1
