L,W,mu,chi_typ_r,samples
24,8.0,0.0001,2050.9300708897017,20
24,8.0,0.0003,1360.107480707965,20
24,8.0,0.001,550.1631670630868,20
24,8.0,0.003,187.84086581638354,20
24,8.0,0.01,51.83588732337623,20
24,8.0,0.03,15.336498367835295,20
24,8.0,0.1,4.017194975782788,20
24,8.0,0.3,1.1914901109151923,20
24,8.0,1.0,0.2999620696555181,20
24,10.0,0.0001,2761.7276192620952,20
24,10.0,0.0003,1907.0258189664696,20
24,10.0,0.001,786.7530801545317,20
24,10.0,0.003,254.90478012812926,20
24,10.0,0.01,63.75965595925472,20
24,10.0,0.03,17.369039484506498,20
24,10.0,0.1,4.264239126130807,20
24,10.0,0.3,1.2337417788091887,20
24,10.0,1.0,0.31799942174006596,20
24,12.0,0.0001,4114.262141329219,20
24,12.0,0.0003,2901.928488003745,20
24,12.0,0.001,1165.8849387106536,20
24,12.0,0.003,342.2213122302054,20
24,12.0,0.01,75.77145575244177,20
24,12.0,0.03,18.93661979758359,20
24,12.0,0.1,4.383942488200535,20
24,12.0,0.3,1.2483534722837657,20
24,12.0,1.0,0.32742820588961197,20
24,14.0,0.0001,5855.867049339896,20
24,14.0,0.0003,4033.288148716597,20
24,14.0,0.001,1508.4159880737434,20
24,14.0,0.003,403.2584418909929,20
24,14.0,0.01,81.99669719792625,20
24,14.0,0.03,19.305268589292336,20
24,14.0,0.1,4.30901175949681,20
24,14.0,0.3,1.2258619780408815,20
24,14.0,1.0,0.3284784991290309,20
24,15.0,0.0001,6205.213944271751,20
24,15.0,0.0003,4136.343408503999,20
24,15.0,0.001,1495.5697008917784,20
24,15.0,0.003,396.97722854868545,20
24,15.0,0.01,80.37903579659171,20
24,15.0,0.03,18.79533251043728,20
24,15.0,0.1,4.192117967887686,20
24,15.0,0.3,1.2019718235476762,20
24,15.0,1.0,0.32565647512273654,20
24,16.0,0.0001,6088.904505196769,20
24,16.0,0.0003,3955.723247117404,20
24,16.0,0.001,1408.8227259010955,20
24,16.0,0.003,375.97881187145754,20
24,16.0,0.01,76.71224383958082,20
24,16.0,0.03,17.937902703751263,20
24,16.0,0.1,4.0183389013343325,20
24,16.0,0.3,1.1677353166973448,20
24,16.0,1.0,0.3210716728566462,20
24,16.5,0.0001,5509.122470909678,20
24,16.5,0.0003,3521.996207429544,20
24,16.5,0.001,1256.4953663198075,20
24,16.5,0.003,341.9151108375971,20
24,16.5,0.01,71.04221709435942,20
24,16.5,0.03,16.945679845561287,20
24,16.5,0.1,3.8916262205870713,20
24,16.5,0.3,1.1477609199119883,20
24,16.5,1.0,0.3185493666715102,20
24,17.0,0.0001,5280.566226676071,20
24,17.0,0.0003,3322.3346115771146,20
24,17.0,0.001,1196.1471661182643,20
24,17.0,0.003,331.4714061146017,20
24,17.0,0.01,69.72247287734837,20
24,17.0,0.03,16.774963116211847,20
24,17.0,0.1,3.861040531753895,20
24,17.0,0.3,1.137799643939188,20
24,17.0,1.0,0.31693723318601225,20
24,18.0,0.0001,4031.264145204868,20
24,18.0,0.0003,2499.8933507212782,20
24,18.0,0.001,925.0928226889613,20
24,18.0,0.003,272.12992727112305,20
24,18.0,0.01,60.78192221521245,20
24,18.0,0.03,15.162488702558461,20
24,18.0,0.1,3.5866700873641926,20
24,18.0,0.3,1.086581685219137,20
24,18.0,1.0,0.3092424632497064,20
24,20.0,0.0001,2094.559985693737,20
24,20.0,0.0003,1333.0243031487335,20
24,20.0,0.001,553.0406965031177,20
24,20.0,0.003,185.6460098144687,20
24,20.0,0.01,46.64354953505979,20
24,20.0,0.03,12.59043650766269,20
24,20.0,0.1,3.1983783944715523,20
24,20.0,0.3,1.016594213402001,20
24,20.0,1.0,0.29835815691695766,20
24,24.0,0.0001,426.5875109317991,20
24,24.0,0.0003,303.6279527013203,20
24,24.0,0.001,162.65220700422472,20
24,24.0,0.003,72.05947261843649,20
