omega,spectral_weight,count,L,V,W,observable
0.01553480728385611,4.589991399351932,23,7,343,2.0,T_s
0.02050357582000571,6.216888633003786,28,7,343,2.0,T_s
0.027061592314930244,2.3157285092801865,66,7,343,2.0,T_s
0.035717173679770745,4.578963933662428,58,7,343,2.0,T_s
0.04714122069480287,3.6551124456634616,87,7,343,2.0,T_s
0.06221922004581115,3.1924610240706253,119,7,343,2.0,T_s
0.08211987907932675,4.775139740084332,154,7,343,2.0,T_s
0.10838571320948692,3.5088557981826094,212,7,343,2.0,T_s
0.1430526074762148,3.780935751903006,284,7,343,2.0,T_s
0.18880761956320988,3.638708254194845,380,7,343,2.0,T_s
0.24919725570925366,3.008976455825321,486,7,343,2.0,T_s
0.3289023631391808,2.470122897391941,669,7,343,2.0,T_s
0.43410094613863187,1.9390349334797292,854,7,343,2.0,T_s
0.5729470279260721,1.6067552788629882,1103,7,343,2.0,T_s
0.7562026752747169,1.3828368047654986,1500,7,343,2.0,T_s
0.998072174599751,1.0320921373310075,1938,7,343,2.0,T_s
1.317303017142052,0.6369381925467037,2516,7,343,2.0,T_s
1.738639031458263,0.48803723740167027,3025,7,343,2.0,T_s
2.294738296636084,0.37810608552050334,3316,7,343,2.0,T_s
3.028704495165755,0.37354680384527195,3113,7,343,2.0,T_s
3.9974279125790764,0.5154671011083596,2463,7,343,2.0,T_s
5.275995047312065,0.7107075230432929,1132,7,343,2.0,T_s
6.963508623049074,0.5235899063031351,26,7,343,2.0,T_s
0.03154528338322445,2.2919836692281432,12,7,343,16.5,T_s
0.04034463503737201,2.9858588749988657,38,7,343,16.5,T_s
0.05159850861141222,4.067394873030442,26,7,343,16.5,T_s
0.06599157703262758,4.2638920286424495,34,7,343,16.5,T_s
0.08439949828879421,4.494778732451973,57,7,343,16.5,T_s
0.10794218946879061,5.471877367118469,77,7,343,16.5,T_s
0.13805196125038194,1.5739030258169069,102,7,343,16.5,T_s
0.17656065806027865,4.733069218164918,101,7,343,16.5,T_s
0.22581110541515326,2.19407468036503,135,7,343,16.5,T_s
0.28879964477366743,1.5106902988615252,197,7,343,16.5,T_s
0.3693584275585391,2.252922112385796,229,7,343,16.5,T_s
0.4723885589105675,2.7693140712945437,290,7,343,16.5,T_s
0.6041582753766619,2.479006658895282,368,7,343,16.5,T_s
0.7726842973248333,3.0576525600961655,462,7,343,16.5,T_s
0.988219557135333,2.560997308932365,622,7,343,16.5,T_s
1.263876975998911,2.708454445934483,801,7,343,16.5,T_s
1.6164272391963963,4.199401603681421,961,7,343,16.5,T_s
2.0673191056044167,3.4648785695316286,1346,7,343,16.5,T_s
2.643984325902452,3.0662783051674225,1785,7,343,16.5,T_s
3.3815065592275864,3.3712117177061454,2227,7,343,16.5,T_s
4.324755823276792,3.4858515304454425,2665,7,343,16.5,T_s
5.531118335384461,3.6564775470088415,3409,7,343,16.5,T_s
7.073987825015791,4.875457904329322,3986,7,343,16.5,T_s
0.0577837593933679,0.05295149535766315,12,7,343,30.0,T_s
0.07194058745408762,2.348066312258459,22,7,343,30.0,T_s
0.08956579110761767,5.409272712462733,22,7,343,30.0,T_s
0.11150911079024833,1.1333695729061095,28,7,343,30.0,T_s
0.13882847050713235,3.0470584791224766,38,7,343,30.0,T_s
0.17284098211134874,4.25917182247945,38,7,343,30.0,T_s
0.21518644546098914,2.4786746833010667,73,7,343,30.0,T_s
0.26790640590264764,1.3418220951911257,106,7,343,30.0,T_s
0.33354258057432323,4.526933341496182,94,7,343,30.0,T_s
0.41525939882380186,2.270840372332599,134,7,343,30.0,T_s
0.516996564620272,2.7014762901523346,168,7,343,30.0,T_s
0.643658996247246,3.7724380182470805,203,7,343,30.0,T_s
0.8013533005858722,4.8128448396612376,232,7,343,30.0,T_s
0.997682182807864,4.50581240812909,339,7,343,30.0,T_s
1.242110985459904,5.604437616323543,415,7,343,30.0,T_s
1.5464240283995303,6.111392590886243,500,7,343,30.0,T_s
1.925292750491199,4.706991518454011,638,7,343,30.0,T_s
2.396983044120353,5.16009192711848,772,7,343,30.0,T_s
2.9842358843010337,3.3661815353621196,994,7,343,30.0,T_s
3.715363708973662,5.06024145412809,1266,7,343,30.0,T_s
4.625615408813998,4.371054081800058,1539,7,343,30.0,T_s
5.758875734986399,4.652252561045579,2042,7,343,30.0,T_s
7.1697810561208115,5.0583024279372335,2626,7,343,30.0,T_s
