angle_deg,p_ab,p_bc,p_ac,wigner,w_limit
0,0.0916,0.1609,0.366325,-0.113825,-0.125
0.5,0.0925045929589745,0.162093254355477,0.368422847314451,-0.113825,-0.125
1,0.0934226158267576,0.163278467834755,0.370526083661513,-0.113825,-0.125
1.5,0.0943539213692016,0.164455138743316,0.372634060112518,-0.113825,-0.125
2,0.0952983552246549,0.165622765573114,0.374746120797769,-0.113825,-0.125
2.5,0.0962557557934211,0.166780847329665,0.376861603123087,-0.113825,-0.125
3,0.0972259541333707,0.167928883861712,0.378979837995083,-0.113825,-0.125
3.5,0.0982087738619213,0.169066376193143,0.381100150055064,-0.113825,-0.125
4,0.099204031064601,0.17019282685685,0.383221857921451,-0.113825,-0.125
4.5,0.100211534210398,0.171307740230206,0.385344274440603,-0.113825,-0.125
5,0.101231084074092,0.172410622871826,0.387466706945918,-0.113825,-0.125
5.5,0.102262473665766,0.17350098385929,0.389588457525056,-0.113825,-0.125
6,0.10330548816766,0.174578335127494,0.391708823295154,-0.113825,-0.125
6.5,0.104359904878567,0.175642191807298,0.393827096685865,-0.113825,-0.125
7,0.105425493165908,0.176692072564131,0.395942565730039,-0.113825,-0.125
7.5,0.106502014425662,0.177727499936228,0.39805451436189,-0.113825,-0.125
8,0.107589222050291,0.178748000672146,0.400162222722437,-0.113825,-0.125
8.5,0.108686861404789,0.179753106067242,0.402264967472031,-0.113825,-0.125
9,0.109794669810998,0.180742352298758,0.404362022109757,-0.113825,-0.125
9.5,0.1109123765403,0.181715280759191,0.40645265729949,-0.113825,-0.125
10,0.112039702814791,0.182671438387597,0.408536141202388,-0.113825,-0.125
10.5,0.113176361817051,0.183610377998516,0.410611739815567,-0.113825,-0.125
11,0.114322058708573,0.184531658608164,0.412678717316737,-0.113825,-0.125
11.5,0.115476490656957,0.185434845757572,0.414736336414529,-0.113825,-0.125
12,0.116639346871919,0.18631951183234,0.416783858704259,-0.113825,-0.125
12.5,0.117810308650177,0.187185236378689,0.418820545028866,-0.113825,-0.125
13,0.118989049429261,0.188031606415473,0.420845655844735,-0.113825,-0.125
13.5,0.120175234850291,0.188858216741843,0.422858451592134,-0.113825,-0.125
14,0.121368522829731,0.189664670240246,0.424858193069977,-0.113825,-0.125
14.5,0.122568563640152,0.190450578174447,0.426844141814598,-0.113825,-0.125
15,0.123775,0.191215560482262,0.428815560482262,-0.113825,-0.125
15.5,0.124987467172359,0.191959246062715,0.430771713235074,-0.113825,-0.125
