angle_deg,p_ab,p_bc,p_ac,wigner,w_limit
0,0.172125,0.213186395763547,0.461375,-0.0760636042364529,-0.183012701892219
0.5,0.176518817343747,0.217491426795057,0.465724763167733,-0.0717145190289294,-0.183012701892219
1,0.180955350464181,0.221816526601193,0.470029147179454,-0.0672572701140803,-0.183012701892219
1.5,0.185433247950336,0.226160377714657,0.474286840878097,-0.0626932152131037,-0.183012701892219
2,0.189951145791259,0.230521656956319,0.478496547328914,-0.0580237445813349,-0.183012701892219
2.5,0.194507667791503,0.234899035838275,0.48265698421454,-0.0532502805847627,-0.183012701892219
3,0.199101425990325,0.239291180968511,0.486766884225598,-0.0483742772667621,-0.183012701892219
3.5,0.203731021084478,0.243696754457074,0.49082499544673,-0.0433972199051787,-0.183012701892219
4,0.208395042854448,0.248114414323601,0.494830081737947,-0.0383206245598984,-0.183012701892219
4.5,0.213092070594022,0.252542814906102,0.498780923111165,-0.0331460376110419,-0.183012701892219
5,0.21782067354305,0.25698060727086,0.502676316101831,-0.0278750352879208,-0.183012701892219
5.5,0.222579411323267,0.261426439623333,0.506515074135504,-0.0225092231889043,-0.183012701892219
6,0.227366834377046,0.265878957719916,0.5102960278893,-0.0170502357923373,-0.183012701892219
6.5,0.232181484408948,0.270336805280466,0.514018025648078,-0.0114997359586635,-0.183012701892219
7,0.237021894829933,0.274798624401431,0.517679933655265,-0.00585941442390092,-0.183012701892219
7.5,0.241886591204096,0.279263055969485,0.521280636458209,-0.000130989284628069,-0.183012701892219
8,0.246774091697796,0.283728740075524,0.524819037247955,0.00568379452536494,-0.183012701892219
8.5,0.251682907531037,0.288194316428909,0.528294058193345,0.0115831657666007,-0.183012701892219
9,0.256611543430963,0.292658424771824,0.531704640769336,0.0175653274334505,-0.183012701892219
9.5,0.261558498087334,0.297119705293623,0.535049746079437,0.0236284573015204,-0.183012701892219
10,0.26652226460984,0.301576799045041,0.538328355172164,0.0297707084827173,-0.183012701892219
10.5,0.271501330987113,0.306028348352146,0.541539469351429,0.0359902099878304,-0.183012701892219
11,0.276494180547301,0.310472997229895,0.544682110480744,0.0422850672964514,-0.183012701892219
11.5,0.281499292420061,0.314909391795183,0.54775532128118,0.0486533629340645,-0.183012701892219
12,0.286515141999831,0.31933618067925,0.550758165622954,0.0550931570561276,-0.183012701892219
12.5,0.29154020141024,0.323752015439318,0.553689728810591,0.0616024880389672,-0.183012701892219
13,0.296572939969512,0.328155550969343,0.556549117861546,0.0681793730773086,-0.183012701892219
13.5,0.301611824656728,0.332545445909743,0.559335461778214,0.0748218087882575,-0.183012701892219
14,0.306655320578802,0.336920363055994,0.562047911813246,0.0815277718215498,-0.183012701892219
14.5,0.311701891438016,0.341278969765953,0.564685641728086,0.0882952194758831,-0.183012701892219
15,0.31675,0.345619938365793,0.567247848044649,0.0951220903211443,-0.183012701892219
15.5,0.321798108561984,0.349941946554427,0.56973375029007,0.102006304826341,-0.183012701892219
16,0.326844679421198,0.354243677806291,0.572142591234445,0.108945765993045,-0.183012701892219
16.5,0.331888175343272,0.358523821772376,0.574473637121485,0.115938359994162,-0.183012701892219
17,0.336927060030488,0.362781074679365,0.576726177892034,0.122981956817819,-0.183012701892219
17.5,0.34195979858976,0.367014139726783,0.578899527400351,0.130074410916193,-0.183012701892219
18,0.346984858000169,0.37122172748201,0.580993023623122,0.137213561859057,-0.183012701892219
18.5,0.352000707579939,0.375402556273056,0.583006028861118,0.144397234991877,-0.183012701892219
19,0.357005819452699,0.37955535257897,0.584937929933443,0.151623242098225,-0.183012701892219
19.5,0.361998669012887,0.383678851417768,0.586788138364316,0.158889382066339,-0.183012701892219
20,0.36697773539016,0.387771796731759,0.588556090562324,0.166193441559595,-0.183012701892219
20.5,0.371941501912666,0.391832941770152,0.590241247992103,0.173533195690715,-0.183012701892219
21,0.376888456569037,0.395861049468825,0.591843097338373,0.180906408699489,-0.183012701892219
21.5,0.381817092468963,0.399854892827153,0.593361150662308,0.188310834633808,-0.183012701892219
22,0.386725908302204,0.403813255281761,0.594794945550159,0.195744218033806,-0.183012701892219
22.5,0.391613408795904,0.407734931077097,0.596144045254113,0.203204294618888,-0.183012701892219
23,0.396478105170067,0.411618725632726,0.597408038825332,0.210688791977461,-0.183012701892219
23.5,0.401318515591052,0.415463455907203,0.598586541239129,0.218195430259125,-0.183012701892219
24,0.406133165622954,0.41926795075844,0.599679193512253,0.22572192286914,-0.183012701892219
24.5,0.410920588676733,0.423031051300452,0.600685662812237,0.233265977164947,-0.183012701892219
25,0.41567932645695,0.426751611256359,0.601605642558781,0.240825295154528,-0.183012701892219
25.5,0.420407929405978,0.430428497307557,0.602438852517144,0.248397574196392,-0.183012701892219
26,0.425104957145553,0.434060589438936,0.603185038883499,0.255980507700989,-0.183012701892219
26.5,0.429768978915523,0.437646781280048,0.603843974362252,0.263571785833318,-0.183012701892219
27,0.434398574009675,0.441185980442117,0.604415458235273,0.271169096216519,-0.183012701892219
27.5,0.438992332208497,0.444677108850795,0.604899316423038,0.278770124636255,-0.183012701892219
28,0.443548854208741,0.448119103074548,0.605295401537654,0.286372555745635,-0.183012701892219
28.5,0.448066752049664,0.451510914648593,0.605603592927761,0.293974073770496,-0.183012701892219
29,0.452544649535819,0.454851510394266,0.605823796715274,0.301572363214812,-0.183012701892219
29.5,0.456981182656253,0.458139872733743,0.605955945823986,0.30916510956601,-0.183012701892219
30,0.461375,0.461375,0.606,0.31675,-0.183012701892219
30.5,0.465724763167733,0.464555906741932,0.605955945823986,0.32432472408568,-0.183012701892219
31,0.470029147179454,0.467681624024532,0.605823796715274,0.331886974488713,-0.183012701892219
31.5,0.474286840878097,0.470751199724036,0.605603592927761,0.339434447674372,-0.183012701892219
32,0.478496547328914,0.47376369881795,0.605295401537654,0.346964844609209,-0.183012701892219
32.5,0.48265698421454,0.476718203669867,0.604899316423038,0.354475871461369,-0.183012701892219
33,0.486766884225598,0.479613814308988,0.604415458235273,0.361965240299313,-0.183012701892219
33.5,0.49082499544673,0.482449648704263,0.603843974362253,0.369430669788741,-0.183012701892219
34,0.494830081737947,0.485224843033063,0.603185038883499,0.376869885887511,-0.183012701892219
34.5,0.498780923111165,0.487938551944312,0.602438852517144,0.384280622538334,-0.183012701892219
35,0.502676316101831,0.490589948815987,0.601605642558781,0.391660622359038,-0.183012701892219
35.5,0.506515074135504,0.493178226006917,0.600685662812237,0.399007637330184,-0.183012701892219
36,0.5102960278893,0.495702595102795,0.599679193512253,0.406319429479841,-0.183012701892219
36.5,0.514018025648078,0.498162287156341,0.598586541239129,0.41359377156529,-0.183012701892219
37,0.517679933655265,0.500556552921529,0.597408038825332,0.420828447751462,-0.183012701892219
37.5,0.521280636458209,0.502884663081811,0.596144045254113,0.428021254285907,-0.183012701892219
38,0.524819037247955,0.505145908472281,0.594794945550159,0.435170000170078,-0.183012701892219
38.5,0.528294058193345,0.507339600295687,0.593361150662308,0.442272507826725,-0.183012701892219
39,0.531704640769336,0.50946507033225,0.591843097338373,0.449326613763213,-0.183012701892219
39.5,0.535049746079437,0.511521671143205,0.590241247992103,0.45633016923054,-0.183012701892219
40,0.538328355172164,0.513508776268024,0.588556090562324,0.463281040877864,-0.183012701892219
40.5,0.541539469351429,0.515425780415236,0.586788138364316,0.470177111402349,-0.183012701892219
41,0.544682110480744,0.517272099646807,0.584937929933443,0.477016280194108,-0.183012701892219
41.5,0.54775532128118,0.519047171556013,0.583006028861118,0.483796463976074,-0.183012701892219
42,0.550758165622954,0.520750455438756,0.580993023623123,0.490515597438587,-0.183012701892219
42.5,0.553689728810591,0.522381432458264,0.578899527400351,0.497171633868504,-0.183012701892219
43,0.556549117861546,0.523939605803138,0.576726177892034,0.50376254577265,-0.183012701892219
43.5,0.559335461778214,0.525424500838684,0.574473637121486,0.510286325495412,-0.183012701892219
44,0.562047911813246,0.526835665251487,0.572142591234445,0.516740985830289,-0.183012701892219
44.5,0.564685641728086,0.528172669187198,0.56973375029007,0.523124560625214,-0.183012701892219
45,0.567247848044649,0.529435105381467,0.567247848044649,0.529435105381467,-0.183012701892219
45.5,0.56973375029007,0.530622589283999,0.564685641728086,0.535670697845983,-0.183012701892219
46,0.572142591234445,0.531734759175693,0.562047911813246,0.541829438596892,-0.183012701892219
46.5,0.574473637121485,0.532771276278828,0.559335461778214,0.5479094516221,-0.183012701892219
47,0.576726177892034,0.533731824860252,0.556549117861546,0.553908884890741,-0.183012701892219
47.5,0.578899527400351,0.534616112327563,0.553689728810591,0.559825910917323,-0.183012701892219
48,0.580993023623122,0.535423869318232,0.550758165622954,0.5656587273184,-0.183012701892219
48.5,0.583006028861118,0.536154849781654,0.54775532128118,0.571405557361592,-0.183012701892219
49,0.584937929933443,0.536808831054099,0.544682110480744,0.577064650506797,-0.183012701892219
49.5,0.586788138364316,0.537385613926536,0.541539469351429,0.582634282939423,-0.183012701892219
50,0.588556090562324,0.537885022705315,0.538328355172164,0.588112758095475,-0.183012701892219
50.5,0.590241247992103,0.538306905265684,0.535049746079437,0.59349840717835,-0.183012701892219
51,0.591843097338373,0.538651133098129,0.531704640769336,0.598789589667166,-0.183012701892219
51.5,0.593361150662308,0.538917601347516,0.528294058193345,0.603984693816479,-0.183012701892219
52,0.594794945550159,0.539106228845036,0.524819037247955,0.60908213714724,-0.183012701892219
52.5,0.596144045254113,0.539216958132926,0.521280636458209,0.614080366928831,-0.183012701892219
53,0.597408038825332,0.539249755481972,0.517679933655265,0.618977860652039,-0.183012701892219
53.5,0.598586541239129,0.539204610901784,0.514018025648078,0.623773126492835,-0.183012701892219
54,0.599679193512253,0.539081538143838,0.5102960278893,0.628464703766791,-0.183012701892219
54.5,0.600685662812237,0.538880574697288,0.506515074135504,0.63305116337402,-0.183012701892219
55,0.601605642558781,0.538601781777548,0.502676316101832,0.637531108234497,-0.183012701892219
55.5,0.602438852517144,0.538245244307641,0.498780923111166,0.641903173713618,-0.183012701892219
56,0.603185038883499,0.537811070892334,0.494830081737947,0.646166028037886,-0.183012701892219
56.5,0.603843974362252,0.537299393785055,0.49082499544673,0.650318372700578,-0.183012701892219
57,0.604415458235273,0.53671036884761,0.486766884225598,0.654358942857285,-0.183012701892219
57.5,0.604899316423038,0.536044175502698,0.48265698421454,0.658286507711195,-0.183012701892219
58,0.605295401537654,0.535301016679267,0.478496547328914,0.662099870888007,-0.183012701892219
58.5,0.605603592927761,0.534481118750693,0.474286840878097,0.665797870800357,-0.183012701892219
59,0.605823796715274,0.533584731465828,0.470029147179455,0.669379381001647,-0.183012701892219
59.5,0.605955945823986,0.532612127872923,0.465724763167733,0.672843310529176,-0.183012701892219
60,0.606,0.531563604236453,0.461375,0.676188604236453,-0.183012701892219
60.5,0.605955945823986,0.530439479946876,0.456981182656253,0.679414243114609,-0.183012701892219
61,0.605823796715274,0.529240097423339,0.452544649535819,0.682519244602794,-0.183012701892219
61.5,0.605603592927761,0.527965822009379,0.448066752049664,0.685502662887476,-0.183012701892219
62,0.605295401537654,0.52661704186163,0.443548854208741,0.688363589190544,-0.183012701892219
62.5,0.604899316423038,0.525194167831592,0.438992332208497,0.691101152046132,-0.183012701892219
63,0.604415458235273,0.523697633340477,0.434398574009675,0.693714517566075,-0.183012701892219
