n,signal_example,mean,variance
0,0.00823449548956928,0.03559398121763777,0.09050873961036839
1,0.19518092727351916,0.05224451443498496,0.0866972830034047
2,0.32444192234267144,0.05259539898546693,0.08737466751644567
3,0.4199580818897544,0.04184438133538838,0.0915872479678084
4,0.49264664451822604,0.03134249092896076,0.10359719060375401
5,0.5517019509747746,0.02989733883077428,0.12227715602923821
6,0.5774440638974465,0.03052855839858589,0.13588391652644774
7,0.4465398848355037,0.02067186176433027,0.1318305253933237
8,0.19902177895189138,0.005667342922748963,0.11738290860289753
9,-0.06348628688737797,-0.002778363064401983,0.10649025067359265
10,-0.2990850212568432,-0.009721904313400271,0.10001571187520605
11,-0.49649727699705537,-0.025556556822781108,0.09763498110857854
12,-0.6561451740645114,-0.051172918398988694,0.10440698281922922
13,-0.7599506318159711,-0.07220924373372471,0.11762522605113675
14,-0.7324644539026006,-0.07493758367800094,0.12431766706927153
15,-0.4769624122222385,-0.05885856352129192,0.11701794422687785
16,-0.1700193830724123,-0.03379845351006772,0.11072599689072284
17,-0.0004909996855985001,-0.009812027309344778,0.10899509524318689
18,0.039150905559560405,0.01471811922605626,0.09830604148693403
19,-0.0001691738904834087,0.03610944633704081,0.08451471827993232
20,-0.05239683730954609,0.04705913901334056,0.08312172181035786
21,-0.015624108543331681,0.050588511853461436,0.09155454456906673
22,0.14822280501558918,0.05054821066616408,0.0970155448763231
23,0.27163835484938026,0.04449455122829976,0.10011079820112466
24,0.30147693385887386,0.035751990026641645,0.10637239797889322
25,0.32910121600112335,0.03158964766489415,0.11562929755494775
26,0.38920023252124103,0.026178469476760866,0.11863033127078443
27,0.442969959529346,0.011867164766044437,0.10972550342674542
28,0.39292513876214386,-0.007714171083383976,0.10051085085606003
29,0.19833891382467106,-0.02551357620742005,0.09809487810411704
30,-0.006357945389219378,-0.03518496780952795,0.10208469408473667
31,-0.1749049509745991,-0.04330337720332682,0.11046866427924742
32,-0.3302657744516427,-0.052121278985614035,0.12122622047946101
33,-0.47960204297364045,-0.051961118491424,0.13044755520442358
34,-0.5949373488207371,-0.03569159601415377,0.12679844638009144
35,-0.594784300738298,-0.008670126334352162,0.1118268474634961
36,-0.39870388440024146,0.01828767534991564,0.09762047415393757
37,-0.12190567065629433,0.03700467617730451,0.0960778692094103
38,0.08865621554935278,0.04576215396259809,0.10331720528008144
39,0.1899268980008594,0.04434284419177867,0.1116670580118442
40,0.19971089349633608,0.035053395898099755,0.11831821302376422
41,0.17430308469917372,0.025865377592406792,0.12064390542980633
42,0.20725228289688472,0.021478635086527757,0.11880572899912022
43,0.3281336193407992,0.014416406882377488,0.11320723684847177
44,0.36243842331455944,-0.0038754583447837077,0.10532433444308786
45,0.24742357854699212,-0.02630629524547411,0.10317665549322508
46,0.1108299804398251,-0.042957547561502565,0.10859957808120167
47,0.02485951638252527,-0.05469743325068164,0.11305910557544077
48,-0.03594207613298255,-0.06139734883330362,0.11316846444692187
49,-0.1595058901273803,-0.05847630125397905,0.1137504103444332
50,-0.3206798402455495,-0.04540004888125807,0.11562936064085137
51,-0.40327968110534573,-0.025817653474338717,0.10916832833383477
52,-0.34229177233964714,-0.0026365863602418925,0.09827705030651003
53,-0.1832004718562915,0.01632429725086993,0.09701232918556252
54,-0.007728834936305035,0.030821705078148732,0.09518937287884281
55,0.16889225217408285,0.043917057653462835,0.08689184477700808
56,0.3060435069611236,0.05067375308770963,0.08467396176928267
57,0.366876716591169,0.049053159691500536,0.0920200715409276
58,0.4084061328610612,0.04498146199239663,0.09989329603661544
59,0.47996683520635575,0.039890437788661,0.1066766115964717
60,0.5263827464823834,0.031108197646082924,0.11393256546012377
61,0.4348775070019723,0.02020853043289158,0.12025036994372344
62,0.2075042271668419,0.009526046791619865,0.1185401796037802
63,-0.03674205514781828,-0.004868671721941663,0.10320719928436103
64,-0.2447705440415745,-0.02064388252274978,0.09093366122192215
65,-0.42667811935541716,-0.03541596157734188,0.09388418861531843
66,-0.5871141556752727,-0.04468465422384897,0.10533738268079412
67,-0.6992351637154917,-0.05117221920848815,0.11744688691176675
68,-0.6889283276823662,-0.05369916922735621,0.12215857804034648
69,-0.4592814135419336,-0.04073338698915978,0.12405518470908453
70,-0.15734190272677812,-0.011168792379515506,0.12028973051622577
71,0.03554369904797331,0.02512556265052603,0.10726296212293109
72,0.10119276873996753,0.050506598098861204,0.09959076202264336
73,0.07948969690634315,0.05980682661430693,0.10420763973304858
74,0.03382190784349046,0.057058091206183936,0.11188861747064151
75,0.06359278175095386,0.05019639658664641,0.11282602370447696
76,0.21044992163505347,0.0394783577176612,0.11274339732606757
77,0.30381438063694755,0.021036912821101813,0.11650331877549133
78,0.2777063259553901,0.002504372985003081,0.11920878197227347
79,0.24289319050211508,-0.01662985477447957,0.115857127242327
80,0.25749287401155624,-0.03709907992197329,0.11214527693610289
81,0.28248803438470055,-0.054629575455064666,0.11373085373403397
82,0.20413518893393606,-0.06184821529607751,0.11621150187006851
83,0.01460253408362391,-0.06146850981937295,0.11891272174728881
84,-0.1458849720397225,-0.05863253626447138,0.11484758950937479
