alpha,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20,level_21,level_22,level_23,level_24,level_25,level_26,level_27,level_28,level_29,level_30,level_31,level_32,level_33,level_34,level_35,level_36,level_37,level_38,level_39,level_40,level_41,level_42,level_43,level_44,level_45,level_46,level_47,level_48,level_49,level_50,level_51,level_52,level_53,level_54,level_55,level_56,level_57,level_58,level_59,level_60,level_61,level_62,level_63
0.0,-5.413895325512816,-3.792485851055209,-3.7335048471526577,-3.650734955818971,-3.5619817310242214,-3.4845698441514634,-3.4323040728487597,-2.112095372695038,-2.029325481361353,-1.970344477458798,-1.9405722565666061,-1.8815912526640557,-1.8631603696938566,-1.810894598391153,-1.8041793657913003,-1.7988213613303683,-1.7519135944885968,-1.7214094744576123,-1.669143703154907,-1.6326562496628712,-1.5803904783601657,-1.5029785914874123,-0.3489350030011847,-0.2601817782064435,-0.1827698913336904,-0.1774118868727531,-0.1305041200309852,-0.1184308829702005,-0.10000000000000031,-0.04773422869729421,-0.04101899609744736,-0.011246775205258422,0.011246775205258415,0.04101899609744671,0.04773422869729434,0.09999999999999987,0.11843088297019985,0.13050412003098505,0.17741188687275344,0.18276989133369068,0.2601817782064445,0.3489350030011852,1.5029785914874112,1.580390478360167,1.6326562496628743,1.6691437031549081,1.7214094744576127,1.7519135944885982,1.7988213613303659,1.8041793657913006,1.810894598391152,1.8631603696938568,1.8815912526640555,1.9405722565666077,1.970344477458798,2.0293254813613517,2.1120953726950407,3.432304072848768,3.4845698441514656,3.561981731024222,3.6507349558189626,3.7335048471526497,3.7924858510552095,5.413895325512822
0.01,-5.36007011616861,-3.744845939650235,-3.6993423064445254,-3.6265850171675083,-3.5368913455872892,-3.448709275519466,-3.3839065803054087,-2.0841181299261557,-2.011360840649135,-1.9658572074434215,-1.9216671690689144,-1.8761635358632005,-1.8334850990011033,-1.8034062465861804,-1.7879814657953874,-1.7686824037870394,-1.7231787705813242,-1.7152241765183698,-1.650421481304302,-1.62553050493815,-1.5607278097240842,-1.472545739656272,-0.3506330309250521,-0.2609393593448321,-0.18818207006781137,-0.17275728927702033,-0.14267843686209578,-0.10795459406295611,-0.10000000000000035,-0.05449636679428464,-0.035197304785934344,-0.010306328419779817,0.010306328419780643,0.03519730478593462,0.05449636679428461,0.09999999999999971,0.10795459406295542,0.14267843686209639,0.17275728927702022,0.18818207006781137,0.260939359344831,0.35063303092505066,1.4725457396562718,1.5607278097240835,1.625530504938148,1.650421481304304,1.7152241765183684,1.7231787705813246,1.7686824037870363,1.7879814657953876,1.8034062465861818,1.833485099001106,1.8761635358632012,1.921667169068918,1.9658572074434144,2.011360840649135,2.084118129926156,3.383906580305411,3.4487092755194713,3.536891345587279,3.6265850171675083,3.699342306444524,3.7448459396502427,5.360070116168609
0.02,-5.306431279329023,-3.697495715205026,-3.665526842670085,-3.6026013568786923,-3.511748047393089,-3.4127654865743287,-3.335587668594868,-2.0565912785460894,-1.9936657927546941,-1.9616969202197605,-1.9028124832690894,-1.870843610734157,-1.8079181249427592,-1.8038299224503316,-1.7718610499153937,-1.726652104470871,-1.7089355641239956,-1.6946832319359344,-1.6317577461445378,-1.618082254638394,-1.540904436658931,-1.4419218758401737,-0.3527613560957626,-0.26190804661015893,-0.1989825608187614,-0.16701368828382496,-0.1629254857913971,-0.10000000000000028,-0.08574766781193738,-0.06803112746506357,-0.022822182020539802,-0.009146690514397182,0.00914669051439551,0.022822182020539594,0.0680311274650639,0.08574766781193731,0.10000000000000034,0.16292548579139787,0.16701368828382493,0.19898256081876137,0.26190804661015876,0.35276135609576253,1.4419218758401755,1.5409044366589317,1.6180822546383955,1.631757746144539,1.6946832319359335,1.7089355641239967,1.7266521044708711,1.7718610499153946,1.803829922450329,1.8079181249427594,1.8708436107341544,1.9028124832690898,1.9616969202197592,1.993665792754695,2.0565912785460925,3.335587668594864,3.4127654865743287,3.511748047393085,3.602601356878687,3.665526842670094,3.6974957152050267,5.306431279329019
0.03,-5.252984561045154,-3.6505524714258257,-3.6320992301117263,-3.5786566007533613,-3.4865021987076767,-3.3767600499111334,-3.2873676932709186,-2.029667140492394,-1.9762245111340242,-1.9577712698199208,-1.8840701090883454,-1.8656168677742397,-1.8121742384158788,-1.7743279602917974,-1.7558747189776935,-1.7024320896193308,-1.6849356036515843,-1.6664823623374776,-1.6130397329791166,-1.61027768757365,-1.5208853309334345,-1.4111431821368892,-0.35533918020058963,-0.2631847781549103,-0.20974214879654798,-0.19128890748244187,-0.1534426293583625,-0.09999999999999978,-0.08154675868589313,-0.06405027271814878,-0.010607643359787285,-0.007845597954320062,0.00784559795431987,0.010607643359785977,0.06405027271814867,0.08154675868589364,0.09999999999999978,0.15344262935836195,0.19128890748244168,0.20974214879654812,0.26318477815491087,0.3553391802005895,1.4111431821368872,1.5208853309334367,1.6102776875736509,1.6130397329791162,1.666482362337476,1.6849356036515868,1.7024320896193288,1.7558747189776946,1.7743279602917992,1.8121742384158803,1.8656168677742373,1.8840701090883494,1.9577712698199219,1.9762245111340226,2.029667140492386,3.287367693270921,3.3767600499111303,3.486502198707679,3.5786566007533605,3.6320992301117245,3.6505524714258257,5.252984561045153
0.04,-5.199735946167586,-3.6043310258663577,-3.599108257458019,-3.5544315580200383,-3.461102110469576,-3.3407093084487687,-3.239261524407574,-2.003703337156793,-1.9590266377188148,-1.9538038693104711,-1.8656971901683526,-1.86047442176001,-1.8157977223220352,-1.745304388147546,-1.7400816197392013,-1.695404920301226,-1.6438566041063496,-1.6386338356980095,-1.602075472750762,-1.5939571362600304,-1.5006276887095673,-1.3802348866887615,-0.35839894900924757,-0.2650695014587858,-0.2203928020208095,-0.2151700336124651,-0.14467669943797534,-0.10000000000000012,-0.09477723159165578,-0.04322891539678176,-0.006670552449538107,-0.0014477840411936459,0.0014477840411936261,0.006670552449538058,0.04322891539678158,0.09477723159165541,0.09999999999999994,0.14467669943797495,0.21517003361246495,0.22039280202081044,0.2650695014587857,0.35839894900924696,1.3802348866887564,1.5006276887095686,1.5939571362600318,1.6020754727507636,1.6386338356980077,1.6438566041063507,1.6954049203012247,1.7400816197392013,1.7453043881475458,1.8157977223220354,1.8604744217600102,1.865697190168356,1.9538038693104718,1.9590266377188168,2.0037033371567943,3.239261524407571,3.340709308448766,3.4611021104695814,3.554431558020041,3.5991082574580195,3.6043310258663643,5.199735946167581
0.05,-5.146691670852238,-3.566610940522892,-3.559992226176514,-3.5287657682270273,-3.4354912712862835,-3.3046253473009446,-3.1912811298953043,-1.9799114958471682,-1.9486850378976794,-1.9420663235513007,-1.8554105409569333,-1.848791826610557,-1.8175653686610656,-1.7245446169715937,-1.7179259026252158,-1.6866994446757253,-1.6112003995659598,-1.6045816852195829,-1.59342494773498,-1.5733552272700897,-1.48008073032935,-1.349214806344007,-0.36198559322195334,-0.26871109628120876,-0.23748463833171835,-0.23086592398534098,-0.137845172295868,-0.10661871434637717,-0.09999999999999994,-0.02450095489023481,-0.013344217405633128,-0.006725503059254784,0.006725503059255434,0.013344217405632635,0.02450095489023469,0.09999999999999964,0.10661871434637779,0.13784517229586787,0.23086592398534023,0.23748463833171782,0.268711096281208,0.3619855932219539,1.3492148063440086,1.4800807303293486,1.5733552272700921,1.5934249477349804,1.6045816852195824,1.6112003995659598,1.686699444675725,1.7179259026252167,1.7245446169715937,1.8175653686610662,1.8487918266105536,1.855410540956932,1.9420663235513012,1.9486850378976768,1.9799114958471695,3.191281129895305,3.3046253473009473,3.435491271286277,3.5287657682270237,3.5599922261765173,3.566610940522897,5.146691670852245
0.06,-5.093858235841858,-3.5346718805050563,-3.5221265260121113,-3.4970732499392714,-3.40960774356681,-3.268516695732348,-3.1434368476118637,-1.9629401706752998,-1.9378868946024566,-1.9253415401095162,-1.850421388230003,-1.8378760337370634,-1.812822757664221,-1.709330340395537,-1.6967849859025994,-1.6717317098297524,-1.5842662034573,-1.5842504922750515,-1.5717051377821123,-1.5466518617092673,-1.459186355336814,-1.3180953075023467,-0.36615518477270176,-0.2786896784002502,-0.2536364023274051,-0.24109104783446686,-0.13759863056578392,-0.11254535449293958,-0.1000000000000001,-0.02507984812048573,-0.01253449362754628,-0.012518782445298414,0.012518782445299002,0.012534493627546842,0.025079848120485693,0.0999999999999999,0.11254535449293965,0.1375986305657845,0.24109104783446658,0.2536364023274066,0.2786896784002506,0.3661551847727035,1.3180953075023463,1.4591863553368132,1.5466518617092657,1.57170513778211,1.5842504922750509,1.5842662034572976,1.6717317098297537,1.6967849859025987,1.709330340395537,1.8128227576642186,1.837876033737064,1.850421388230005,1.9253415401095162,1.937886894602456,1.9629401706753016,3.1434368476118624,3.268516695732352,3.4096077435668195,3.4970732499392647,3.522126526012118,3.534671880505052,5.093858235841864
0.07,-5.041242420576003,-3.5033612164743646,-3.494069417606302,-3.4560266081932594,-3.3833855513360085,-3.232388815352438,-3.0957380733416393,-1.9561882135046613,-1.9181454040916108,-1.9088536052235583,-1.845504347234361,-1.8362125483663032,-1.7981697389532605,-1.6945076112507997,-1.6852158123827452,-1.6471730029696998,-1.5745319461124438,-1.5578568692400003,-1.5485650703719436,-1.5105222609588995,-1.4378812041016444,-1.2868844681180864,-0.37097240112191426,-0.2983313442646603,-0.26028853485161413,-0.25099673598355876,-0.14733460828110184,-0.10929179886805512,-0.09999999999999966,-0.036650742010801714,-0.027358943142745833,-0.010683866270300744,0.010683866270300534,0.0273589431427457,0.03665074201080183,0.09999999999999945,0.1092917988680563,0.14733460828110173,0.2509967359835588,0.2602885348516139,0.2983313442646603,0.37097240112191543,1.2868844681180849,1.4378812041016444,1.5105222609588977,1.5485650703719425,1.5578568692399994,1.574531946112445,1.6471730029697005,1.6852158123827459,1.6945076112508013,1.7981697389532594,1.8362125483663068,1.84550434723436,1.9088536052235592,1.9181454040916133,1.9561882135046607,3.0957380733416437,3.2323888153524405,3.3833855513360005,3.456026608193258,3.4940694176063056,3.503361216474361,5.041242420575997
0.08,-4.9888512981859225,-3.472750653210185,-3.4700120534057355,-3.411446123228602,-3.3567582796561033,-3.1962444197375337,-3.048193663505578,-1.9539114084299831,-1.895345478252843,-1.8926068784484005,-1.84065763468035,-1.8379190348759062,-1.7793531046987738,-1.6801437747617756,-1.6774051749573298,-1.6188392447801931,-1.5641514012077011,-1.532093018529828,-1.5293544187253851,-1.4707884885482443,-1.4161006449757492,-1.2555867850571771,-0.3765062334726536,-0.32181838990015843,-0.2632524597230193,-0.2605138599185754,-0.1613045299815832,-0.10273859980444369,-0.0999999999999996,-0.0480507562319483,-0.04531215642750465,-0.013253773749633805,0.01325377374963483,0.04531215642750497,0.048050756231948495,0.1000000000000006,0.10273859980444362,0.16130452998158254,0.2605138599185759,0.26325245972301914,0.3218183899001582,0.3765062334726543,1.255586785057174,1.4161006449757505,1.470788488548245,1.5293544187253854,1.5320930185298287,1.5641514012076996,1.618839244780195,1.677405174957331,1.6801437747617742,1.7793531046987687,1.8379190348759067,1.8406576346803507,1.8926068784484031,1.8953454782528465,1.953911408429984,3.048193663505585,3.1962444197375257,3.356758279656102,3.411446123228601,3.470012053405734,3.4727506532101815,4.988851298185931
0.09,-4.9366922514346445,-3.447173546371637,-3.4429073997710917,-3.36612729565701,-3.329664915071403,-3.160083660840647,-3.000812188026785,-1.953388694708087,-1.8766085905939982,-1.8723424439934604,-1.8401462100083978,-1.8358800634078616,-1.7590999592937708,-1.6705649557776365,-1.666298809177101,-1.5895187050630104,-1.5530563244774103,-1.511293482963773,-1.5070273363632372,-1.4302472322491464,-1.393784851663544,-1.2242035974327838,-0.3828237389304518,-0.3463613583448526,-0.26958125423076057,-0.2653151076302253,-0.17678010411409087,-0.10000000000000042,-0.09573385339946476,-0.06353761941439924,-0.059271472813864,-0.017508631300227204,0.017508631300227465,0.059271472813863586,0.06353761941439916,0.0957338533994644,0.10000000000000006,0.17678010411409079,0.2653151076302254,0.2695812542307609,0.3463613583448518,0.3828237389304528,1.224203597432784,1.393784851663546,1.430247232249147,1.5070273363632376,1.5112934829637705,1.5530563244774052,1.5895187050630077,1.666298809177103,1.6705649557776354,1.7590999592937704,1.8358800634078636,1.840146210008398,1.8723424439934622,1.8766085905939962,1.9533886947080872,3.000812188026778,3.160083660840638,3.329664915071411,3.366127295657004,3.442907399771106,3.4471735463716344,4.936692251434637
