model,param,realization,nmse_h1,nmse_h2,nmse_h3,runtime_s
cluster,0.0,0,0.019608398713817483,0.1300398218947146,0.3313637767017986,124.1
cluster,0.0625,0,0.017980486052452387,0.10642086381720553,0.24662807168093562,124.4
cluster,0.125,0,0.016629186536804473,0.09283153228838903,0.20377018479877249,124.1
cluster,0.1875,0,0.01390883950125412,0.07452449995076948,0.15105988909667778,124.5
cluster,0.25,0,0.008583545876797462,0.044380371735926634,0.08082433540515882,124.5
cluster,0.3125,0,0.004961311383283692,0.017816401888488126,0.023089701729236873,124.1
cluster,0.375,0,0.0030751536810636974,0.00921266174516173,0.012345652311277176,124.3
cluster,0.4375,0,0.003683530555558299,0.011213303943712706,0.012621831833205819,124.1
cluster,0.5,0,0.0027842542914786493,0.009549640519453693,0.012506095571677419,125.5
cluster,0.5625,0,0.002779283339389496,0.0085724516825143,0.010891162723597147,125.1
cluster,0.625,0,0.0032908724553339323,0.012285603997857622,0.018352916587441516,125.1
cluster,0.6875,0,0.003124257361045737,0.01300957195162883,0.022879544171730576,125.4
cluster,0.75,0,0.004447231320894327,0.019250590889042456,0.035275889159781,124.9
cluster,0.8125,0,0.006450925490851088,0.028916875528173513,0.05144390883226767,124.9
cluster,0.875,0,0.009611598121084489,0.04063914709197351,0.07043130700487024,125.3
cluster,0.9375,0,0.020118359203134067,0.06878277688913684,0.09967458872930382,125.2
cluster,1.0,0,0.025264289145145842,0.07995077042754747,0.10812362724461305,63.9
