family,strategy,qubits,median_compile_route_seconds,gate_count,total_duration_us
synthetic_3sat,mobius_native,10,0.0006751669570803642,35,9547.46995746589
synthetic_3sat,zap_decomposed,10,0.0009611670393496752,467,41032.54779266795
synthetic_3sat,mobius_native,20,0.0012377080274745822,85,27149.83412975112
synthetic_3sat,zap_decomposed,20,0.0019950829446315765,997,107819.74317486321
p_spin_ising,mobius_native,10,0.00011741695925593376,20,5704.600436624503
p_spin_ising,zap_decomposed,10,0.0007405000505968928,820,73210.71048736233
p_spin_ising,mobius_native,20,0.0002062499988824129,40,14487.561206244001
p_spin_ising,zap_decomposed,20,0.0014712499687448144,1640,157013.58170179793
qram_oracle,mobius_native,10,0.00016612501349300146,30,8479.23246419335
qram_oracle,zap_decomposed,10,0.0012221669312566519,1390,122488.60783381811
qram_oracle,mobius_native,20,0.0002547500189393759,60,21638.734653670137
qram_oracle,zap_decomposed,20,0.002371624927036464,2780,284328.8461519006
