family,p3,p4,native_log_no_fault,zap_log_no_fault,delta_log_no_fault
synthetic_3sat,0.0,0.0,-0.9358906136198598,-3.920202887599033,2.984312273979173
synthetic_3sat,0.0,0.05,-0.9358906136198598,-3.920202887599033,2.984312273979173
synthetic_3sat,0.0,0.2,-0.9358906136198598,-3.920202887599033,2.984312273979173
synthetic_3sat,0.05,0.0,-1.8591699125957704,-3.920202887599033,2.061032975003263
synthetic_3sat,0.05,0.05,-1.8591699125957704,-3.920202887599033,2.061032975003263
synthetic_3sat,0.05,0.2,-1.8591699125957704,-3.920202887599033,2.061032975003263
synthetic_3sat,0.2,0.0,-4.952474537275634,-3.920202887599033,-1.0322716496766011
synthetic_3sat,0.2,0.05,-4.952474537275634,-3.920202887599033,-1.0322716496766011
synthetic_3sat,0.2,0.2,-4.952474537275634,-3.920202887599033,-1.0322716496766011
p_spin_ising,0.0,0.0,-0.49017295157624163,-6.38752200874575,5.897349057169508
p_spin_ising,0.0,0.05,-1.0031058954517473,-6.38752200874575,5.3844161132940025
p_spin_ising,0.0,0.2,-2.7216084647183383,-6.38752200874575,3.6659135440274113
p_spin_ising,0.05,0.0,-1.0031058954517473,-6.38752200874575,5.3844161132940025
p_spin_ising,0.05,0.05,-1.5160388393272533,-6.38752200874575,4.871483169418497
p_spin_ising,0.05,0.2,-3.234541408593844,-6.38752200874575,3.1529806001519054
p_spin_ising,0.2,0.0,-2.7216084647183383,-6.38752200874575,3.6659135440274113
p_spin_ising,0.2,0.05,-3.234541408593844,-6.38752200874575,3.1529806001519054
p_spin_ising,0.2,0.2,-4.953043977860436,-6.38752200874575,1.4344780308853133
qram_oracle,0.0,0.0,-0.7315039507901805,-10.84573070152671,10.11422675073653
qram_oracle,0.0,0.05,-1.757369838541192,-10.84573070152671,9.088360862985517
qram_oracle,0.0,0.2,-5.194374977074375,-10.84573070152671,5.651355724452335
qram_oracle,0.05,0.0,-1.244436894665686,-10.84573070152671,9.601293806861024
qram_oracle,0.05,0.05,-2.2703027824166977,-10.84573070152671,8.575427919110012
qram_oracle,0.05,0.2,-5.707307920949881,-10.84573070152671,5.138422780576829
qram_oracle,0.2,0.0,-2.9629394639322775,-10.84573070152671,7.882791237594432
qram_oracle,0.2,0.05,-3.9888053516832893,-10.84573070152671,6.85692534984342
qram_oracle,0.2,0.2,-7.425810490216472,-10.84573070152671,3.419920211310238
