family,strategy,qubits,seed,repetitions,median_compile_route_seconds,min_compile_route_seconds,gate_count,scheduled_stages,total_duration_us
synthetic_3sat,mobius_native,20,19,5,0.0012522919569164515,0.0012113749980926514,85,77,27149.83412975112
synthetic_3sat,zap_decomposed,20,19,5,0.0022049170220270753,0.0018530830275267363,997,582,107819.74317486321
synthetic_3sat,mobius_native,40,19,5,0.0025071670534089208,0.002399542019702494,183,166,77106.83660344058
synthetic_3sat,zap_decomposed,40,19,5,0.004003082984127104,0.0036594999255612493,2103,878,271468.2772360204
synthetic_3sat,mobius_native,60,19,5,0.003923707990907133,0.003650208003818989,298,274,145215.95910255844
synthetic_3sat,zap_decomposed,60,19,5,0.006036625010892749,0.005985875031910837,3178,1228,469160.2851047288
synthetic_3sat,mobius_native,80,19,5,0.005122292088344693,0.0049740830436348915,427,378,233375.73474100322
synthetic_3sat,zap_decomposed,80,19,5,0.007981458911672235,0.007849458022974432,4267,1394,722566.3692177404
synthetic_3sat,mobius_native,100,19,5,0.007077041082084179,0.006398958968929946,515,466,314600.16160508624
synthetic_3sat,zap_decomposed,100,19,5,0.010108084068633616,0.009807916008867323,5315,1613,970771.357875623
p_spin_ising,mobius_native,20,19,5,0.00013691699132323265,0.00013325002510100603,40,40,14487.561206244001
p_spin_ising,zap_decomposed,20,19,5,0.0012163750361651182,0.001192333991639316,1640,783,157013.58170179793
p_spin_ising,mobius_native,40,19,5,0.00026395905297249556,0.00025983399245887995,80,80,38633.68101851615
p_spin_ising,zap_decomposed,40,19,5,0.0026892080204561353,0.0025012920377776027,3280,1321,392980.24183878285
p_spin_ising,mobius_native,60,19,5,0.0003929591039195657,0.0003791248891502619,120,120,68280.86694090992
p_spin_ising,zap_decomposed,60,19,5,0.004105499945580959,0.003909999970346689,4920,1589,657266.1689104887
p_spin_ising,mobius_native,80,19,5,0.0005207500653341413,0.000510666985064745,160,160,102680.74385315781
p_spin_ising,zap_decomposed,80,19,5,0.005449167103506625,0.005340792005881667,6560,1998,989310.906653931
p_spin_ising,mobius_native,100,19,5,0.0006603749934583902,0.000630917027592659,200,200,143173.89653917841
p_spin_ising,zap_decomposed,100,19,5,0.007033500005491078,0.006885249982587993,8200,2201,1350761.789824349
qram_oracle,mobius_native,20,19,5,0.0002087079919874668,0.00019637495279312134,60,60,21638.734653670137
qram_oracle,zap_decomposed,20,19,5,0.0024735410697758198,0.002152667031623423,2780,1631,284328.8461519006
qram_oracle,mobius_native,40,19,5,0.00046604196541011333,0.00044054107274860144,120,120,57569.94848706325
qram_oracle,zap_decomposed,40,19,5,0.004805666976608336,0.004677291959524155,5560,2714,680845.6850753621
qram_oracle,mobius_native,60,19,5,0.0005740830674767494,0.0005646250210702419,180,180,104201.98338730246
qram_oracle,zap_decomposed,60,19,5,0.007222083047963679,0.006751374923624098,8340,3447,1180686.4564187191
qram_oracle,mobius_native,80,19,5,0.0008197079878300428,0.000806082971394062,240,240,156047.08398012412
qram_oracle,zap_decomposed,80,19,5,0.009572374983690679,0.009233125019818544,11120,3887,1719318.8010036845
qram_oracle,mobius_native,100,19,5,0.001032874919474125,0.0009732500184327364,300,300,215680.05878175524
qram_oracle,zap_decomposed,100,19,5,0.011870790971443057,0.011523541994392872,13900,4857,2357811.4981817584
