family,strategy,seed,qubits,gate_count,one_qubit_gates,two_qubit_gates,native_three_qubit_gates,native_four_qubit_gates,scheduled_stages,movement_events,movement_distance_um,movement_duration_us,transfer_events,idle_exposure,total_duration_us,idle_coherence_us,log_no_fault,no_fault
synthetic_3sat,mobius_native,7,6,20,3,9,8,0,17,84,2500.5075182779788,3836.661126268796,84,60,4354.5091262687965,15073.300779171217,-0.4392132603404834,0.6445433094462244
synthetic_3sat,zap_decomposed,7,6,212,155,57,0,0,137,228,6961.704227943433,12803.483973232003,228,228,18694.00397323201,75036.01589292803,-1.1810736367206771,0.3069490098999795
qaoa_3local,mobius_native,7,6,12,0,0,12,0,12,72,2152.480035361849,2802.1030590894165,72,36,3169.0150590894164,9507.045177268252,-0.3918690528994673,0.6757926012486177
qaoa_3local,zap_decomposed,7,6,300,228,72,0,0,228,288,8609.9201414474,15894.082985475206,288,288,26192.002985475236,109136.01194190097,-1.5111162135324228,0.22066353282081988
p_spin_ising,mobius_native,7,6,12,0,0,6,6,12,84,2509.0918770842304,2863.1445126625363,84,30,3230.0565126625356,8014.099828083219,-0.46603030444661714,0.6274882680744852
p_spin_ising,zap_decomposed,7,6,492,372,120,0,0,338,480,14607.708183566976,26847.670237700782,480,480,41826.870237700874,170635.48095080367,-2.5086214142915573,0.0813803517346445
hypergraph_4local,mobius_native,7,6,12,0,0,0,12,12,96,2776.6892513982134,2802.1030590894165,96,24,3169.015059089416,6338.0301181788345,-0.5400694730866208,0.5827077684604619
hypergraph_4local,zap_decomposed,7,6,684,516,168,0,0,478,672,19764.659049223486,36505.81422958682,672,672,57726.294229586914,236313.1769183479,-3.508912099689785,0.02992945699773814
qram_oracle,mobius_native,7,6,18,0,0,6,12,18,132,3868.7991830627316,4228.345730500885,132,42,4778.7137305008855,11045.043225267003,-0.7359729932153237,0.4790391303206992
qram_oracle,zap_decomposed,7,6,834,630,204,0,0,590,816,24441.82953816604,45052.61108821607,816,816,71318.05108821616,292656.2043528649,-4.265653554098374,0.014042686478045558
multiplier_oracle,mobius_native,7,6,15,0,6,6,3,15,84,2421.9486674753216,3329.435241615892,84,48,3786.779241615892,12100.184814520391,-0.4489557153677305,0.6382943646991097
multiplier_oracle,zap_decomposed,7,6,327,243,84,0,0,260,336,9662.986207885593,17947.699846927786,336,336,29649.93984692782,124267.75938771132,-1.7540294886622207,0.17307513218709028
qft_pairs,mobius_native,7,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
qft_pairs,zap_decomposed,7,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
ghz_chain,mobius_native,7,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
ghz_chain,zap_decomposed,7,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
synthetic_3sat,mobius_native,19,6,15,4,5,6,0,12,56,1706.3238102452085,2543.1605318431652,56,38,2930.416531843165,10063.679324614512,-0.29581013112815685,0.7439286635077159
synthetic_3sat,zap_decomposed,19,6,159,118,41,0,0,126,164,4881.820347938735,9008.247484515989,164,164,14673.007484515982,61396.02993806392,-0.8564456229320566,0.4246688361184307
qaoa_3local,mobius_native,19,6,12,0,0,12,0,12,72,2193.6852847988503,2857.814927742737,72,36,3224.7269277427367,9674.18078322821,-0.3919804766367739,0.6757173061062534
qaoa_3local,zap_decomposed,19,6,300,228,72,0,0,226,288,8774.741139195403,16148.907969607286,288,288,26342.82796960731,109531.31187842926,-1.5113797468234416,0.22060538829565332
p_spin_ising,mobius_native,19,6,12,0,0,6,6,12,84,2546.554610922253,2924.185966235656,84,30,3291.0979662356563,8258.265642375703,-0.4661930816561455,0.6273861355978415
p_spin_ising,zap_decomposed,19,6,492,372,120,0,0,347,480,14588.995605572083,26826.351898021592,480,480,42273.551898021666,173358.2075920868,-2.5104365653857457,0.08123276808398164
hypergraph_4local,mobius_native,19,6,12,0,0,0,12,12,96,2818.8846959711427,2863.1445126625363,96,24,3230.0565126625356,6460.113025325072,-0.5401508616913849,0.582660344618108
hypergraph_4local,zap_decomposed,19,6,684,516,168,0,0,479,672,20088.796403793385,37015.46419785097,672,672,58287.9441978511,238663.77679140467,-3.5104791662718227,0.029882592275518947
qram_oracle,mobius_native,19,6,18,0,0,6,12,18,132,3902.3011363570436,4289.387184074005,132,42,4839.755184074005,11228.16758598636,-0.73609507612247,0.4789806514007437
qram_oracle,zap_decomposed,19,6,834,630,204,0,0,592,816,24560.43075905791,45286.11773266896,816,816,71655.55773266905,294214.23093067645,-4.266692238483581,0.014028108131335666
multiplier_oracle,mobius_native,19,6,15,0,6,6,3,15,84,2467.0055649836677,3395.8062801088113,84,48,3853.150280108811,12365.66896849207,-0.44913270480371165,0.6381814033362906
multiplier_oracle,zap_decomposed,19,6,327,243,84,0,0,252,336,9683.125510905886,17953.029431847583,336,336,29239.269431847642,121793.07772739066,-1.7523797008886737,0.17336090509158145
qft_pairs,mobius_native,19,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
qft_pairs,zap_decomposed,19,6,15,0,15,0,0,15,60,1759.3956549373734,3257.734618203174,60,60,3713.134618203173,14852.538472812688,-0.2953076527704934,0.7443025654917345
ghz_chain,mobius_native,19,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
ghz_chain,zap_decomposed,19,6,16,11,5,0,0,11,20,557.7111693306754,1039.887652099179,20,20,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316
synthetic_3sat,mobius_native,43,6,18,2,8,8,0,16,80,2399.517323142051,3644.089637515464,80,56,4131.577637515464,14228.245239238086,-0.41932278094117365,0.6574919351472582
synthetic_3sat,zap_decomposed,43,6,210,154,56,0,0,158,224,6880.853335827793,12637.560409077667,224,224,19641.720409077676,81166.8816363107,-1.1658337715102445,0.31166269819392556
qaoa_3local,mobius_native,43,6,12,0,0,12,0,12,72,2157.321878569122,2802.1030590894165,72,36,3169.015059089416,9507.045177268248,-0.3918690528994673,0.6757926012486177
