family,strategy,qubits,samples,mean_gate_count,mean_scheduled_stages,mean_movement_events,mean_movement_distance_um,mean_movement_duration_us,mean_transfer_events,mean_idle_exposure,mean_total_duration_us,mean_idle_coherence_us,mean_log_no_fault,mean_no_fault,mean_native_three_qubit_gates
ghz_chain,mobius_native,6,5,16.0,11.0,20.0,557.7111693306754,1039.887652099179,20.0,20.0,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316,0.0
ghz_chain,mobius_native,10,5,28.0,19.0,36.0,1284.31746400203,2071.0264312120926,36.0,72.0,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228,0.0
ghz_chain,mobius_native,20,5,58.0,39.0,76.0,4218.8596962055735,5377.093774939,76.0,342.0,6993.933774938999,125942.80794890199,-1.1230104819132216,0.32529901225719965,0.0
ghz_chain,mobius_native,30,5,88.0,59.0,116.0,8747.980742440926,9468.592772685693,116.0,812.0,11909.032772685689,333504.91763519926,-2.5340027559785945,0.07934080196621632,0.0
ghz_chain,zap_decomposed,6,5,16.0,11.0,20.0,557.7111693306754,1039.887652099179,20.0,20.0,1503.6876520991789,6066.750608396715,-0.10248031565638138,0.9025959165862316,0.0
ghz_chain,zap_decomposed,10,5,28.0,19.0,36.0,1284.31746400203,2071.0264312120926,36.0,72.0,2864.2664312120924,22966.13144969674,-0.28236787359627186,0.753996258192228,0.0
ghz_chain,zap_decomposed,20,5,58.0,39.0,76.0,4218.8596962055735,5377.093774939,76.0,342.0,6993.933774938999,125942.80794890199,-1.1230104819132216,0.32529901225719965,0.0
ghz_chain,zap_decomposed,30,5,88.0,59.0,116.0,8747.980742440926,9468.592772685693,116.0,812.0,11909.032772685689,333504.91763519926,-2.5340027559785945,0.07934080196621632,0.0
hypergraph_4local,mobius_native,6,5,12.0,12.0,96.0,2808.706908800833,2850.9362219479126,96.0,24.0,3217.848221947912,6435.696443895825,-0.5401345839704321,0.5826698293865789,0.0
hypergraph_4local,mobius_native,10,5,20.0,20.0,160.0,5697.1898462736035,5110.085726370788,160.0,120.0,5721.605726370788,34329.634358224735,-1.116210373145797,0.3275186238820787,0.0
hypergraph_4local,mobius_native,20,5,40.0,40.0,320.0,17825.253487517446,13485.013117804425,320.0,640.0,14708.053117804433,235328.84988487093,-3.344785887651266,0.035267785236718065,0.0
hypergraph_4local,mobius_native,30,5,60.0,60.0,480.0,35775.39997431137,23839.99542656988,480.0,1560.0,25674.55542656988,667538.4410908169,-6.728753739856993,0.0011960427283668183,0.0
hypergraph_4local,zap_decomposed,6,5,684.0,480.2,672.0,20008.91476565945,36909.270536262295,672.0,672.0,58244.150536262416,238613.40214504994,-3.5104455831742527,0.02988360631364046,0.0
hypergraph_4local,zap_decomposed,10,5,1140.0,765.6,1120.0,39907.65464232133,68454.89983926546,1120.0,2240.0,102206.89983926559,823437.5987141257,-8.938080879675812,0.000131300421431637,0.0
hypergraph_4local,zap_decomposed,20,5,2280.0,1372.2,2240.0,124579.8622662385,177450.07482568047,2240.0,10080.0,236686.07482567997,4255378.146862238,-33.63269294710442,2.4778807527985206e-15,0.0
hypergraph_4local,zap_decomposed,30,5,3420.0,1830.8,3360.0,250194.03653697902,310839.58753634995,3360.0,23520.0,387863.58753634704,10829063.651017714,-74.43933087333474,4.7091648368598616e-33,0.0
multiplier_oracle,mobius_native,6,5,15.0,15.0,84.0,2475.246614871068,3402.684985903636,84.0,48.0,3860.0289859036357,12284.375092223712,-0.4490785088861994,0.6382159927272115,6.0
multiplier_oracle,mobius_native,10,5,25.0,25.0,140.0,4903.443779862525,6152.376045834096,140.0,180.0,6914.616045834096,49629.92869905605,-1.0182145167635244,0.3612393795443908,10.0
multiplier_oracle,mobius_native,20,5,50.0,50.0,280.0,15591.012380797483,16202.00402024591,280.0,860.0,17726.48402024591,304605.93880529754,-3.424891530191078,0.032552982488728496,20.0
multiplier_oracle,mobius_native,30,5,75.0,75.0,420.0,31486.10007564557,28650.34556907206,420.0,2040.0,30937.065569072052,840795.0228680844,-7.270609035315568,0.0006957049251289347,30.0
multiplier_oracle,zap_decomposed,6,5,327.0,244.8,336.0,9940.156948936972,18358.034859398096,336.0,336.0,29269.874859398133,121166.6994375926,-1.7519621153621414,0.17343349448292072,0.0
multiplier_oracle,zap_decomposed,10,5,545.0,354.0,560.0,19914.207011191775,34045.366396556296,560.0,1120.0,49423.76639655645,396586.13117245183,-4.4514508691564485,0.011662061915972459,0.0
multiplier_oracle,zap_decomposed,20,5,1090.0,523.8,1120.0,61845.66085613602,87757.26762595188,1120.0,5040.0,108935.667625952,1944077.2172671366,-16.67893631899279,5.712334208335123e-08,0.0
multiplier_oracle,zap_decomposed,30,5,1635.0,655.0,1680.0,125316.56706736787,155146.98283249987,1680.0,11760.0,180118.18283249947,5004569.119309986,-36.92385359019297,9.223659388526511e-17,0.0
p_spin_ising,mobius_native,6,5,12.0,12.0,84.0,2506.6483286976572,2863.1445126625363,84.0,30.0,3230.056512662536,8038.516409512468,-0.46604658216757,0.6274780566972591,6.0
p_spin_ising,mobius_native,10,5,20.0,20.0,140.0,4945.393540228809,5076.396852686865,140.0,130.0,5687.916852686865,36952.21660610684,-0.9926978472333744,0.37057560882828805,10.0
