number_of_ions,gate_duration_us,low_l_infidelity,circular_infidelity,parameter_match
1,5.0,0.025385287749642996,0.001021007962014514,reconstructed
2,5.0,0.025385287749642996,0.001021007962014514,reconstructed
3,5.0,0.025385287749642996,0.001021007962014514,reconstructed
4,5.0,0.025385287749642996,0.001021007962014514,reconstructed
5,5.0,0.025385287749642996,0.001021007962014514,reconstructed
6,5.0,0.025385287749642996,0.001021007962014514,reconstructed
7,5.0,0.025385287749642996,0.001021007962014514,reconstructed
8,5.0,0.025385287749642996,0.001021007962014514,reconstructed
9,5.0,0.025385287749642996,0.001021007962014514,reconstructed
10,5.0,0.025385287749642996,0.001021007962014514,reconstructed
11,5.0,0.025385287749642996,0.001021007962014514,reconstructed
12,5.0,0.025385287749642996,0.001021007962014514,reconstructed
13,5.0,0.025385287749642996,0.001021007962014514,reconstructed
14,5.0,0.025385287749642996,0.001021007962014514,reconstructed
15,5.0,0.025385287749642996,0.001021007962014514,reconstructed
16,5.0,0.025385287749642996,0.001021007962014514,reconstructed
17,5.0,0.025385287749642996,0.001021007962014514,reconstructed
18,5.0,0.025385287749642996,0.001021007962014514,reconstructed
19,5.0,0.025385287749642996,0.001021007962014514,reconstructed
20,5.0,0.025385287749642996,0.001021007962014514,reconstructed
21,5.0,0.025385287749642996,0.001021007962014514,reconstructed
22,5.0,0.025385287749642996,0.001021007962014514,reconstructed
23,5.0,0.025385287749642996,0.001021007962014514,reconstructed
24,5.0,0.025385287749642996,0.001021007962014514,reconstructed
25,5.0,0.025385287749642996,0.001021007962014514,reconstructed
26,5.133333333333334,0.026019018118511584,0.0010215681622519795,reconstructed
27,5.266666666666667,0.026651904076620613,0.00102212836186177,reconstructed
28,5.4,0.027283946749100854,0.001022688560843886,reconstructed
29,5.533333333333333,0.027915147259583876,0.0010232487591983284,reconstructed
30,5.666666666666667,0.0285455067302041,0.001023808956925098,reconstructed
31,5.8,0.029175026281600742,0.0010243691540241955,reconstructed
32,5.933333333333334,0.029803707032919846,0.0010249293504956214,reconstructed
33,6.066666666666666,0.030431550101816234,0.0010254895463393766,reconstructed
34,6.2,0.031058556604455535,0.0010260497415554618,reconstructed
35,6.333333333333333,0.03168472765551614,0.0010266099361438776,reconstructed
36,6.466666666666667,0.0323100643681912,0.0010271701301046248,reconstructed
37,6.6,0.03293456785419058,0.0010277303234377038,reconstructed
38,6.733333333333333,0.03355823922374287,0.001028290516143116,reconstructed
39,6.866666666666667,0.03418107958559733,0.0010288507082208613,reconstructed
40,7.0,0.03480309004702589,0.0010294108996709407,reconstructed
41,7.133333333333333,0.035424271713825076,0.0010299710904933552,reconstructed
42,7.266666666666667,0.03604462569031802,0.0010305312806881052,reconstructed
43,7.4,0.036664153079356415,0.0010310914702551914,reconstructed
44,7.533333333333333,0.037282854982322415,0.0010316516591946147,reconstructed
45,7.666666666666666,0.0379007324991307,0.0010322118475063755,reconstructed
46,7.8,0.03851778672823036,0.0010327720351904748,reconstructed
47,7.933333333333334,0.03913401876660684,0.0010333322222469132,reconstructed
48,8.066666666666666,0.03974942970978392,0.0010338924086756914,reconstructed
49,8.2,0.04036402065182567,0.00103445259447681,reconstructed
50,8.333333333333334,0.04097779268533838,0.0010350127796502698,reconstructed
51,8.466666666666667,0.04159074690147247,0.0010355729641960715,reconstructed
52,8.6,0.042202884389924505,0.0010361331481142158,reconstructed
53,8.733333333333334,0.04281420623893908,0.0010366933314047034,reconstructed
54,8.866666666666667,0.043424713535310716,0.001037253514067535,reconstructed
55,9.0,0.04403440736438591,0.0010378136961027113,reconstructed
56,9.133333333333333,0.04464328881006495,0.001038373877510233,reconstructed
57,9.266666666666666,0.04525135895480391,0.0010389340582901009,reconstructed
58,9.4,0.04585861887961653,0.0010394942384423156,reconstructed
59,9.533333333333333,0.046465069664076174,0.0010400544179668778,reconstructed
60,9.666666666666668,0.04707071238631774,0.001040614596863788,reconstructed
61,9.8,0.04767554812303954,0.0010411747751330473,reconstructed
62,9.933333333333334,0.04827957794950528,0.0010417349527746564,reconstructed
63,10.066666666666666,0.048882802939545916,0.0010422951297886158,reconstructed
64,10.2,0.04948522416556159,0.001042855306174926,reconstructed
65,10.333333333333332,0.05008684269852352,0.001043415481933588,reconstructed
66,10.466666666666667,0.05068765960797596,0.0010439756570646025,reconstructed
67,10.6,0.05128767596203797,0.0010445358315679702,reconstructed
68,10.733333333333334,0.051886892827405474,0.0010450960054436916,reconstructed
69,10.866666666666667,0.05248531126935306,0.0010456561786917678,reconstructed
70,11.0,0.053082932351735876,0.0010462163513121992,reconstructed
71,11.133333333333333,0.05367975713699157,0.0010467765233049863,reconstructed
72,11.266666666666666,0.054275786686142136,0.0010473366946701303,reconstructed
73,11.4,0.05487102205879584,0.0010478968654076316,reconstructed
74,11.533333333333333,0.05546546431314903,0.001048457035517491,reconstructed
75,11.666666666666668,0.0560591145059881,0.0010490172049997092,reconstructed
76,11.8,0.05665197369269132,0.0010495773738542868,reconstructed
77,11.933333333333334,0.057244042927230745,0.0010501375420812246,reconstructed
78,12.066666666666666,0.057835323262174054,0.0010506977096805233,reconstructed
79,12.2,0.05842581574868645,0.0010512578766521835,reconstructed
80,12.333333333333332,0.0590155214365325,0.001051818042996206,reconstructed
81,12.466666666666667,0.059604441374078033,0.0010523782087125916,reconstructed
82,12.6,0.06019257660829198,0.0010529383738013408,reconstructed
83,12.733333333333334,0.06077992818474825,0.0010534985382624545,reconstructed
84,12.866666666666667,0.061366497147627555,0.0010540587020959331,reconstructed
85,13.0,0.06195228453971934,0.0010546188653017777,reconstructed
86,13.133333333333333,0.06253729140242356,0.0010551790278799887,reconstructed
87,13.266666666666667,0.06312151877575259,0.001055739189830567,reconstructed
88,13.4,0.06370496769833298,0.001056299351153513,reconstructed
89,13.533333333333333,0.06428763920740745,0.001056859511848828,reconstructed
90,13.666666666666666,0.0648695343388366,0.001057419671916512,reconstructed
91,13.8,0.06545065412710083,0.0010579798313565662,reconstructed
92,13.933333333333334,0.06603099960530212,0.0010585399901689911,reconstructed
93,14.066666666666666,0.06661057180516593,0.0010591001483537873,reconstructed
94,14.2,0.06718937175704298,0.0010596603059109557,reconstructed
95,14.333333333333334,0.06776740048991113,0.001060220462840497,reconstructed
96,14.466666666666667,0.06834465903137715,0.0010607806191424117,reconstructed
97,14.6,0.06892114840767861,0.0010613407748167008,reconstructed
98,14.733333333333333,0.06949686964368568,0.0010619009298633649,reconstructed
99,14.866666666666667,0.0700718237629029,0.0010624610842824044,reconstructed
100,15.0,0.0706460117874711,0.0010630212380738204,reconstructed
