mode,frequency_over_COM,edge_participation,equilibrium_position
1,0.9999999999999971,0.3162277660168375,-2.8708250814949876
2,1.7320508075688752,-0.5145559385211544,-2.1000311556974394
3,2.4168423481991836,-0.5476229614263131,-1.45038141492841
4,3.0671821118581644,-0.45239785642087604,-0.8537788259805819
5,3.6914404150743403,-0.3058657774328214,-0.28210365571416945
6,4.295508978559686,-0.17212648520257345,0.28210365571416945
7,4.8834694071613365,-0.08045994024316465,0.853778825980582
8,5.458191822187297,-0.030620549103344212,1.4503814149284102
9,6.0217624569023,0.009023099808699073,2.10003115569744
10,6.575751632831298,-0.0017946316689793724,2.8708250814949876
