circuit,display_name,family,m,r,source_overhead,computed_overhead,lower_bound,upper_bound,law_residual,evidence_stage,source_path
bristlecone_48_1-16-1_0,"bristlecone-48, d16",random,0.89668891592411137,0.089764245552888561,2.8831420774011112,2.8831420774011112,2.7933778318482227,2.8966889159241114,0,independent_reimplementation,independent_python_full/bristlecone_48_1-16-1_0.json
bristlecone_70_1-16-1_0,"bristlecone-70, d16",random,0.941033410341374,0.057447028949812691,2.9395138496325606,2.9395138496325606,2.882066820682748,2.9410334103413742,0,independent_reimplementation,independent_python_full/bristlecone_70_1-16-1_0.json
bristlecone_70_1-24-1_0,"bristlecone-70, d24",random,0.97493015478187706,0.02506868113630047,2.9749289907000547,2.9749289907000547,2.9498603095637543,2.9749301547818772,0,independent_reimplementation,independent_python_full/bristlecone_70_1-24-1_0.json
rectangular_4x4_1-16-1_0,"rect 4×4, d16",random,0.67847971237801741,0.25988700564971751,2.6168464304057526,2.6168464304057522,2.3569594247560346,2.6784797123780173,4.4408920985006262e-16,independent_reimplementation,independent_python_full/rectangular_4x4_1-16-1_0.json
rectangular_6x6_1-16-1_0,"rect 6×6, d16",random,0.90276432784576111,0.076899374944977547,2.8824280306364995,2.8824280306364995,2.8055286556915222,2.9027643278457611,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-16-1_0.json
rectangular_6x6_1-24-1_0,"rect 6×6, d24",random,0.99496227806199622,0.0048749411112522113,2.9947994972352445,2.9947994972352445,2.9899245561239924,2.9949622780619962,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-24-1_0.json
rectangular_6x6_1-32-1_0,"rect 6×6, d32",random,0.99530584609020245,0.0046939998470614062,2.9953056920274661,2.9953056920274661,2.9906116921804049,2.9953058460902025,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-32-1_0.json
rectangular_8x8_1-24-1_0,"rect 8×8, d24",random,0.92010008585776526,0.079899075344405476,2.9200992470599361,2.9200992470599361,2.8402001717155305,2.920100085857765,0,independent_reimplementation,independent_python_full/rectangular_8x8_1-24-1_0.json
rochester_53_12_0_pABC,"rochester-53, d12",random,0.99207786328655501,0.0072605077132012396,2.9914162342863113,2.9914162342863113,2.98415572657311,2.9920778632865552,0,independent_reimplementation,independent_python_full/rochester_53_12_0_pABC.json
rochester_53_8_0_pABC,"rochester-53, d8",random,0.80689598284253072,0.18320547719211416,2.7969974428771756,2.796997442877176,2.6137919656850617,2.8068959828425308,4.4408920985006262e-16,independent_reimplementation,independent_python_full/rochester_53_8_0_pABC.json
sycamore_53_10_0,"sycamore-53, m=10",random,0.99999987797211753,1.1385376596492612e-07,2.999999869798001,2.999999869798001,2.9999997559442351,2.9999998779721175,0,independent_reimplementation,independent_python_full/sycamore_53_10_0.json
test,test (5q),random,0.26751592356687898,0.4140127388535032,1.9490445859872612,1.9490445859872612,1.5350318471337578,2.2675159235668789,0,independent_reimplementation,independent_python_full/test.json
ct_grid6x6_d16_f000_s0,ct_grid6x6_d16_f000_s0,Clifford+T,0,0,1,1,1,2,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f000_s0.json
ct_grid6x6_d16_f010_uniform_s0,ct_grid6x6_d16_f010_uniform_s0,Clifford+T,0.63688426256175867,0.36311495337035599,2.6368834784938735,2.6368834784938735,2.2737685251235176,2.6368842625617588,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f010_uniform_s0.json
ct_grid6x6_d16_f010_uniform_s1,ct_grid6x6_d16_f010_uniform_s1,Clifford+T,0.89440868255667949,0.10559006070019769,2.8944074258135566,2.8944074258135566,2.788817365113359,2.8944086825566795,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f010_uniform_s1.json
ct_grid6x6_d16_f025_spatial_s0,ct_grid6x6_d16_f025_spatial_s0,Clifford+T,0.085258354383808549,0.91015205910010633,2.0806687678677234,2.0806687678677234,1.1705167087676172,2.0852583543838086,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_spatial_s0.json
ct_grid6x6_d16_f025_uniform_s0,ct_grid6x6_d16_f025_uniform_s0,Clifford+T,0.83611285808382807,0.16388192875677068,2.8361076449244269,2.8361076449244265,2.6722257161676559,2.836112858083828,4.4408920985006262e-16,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_uniform_s0.json
ct_grid6x6_d16_f025_uniform_s1,ct_grid6x6_d16_f025_uniform_s1,Clifford+T,0.98885724452938462,0.011142493855659236,2.9888569829144283,2.9888569829144283,2.9777144890587692,2.9888572445293846,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_uniform_s1.json
ct_grid6x6_d16_f050_spatial_s0,ct_grid6x6_d16_f050_spatial_s0,Clifford+T,0.24215549605764905,0.74649318847314117,2.2308041805884393,2.2308041805884393,1.4843109921152982,2.2421554960576491,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f050_spatial_s0.json
ct_grid6x6_d16_f050_temporal_s0,ct_grid6x6_d16_f050_temporal_s0,Clifford+T,0.35771285567379735,0.64196183345997926,2.3573875448075738,2.3573875448075743,1.7154257113475948,2.3577128556737974,4.4408920985006262e-16,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f050_temporal_s0.json
ct_grid6x6_d16_f050_uniform_s0,ct_grid6x6_d16_f050_uniform_s0,Clifford+T,0.90258442135045669,0.097353883605093144,2.9025227263060067,2.9025227263060067,2.8051688427009136,2.9025844213504568,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f050_uniform_s0.json
ct_grid6x6_d16_f100_s0,ct_grid6x6_d16_f100_s0,Clifford+T,0.58461538461538465,0.1940828402366864,2.3633136094674558,2.3633136094674558,2.1692307692307695,2.5846153846153848,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f100_s0.json
ct_ring48_d16_f000_s0,ct_ring48_d16_f000_s0,Clifford+T,0,0,1,1,1,2,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f000_s0.json
ct_ring48_d16_f010_spatial_s0,ct_ring48_d16_f010_spatial_s0,Clifford+T,0.054210324726770939,0.8696055952274766,1.9780262446810186,1.9780262446810184,1.1084206494535418,2.0542103247267711,2.2204460492503131e-16,independent_reimplementation,independent_python_full/ct_ring48_d16_f010_spatial_s0.json
ct_ring48_d16_f010_temporal_s0,ct_ring48_d16_f010_temporal_s0,Clifford+T,0.41622460540684275,0.57658018798414246,2.409029398797828,2.409029398797828,1.8324492108136856,2.4162246054068426,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f010_temporal_s0.json
ct_ring48_d16_f010_uniform_s0,ct_ring48_d16_f010_uniform_s0,Clifford+T,0.76734331908113285,0.23117873596890007,2.7658653741311658,2.7658653741311658,2.5346866381622659,2.767343319081133,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f010_uniform_s0.json
ct_ring48_d16_f010_uniform_s1,ct_ring48_d16_f010_uniform_s1,Clifford+T,0.69251205857576059,0.30610125902868368,2.6911253761802048,2.6911253761802048,2.385024117151521,2.6925120585757605,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f010_uniform_s1.json
ct_ring48_d16_f025_spatial_s0,ct_ring48_d16_f025_spatial_s0,Clifford+T,0.048766350234043486,0.87732402992256875,1.9748567303906557,1.9748567303906559,1.097532700468087,2.0487663502340436,2.2204460492503131e-16,independent_reimplementation,independent_python_full/ct_ring48_d16_f025_spatial_s0.json
ct_ring48_d16_f025_temporal_s0,ct_ring48_d16_f025_temporal_s0,Clifford+T,0.20494848300471294,0.78285651748726381,2.1927534834966895,2.1927534834966895,1.4098969660094258,2.204948483004713,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f025_temporal_s0.json
ct_ring48_d16_f025_uniform_s0,ct_ring48_d16_f025_uniform_s0,Clifford+T,0.89587791011098572,0.096978690216173058,2.8887345104381446,2.8887345104381446,2.7917558202219714,2.8958779101109857,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f025_uniform_s0.json
ct_ring48_d16_f025_uniform_s1,ct_ring48_d16_f025_uniform_s1,Clifford+T,0.81140394372974933,0.18168989583858314,2.804497783298082,2.804497783298082,2.6228078874594987,2.8114039437297493,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f025_uniform_s1.json
ct_ring48_d16_f050_spatial_s0,ct_ring48_d16_f050_spatial_s0,Clifford+T,0.032190069740813988,0.76423441240761947,1.8286145518892474,1.8286145518892474,1.0643801394816279,2.032190069740814,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f050_spatial_s0.json
ct_ring48_d16_f050_temporal_s0,ct_ring48_d16_f050_temporal_s0,Clifford+T,0.33920411749937235,0.60480793371830277,2.2832161687170474,2.2832161687170474,1.6784082349987446,2.3392041174993725,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f050_temporal_s0.json
ct_ring48_d16_f050_uniform_s0,ct_ring48_d16_f050_uniform_s0,Clifford+T,0.79588704726826276,0.14333947206875383,2.7351135666052793,2.7351135666052793,2.5917740945365253,2.7958870472682626,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f050_uniform_s0.json
ct_ring48_d16_f050_uniform_s1,ct_ring48_d16_f050_uniform_s1,Clifford+T,0.77019163802206192,0.18339286917840533,2.7237761452225291,2.7237761452225291,2.5403832760441238,2.7701916380220619,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f050_uniform_s1.json
ct_ring48_d16_f100_s0,ct_ring48_d16_f100_s0,Clifford+T,0.49349915206331263,0.18767665347654042,2.1746749576031656,2.1746749576031656,1.9869983041266253,2.4934991520633125,0,independent_reimplementation,independent_python_full/ct_ring48_d16_f100_s0.json
qaoa_grid6x6_p1_generic_s0,qaoa_grid6x6_p1_generic_s0,QAOA,0.98979548808770823,0.0071684587813620072,2.9867594349567783,2.9867594349567783,2.9795909761754165,2.989795488087708,0,independent_reimplementation,independent_python_full/qaoa_grid6x6_p1_generic_s0.json
qaoa_grid6x6_p1_special_s0,qaoa_grid6x6_p1_special_s0,QAOA,0.98979548808770823,0.0071684587813620072,2.9867594349567783,2.9867594349567783,2.9795909761754165,2.989795488087708,0,independent_reimplementation,independent_python_full/qaoa_grid6x6_p1_special_s0.json
qaoa_grid6x6_p2_generic_s0,qaoa_grid6x6_p2_generic_s0,QAOA,0.99999935862511113,4.6028080257860676e-07,2.9999991775310249,2.9999991775310249,2.9999987172502225,2.9999993586251112,0,independent_reimplementation,independent_python_full/qaoa_grid6x6_p2_generic_s0.json
qaoa_grid6x6_p2_special_s0,qaoa_grid6x6_p2_special_s0,QAOA,0.99999935862511113,4.6028080257860676e-07,2.9999991775310249,2.9999991775310249,2.9999987172502225,2.9999993586251112,0,independent_reimplementation,independent_python_full/qaoa_grid6x6_p2_special_s0.json
qaoa_grid8x8_p1_generic_s0,qaoa_grid8x8_p1_generic_s0,QAOA,0.99954093429411628,0.0003176420409904146,2.9993995106292233,2.9993995106292233,2.9990818685882328,2.9995409342941164,0,independent_reimplementation,independent_python_full/qaoa_grid8x8_p1_generic_s0.json
qaoa_grid8x8_p1_special_s0,qaoa_grid8x8_p1_special_s0,QAOA,0.99954093429411628,0.0003176420409904146,2.9993995106292233,2.9993995106292233,2.9990818685882328,2.9995409342941164,0,independent_reimplementation,independent_python_full/qaoa_grid8x8_p1_special_s0.json
qaoa_ring64_p1_generic_s0,qaoa_ring64_p1_generic_s0,QAOA,0.72433596554199564,0.18377602297200288,2.6324479540559942,2.6324479540559942,2.4486719310839913,2.7243359655419956,0,independent_reimplementation,independent_python_full/qaoa_ring64_p1_generic_s0.json
qaoa_ring64_p1_special_s0,qaoa_ring64_p1_special_s0,QAOA,0.72433596554199564,0.18377602297200288,2.6324479540559942,2.6324479540559942,2.4486719310839913,2.7243359655419956,0,independent_reimplementation,independent_python_full/qaoa_ring64_p1_special_s0.json
qaoa_ring64_p2_generic_s0,qaoa_ring64_p2_generic_s0,QAOA,0.97864293659621804,0.014238042269187987,2.9715239154616242,2.9715239154616242,2.9572858731924363,2.9786429365962181,0,independent_reimplementation,independent_python_full/qaoa_ring64_p2_generic_s0.json
qaoa_ring64_p2_special_s0,qaoa_ring64_p2_special_s0,QAOA,0.97864293659621804,0.014238042269187987,2.9715239154616242,2.9715239154616242,2.9572858731924363,2.9786429365962181,0,independent_reimplementation,independent_python_full/qaoa_ring64_p2_special_s0.json
vqe_heisline32_A_l4_s0,vqe_heisline32_A_l4_s0,VQE,0,0,1,1,1,2,0,independent_reimplementation,independent_python_full/vqe_heisline32_A_l4_s0.json
