circuit,display_name,family,m,r,source_overhead,computed_overhead,lower_bound,upper_bound,law_residual,evidence_stage,source_path
bristlecone_48_1-16-1_0,"bristlecone-48, d16",random,0.86343371849695205,0.11927941042671276,2.8461468474206169,2.8461468474206169,2.7268674369939041,2.8634337184969523,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/bristlecone_48_1-16-1_0.json
bristlecone_70_1-16-1_0,"bristlecone-70, d16",random,0.92817891085987114,0.068341516147921264,2.9246993378676636,2.9246993378676631,2.8563578217197421,2.928178910859871,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/bristlecone_70_1-16-1_0.json
bristlecone_70_1-24-1_0,"bristlecone-70, d24",random,0.85552053113496618,0.14444923662696971,2.855490298896902,2.855490298896902,2.7110410622699321,2.8555205311349661,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/bristlecone_70_1-24-1_0.json
rectangular_4x4_1-16-1_0,"rect 4×4, d16",random,0.69537815126050417,0.24369747899159663,2.634453781512605,2.634453781512605,2.3907563025210083,2.6953781512605044,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_4x4_1-16-1_0.json
rectangular_6x6_1-16-1_0,"rect 6×6, d16",random,0.92301263001485889,0.064171619613670128,2.9101968796433879,2.9101968796433879,2.8460252600297178,2.9230126300148589,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-16-1_0.json
rectangular_6x6_1-24-1_0,"rect 6×6, d24",random,0.91819493718201184,0.081622004683876689,2.9180118790479006,2.9180118790479002,2.8363898743640235,2.9181949371820117,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-24-1_0.json
rectangular_6x6_1-32-1_0,"rect 6×6, d32",random,0.8293204354778082,0.1706768981819457,2.8293177691375622,2.8293177691375617,2.6586408709556162,2.8293204354778081,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-32-1_0.json
rectangular_8x8_1-24-1_0,"rect 8×8, d24",random,0.91260307603371738,0.087394209572121823,2.9126003616395564,2.9126003616395564,2.8252061520674348,2.9126030760337174,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/rectangular_8x8_1-24-1_0.json
rochester_53_12_0_pABC,"rochester-53, d12",random,0.98566456033289007,0.013462668412209177,2.9847917890779891,2.9847917890779896,2.9713291206657804,2.9856645603328902,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/rochester_53_12_0_pABC.json
rochester_53_8_0_pABC,"rochester-53, d8",random,0.81218046461566062,0.17221275450713069,2.7965736837384521,2.7965736837384521,2.6243609292313215,2.8121804646156607,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rochester_53_8_0_pABC.json
sycamore_53_10_0,"sycamore-53, m=10",random,0.99999980883232009,1.7709773866552434e-07,2.9999997947623789,2.9999997947623789,2.9999996176646402,2.9999998088323201,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/sycamore_53_10_0.json
test,test (5q),random,0.26751592356687898,0.40764331210191085,1.9426751592356688,1.9426751592356686,1.5350318471337578,2.2675159235668789,2.2204460492503131e-16,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/test.json
ct_grid6x6_d16_f000_s0,ct_grid6x6_d16_f000_s0,Clifford+T,0,0,1,1,1,2,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f010_uniform_s0,ct_grid6x6_d16_f010_uniform_s0,Clifford+T,0.76210307673885125,0.23789056485694679,2.7620967183346492,2.7620967183346492,2.5242061534777025,2.7621030767388515,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f010_uniform_s1,ct_grid6x6_d16_f010_uniform_s1,Clifford+T,0.69152979432361372,0.30846100675026583,2.6915205953974932,2.6915205953974932,2.3830595886472272,2.6915297943236136,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f025_spatial_s0,ct_grid6x6_d16_f025_spatial_s0,Clifford+T,0.10460181776824649,0.85234934464577949,2.0615529801822725,2.0615529801822725,1.209203635536493,2.1046018177682466,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f025_uniform_s0,ct_grid6x6_d16_f025_uniform_s0,Clifford+T,0.83452846351812149,0.16544259567864619,2.8344995227148893,2.8344995227148888,2.6690569270362428,2.8345284635181214,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f025_uniform_s1,ct_grid6x6_d16_f025_uniform_s1,Clifford+T,0.7845651351426487,0.2154166885147927,2.7845469588000902,2.7845469588000902,2.5691302702852976,2.7845651351426488,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f050_spatial_s0,ct_grid6x6_d16_f050_spatial_s0,Clifford+T,0.58093054186062509,0.41398793826962327,2.5758490219908734,2.5758490219908738,2.1618610837212504,2.5809305418606252,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
ct_grid6x6_d16_f050_temporal_s0,ct_grid6x6_d16_f050_temporal_s0,Clifford+T,0.74232558514649327,0.2570638973384286,2.7417150676314153,2.7417150676314148,2.4846511702929863,2.7423255851464932,4.4408920985006262e-16,author_data_validated,NPUBenchmarkData-release/results/structured-v1/clifford-t.csv
