circuit,display_name,family,convert_only,polished,full_anneal,relative_gap,polish_gap,near_zero_at_1e-6,below_threshold_at_5e-4,released_ratio_max_error,evidence_stage,source_path
bristlecone_48_1-16-1_0,"bristlecone-48, d16",random,2.8831420774011112,2.8831420774011112,2.8831420774011112,0,0,true,true,0,independent_reimplementation,independent_python_full/bristlecone_48_1-16-1_0.json
bristlecone_70_1-16-1_0,"bristlecone-70, d16",random,2.9395138496325606,2.9395138496325606,2.9395138496325606,0,0,true,true,0,independent_reimplementation,independent_python_full/bristlecone_70_1-16-1_0.json
bristlecone_70_1-24-1_0,"bristlecone-70, d24",random,2.9749289907000547,2.9749289907000547,2.9749289907000547,0,0,true,true,0,independent_reimplementation,independent_python_full/bristlecone_70_1-24-1_0.json
rectangular_4x4_1-16-1_0,"rect 4×4, d16",random,2.6168464304057526,2.4643030597377367,2.6168464304057526,0,0.05829282486567753,true,true,0,independent_reimplementation,independent_python_full/rectangular_4x4_1-16-1_0.json
rectangular_6x6_1-16-1_0,"rect 6×6, d16",random,2.8824280306364995,2.8824280306364995,2.8824280306364995,0,0,true,true,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-16-1_0.json
rectangular_6x6_1-24-1_0,"rect 6×6, d24",random,2.9947994972352445,2.9947994972352445,2.9947994972352445,0,0,true,true,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-24-1_0.json
rectangular_6x6_1-32-1_0,"rect 6×6, d32",random,2.9953056909252131,2.9953056898194999,2.9953056920274661,3.6799347676259487e-10,7.3714220894114339e-10,true,true,0,independent_reimplementation,independent_python_full/rectangular_6x6_1-32-1_0.json
rectangular_8x8_1-24-1_0,"rect 8×8, d24",random,2.9200992470599361,2.9200992470599361,2.9200992470599361,0,0,true,true,0,independent_reimplementation,independent_python_full/rectangular_8x8_1-24-1_0.json
rochester_53_12_0_pABC,"rochester-53, d12",random,2.9914162342863113,2.9914162342863113,2.9914162342863113,0,0,true,true,0,independent_reimplementation,independent_python_full/rochester_53_12_0_pABC.json
rochester_53_8_0_pABC,"rochester-53, d8",random,2.7969974428771756,2.7969974428771756,2.7969974428771756,0,0,true,true,0,independent_reimplementation,independent_python_full/rochester_53_8_0_pABC.json
sycamore_53_10_0,"sycamore-53, m=10",random,2.999999869798001,2.999999869798001,2.999999869798001,0,0,true,true,0,independent_reimplementation,independent_python_full/sycamore_53_10_0.json
test,test (5q),random,2.1503267973856208,1.8841463414634145,1.9490445859872612,0.10327224571745905,0.033297465327594512,false,false,0,independent_reimplementation,independent_python_full/test.json
ct_grid6x6_d16_f000_s0,ct_grid6x6_d16_f000_s0,Clifford+T,1,1,1,0,0,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f000_s0.json
ct_grid6x6_d16_f010_uniform_s0,ct_grid6x6_d16_f010_uniform_s0,Clifford+T,2.6368834784938735,2.6368832199099113,2.6368834784938735,0,9.8064235432333361e-08,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f010_uniform_s0.json
ct_grid6x6_d16_f010_uniform_s1,ct_grid6x6_d16_f010_uniform_s1,Clifford+T,2.8944074258135566,2.8944074243886777,2.8944074258135566,0,4.922869077943429e-10,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f010_uniform_s1.json
ct_grid6x6_d16_f025_spatial_s0,ct_grid6x6_d16_f025_spatial_s0,Clifford+T,2.0806687678677234,2.0684118950827961,2.0806687678677234,0,0.0058908332619843906,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_spatial_s0.json
ct_grid6x6_d16_f025_uniform_s0,ct_grid6x6_d16_f025_uniform_s0,Clifford+T,2.8361076524906959,2.8361076518706692,2.8361076449244269,2.6678356014642226e-09,2.4492167144973483e-09,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_uniform_s0.json
ct_grid6x6_d16_f025_uniform_s1,ct_grid6x6_d16_f025_uniform_s1,Clifford+T,2.9888569829144283,2.970375178736314,2.9888569829144283,0,0.0061835692653626814,true,true,0,independent_reimplementation,independent_python_full/ct_grid6x6_d16_f025_uniform_s1.json
