circuit,display_name,family,convert_only,polished,full_anneal,relative_gap,polish_gap,near_zero_at_1e-6,below_threshold_at_5e-4,released_ratio_max_error,evidence_stage,source_path
bristlecone_48_1-16-1_0,"bristlecone-48, d16",random,2.8461468474206169,2.8461468474206169,2.8461468474206169,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/bristlecone_48_1-16-1_0.json
bristlecone_70_1-16-1_0,"bristlecone-70, d16",random,2.9247218593757038,2.9246993378676636,2.9246993378676636,7.7004524016113196e-06,0,false,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/bristlecone_70_1-16-1_0.json
bristlecone_70_1-24-1_0,"bristlecone-70, d24",random,2.855490298896902,2.855490298896902,2.855490298896902,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/bristlecone_70_1-24-1_0.json
rectangular_4x4_1-16-1_0,"rect 4×4, d16",random,2.634453781512605,2.634453781512605,2.634453781512605,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_4x4_1-16-1_0.json
rectangular_6x6_1-16-1_0,"rect 6×6, d16",random,2.910560044580663,2.9104671681991268,2.9104671681991268,3.1911159332430808e-05,0,false,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-16-1_0.json
rectangular_6x6_1-24-1_0,"rect 6×6, d24",random,2.9180118790479006,2.9180118790479006,2.9180118790479006,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-24-1_0.json
rectangular_6x6_1-32-1_0,"rect 6×6, d32",random,2.8293178239316239,2.829317801239366,2.829317801239366,8.0203990660309859e-09,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rectangular_6x6_1-32-1_0.json
rectangular_8x8_1-24-1_0,"rect 8×8, d24",random,2.9126003616395564,2.9126003616395564,2.9126003616395564,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/rectangular_8x8_1-24-1_0.json
rochester_53_12_0_pABC,"rochester-53, d12",random,2.9847917890779891,2.9847917890779891,2.9847917890779891,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5-ext/rochester_53_12_0_pABC.json
rochester_53_8_0_pABC,"rochester-53, d8",random,2.7965736837384521,2.7965736837384521,2.7965736837384521,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/rochester_53_8_0_pABC.json
sycamore_53_10_0,"sycamore-53, m=10",random,2.9999997947623789,2.9999997947623789,2.9999997947623789,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/sycamore_53_10_0.json
test,test (5q),random,2.1776315789473686,2.0065789473684212,2.0065789473684212,0.085245901639344243,0,false,false,0,author_data_validated,NPUBenchmarkData-release/results/green-sa-v5/test.json
ct_grid6x6_d16_f000_s0,ct_grid6x6_d16_f000_s0,Clifford+T,1,1,1,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f000_s0.json
ct_grid6x6_d16_f010_uniform_s0,ct_grid6x6_d16_f010_uniform_s0,Clifford+T,2.7621057071148436,2.7620969384611955,2.7620969384611955,3.1746364604269065e-06,0,false,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f010_uniform_s0.json
ct_grid6x6_d16_f010_uniform_s1,ct_grid6x6_d16_f010_uniform_s1,Clifford+T,2.6915205953974932,2.6915205953974932,2.6915205953974932,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f010_uniform_s1.json
ct_grid6x6_d16_f025_spatial_s0,ct_grid6x6_d16_f025_spatial_s0,Clifford+T,2.0615529801822725,2.0615529801822725,2.0615529801822725,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f025_spatial_s0.json
ct_grid6x6_d16_f025_uniform_s0,ct_grid6x6_d16_f025_uniform_s0,Clifford+T,2.8344995227148893,2.8344995227148893,2.8344995227148893,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f025_uniform_s0.json
ct_grid6x6_d16_f025_uniform_s1,ct_grid6x6_d16_f025_uniform_s1,Clifford+T,2.7845464085375813,2.7845464085375813,2.7845461001890079,1.1073566830886631e-07,1.1073566830886631e-07,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f025_uniform_s1.json
ct_grid6x6_d16_f050_spatial_s0,ct_grid6x6_d16_f050_spatial_s0,Clifford+T,2.5758490219908734,2.5758490219908734,2.5758490219908734,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f050_spatial_s0.json
ct_grid6x6_d16_f050_temporal_s0,ct_grid6x6_d16_f050_temporal_s0,Clifford+T,2.7417150676314153,2.7417150676314153,2.7417150676314153,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f050_temporal_s0.json
ct_grid6x6_d16_f050_uniform_s0,ct_grid6x6_d16_f050_uniform_s0,Clifford+T,2.9847952282589523,2.9847935988998566,2.9847935988998566,5.4588668919876182e-07,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f050_uniform_s0.json
ct_grid6x6_d16_f100_s0,ct_grid6x6_d16_f100_s0,Clifford+T,2.4785167745732783,2.4773396115361979,2.4773396115361979,0.00047517224994054319,0,false,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_grid6x6_d16_f100_s0.json
ct_ring48_d16_f000_s0,ct_ring48_d16_f000_s0,Clifford+T,1,1,1,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_ring48_d16_f000_s0.json
ct_ring48_d16_f010_spatial_s0,ct_ring48_d16_f010_spatial_s0,Clifford+T,1.9749503673998845,1.9749503673998845,1.9749503673998845,0,0,true,true,0,author_data_validated,NPUBenchmarkData-release/results/structured-v1/green-sa/ct_ring48_d16_f010_spatial_s0.json
