panel,mechanism,n_sites,seed,eta_final,dark_final
ab,rescue,4,0,0.9994921528889961,1.5149844132779735e-05
ab,rescue,4,1,0.9993915763926214,2.9414792213229496e-05
ab,rescue,4,2,0.9994740825840825,8.36260472561183e-06
ab,rescue,4,3,0.9995087495637923,2.2694450486188947e-05
ab,rescue,4,4,0.9991274718481662,0.00014095610631310822
ab,rescue,4,5,0.9994557926186274,2.245229303283549e-06
ab,rescue,4,6,0.9958801186699885,0.0016218304620609796
ab,rescue,4,7,0.9994122530609005,1.778841201936274e-05
ab,rescue,4,8,0.9993617553925738,1.8029081662295342e-06
ab,rescue,4,9,0.9992196488930207,2.2804452222781158e-05
ab,rescue,4,10,0.9993973730898176,5.257318439448748e-06
ab,rescue,4,11,0.9991462340316075,0.00014711685872250953
ab,rescue,4,12,0.9992759790005263,0.000149182843112136
ab,rescue,4,13,0.9993528910209946,6.742936284047583e-05
ab,rescue,4,14,0.9992245271326811,2.5849375504977108e-05
ab,dephasing,4,0,0.8972717033997961,0.07022586019225652
ab,dephasing,4,1,0.9012142292162729,0.06715672531254109
ab,dephasing,4,2,0.8976891363862272,0.07012373440256209
ab,dephasing,4,3,0.8955405244685696,0.07122210182136064
ab,dephasing,4,4,0.9055671940227422,0.0624750688649561
ab,dephasing,4,5,0.8978562119838822,0.07017531527901033
ab,dephasing,4,6,0.9192104461216365,0.050355109154405435
ab,dephasing,4,7,0.9002623781807839,0.06807702561021463
ab,dephasing,4,8,0.9007221120199312,0.068140012082484
ab,dephasing,4,9,0.9041576553850119,0.06527396130251173
ab,dephasing,4,10,0.900159663049768,0.06846167595262685
ab,dephasing,4,11,0.9082239531780082,0.0607586541721381
ab,dephasing,4,12,0.9047573981803406,0.06239543053976667
ab,dephasing,4,13,0.8992233806575318,0.06778227938549676
ab,dephasing,4,14,0.9046130977144456,0.06491082835240393
ab,rescue,16,0,0.9992933958972646,7.752392985389193e-06
ab,rescue,16,1,0.9994009361249867,3.2077888107271984e-06
ab,rescue,16,2,0.9993407699451583,6.241576753851646e-06
ab,rescue,16,3,0.9992671055500152,1.0185441639578161e-05
ab,rescue,16,4,0.9993037340168845,8.56483483447913e-06
ab,rescue,16,5,0.9993173959540522,8.188134994868059e-06
ab,rescue,16,6,0.9992989883060466,1.1381399962282264e-05
ab,rescue,16,7,0.9993746700149109,3.0651556609039934e-06
ab,rescue,16,8,0.9991902815934302,1.673877845592817e-05
ab,rescue,16,9,0.999296543928056,1.0348083390762686e-05
ab,rescue,16,10,0.9993248933539822,5.592774522463038e-06
ab,rescue,16,11,0.9993885112358977,4.551579557196084e-06
ab,rescue,16,12,0.9993148955248998,8.119988521043214e-06
ab,rescue,16,13,0.9994022920414887,4.829821155213165e-06
ab,rescue,16,14,0.9992143160181209,1.664905712962555e-05
ab,dephasing,16,0,0.4546883707354444,0.5002487848873842
ab,dephasing,16,1,0.4535004159711982,0.5016379830089476
ab,dephasing,16,2,0.4532708003349589,0.5017214529255389
ab,dephasing,16,3,0.45325226743309616,0.5015309826667588
ab,dephasing,16,4,0.4575620627114893,0.49760059576585597
ab,dephasing,16,5,0.4578605144820027,0.4973583461286731
ab,dephasing,16,6,0.46214895374948184,0.49327700071659897
ab,dephasing,16,7,0.45290533764291013,0.5021696700300151
ab,dephasing,16,8,0.4653295058722428,0.490210213576634
ab,dephasing,16,9,0.45713715269869104,0.4980145393837855
ab,dephasing,16,10,0.45676462394856937,0.49846877347267843
ab,dephasing,16,11,0.45528220178244405,0.49993378851829173
ab,dephasing,16,12,0.4573540990549856,0.4977950340677009
ab,dephasing,16,13,0.4496830795996906,0.5050889551040252
ab,dephasing,16,14,0.4578713350630457,0.4970303350389489
ab,rescue,32,0,0.9993053859209745,2.8872844409020335e-06
ab,rescue,32,1,0.9993176040346331,2.8033900502171795e-06
ab,rescue,32,2,0.999308783589524,3.118170333591254e-06
ab,rescue,32,3,0.9993098493070761,3.4995388372619025e-06
ab,rescue,32,4,0.9993077513279655,2.7471221398675e-06
ab,rescue,32,5,0.9992917308104381,3.2465084784204877e-06
ab,rescue,32,6,0.9993082306993925,4.441964167121193e-06
ab,rescue,32,7,0.9992842211766922,2.7941837294242996e-06
ab,rescue,32,8,0.9992832012350806,4.43332345500206e-06
ab,rescue,32,9,0.9993249278652758,3.023140694485636e-06
ab,rescue,32,10,0.9992967911266715,2.863026934175909e-06
ab,rescue,32,11,0.9993090030028048,2.7873975828850153e-06
ab,rescue,32,12,0.999324836575929,2.6799601202697977e-06
ab,rescue,32,13,0.9993489490054454,2.756275082661007e-06
ab,rescue,32,14,0.9992910089098184,4.621825459025196e-06
ab,dephasing,32,0,0.2632083305419278,0.7062441639614583
ab,dephasing,32,1,0.2630201315976103,0.7064727466175993
ab,dephasing,32,2,0.26322078551820866,0.7063338721653875
ab,dephasing,32,3,0.2606715628314214,0.7087907117468575
ab,dephasing,32,4,0.2657713105214169,0.7037386506396746
