panel,mechanism,n_sites,seed,eta_final,dark_final
ab,rescue,4,0,0.9994921528890055,1.514984413277984e-05
ab,rescue,4,1,0.9993915763926179,2.9414792213229533e-05
ab,rescue,4,2,0.9994740825840588,8.362604725611609e-06
ab,dephasing,4,0,0.8972717033998034,0.07022586019225671
ab,dephasing,4,1,0.901214229216265,0.06715672531254054
ab,dephasing,4,2,0.8976891363862164,0.07012373440256144
ab,rescue,16,0,0.9992933958972708,7.75239298538924e-06
ab,rescue,16,1,0.9994009361249884,3.2077888107272073e-06
ab,rescue,16,2,0.9993407699451565,6.241576753851643e-06
ab,dephasing,16,0,0.4546883707354449,0.5002487848873861
ab,dephasing,16,1,0.4535004159712002,0.5016379830089509
ab,dephasing,16,2,0.45327080033495876,0.5017214529255397
ab,rescue,32,0,0.999305385920962,2.887284440902076e-06
ab,rescue,32,1,0.9993176040346241,2.8033900502172265e-06
ab,rescue,32,2,0.999308783589516,3.1181703335912056e-06
ab,dephasing,32,0,0.2632083305419306,0.7062441639614639
ab,dephasing,32,1,0.26302013159761406,0.706472746617605
ab,dephasing,32,2,0.26322078551821,0.7063338721653909
cd,rescue,6,0,0.99944593060302,1.0541654687164828e-05
cd,rescue,6,1,0.9994865887222807,9.699357521727457e-06
cd,rescue,6,2,0.9994224121531288,7.72831411539359e-06
cd,dephasing,6,0,0.7890037248019769,0.16568545686825492
cd,dephasing,6,1,0.7900543690773251,0.16495745500462022
cd,dephasing,6,2,0.78963624791336,0.16529546106191517
