target_id,condition,time,observable,value,seed,gamma_lead,gamma_rec,parameter_match,artifact_stage
T009,without_rescue,0.0,bright,0.17541331810062233,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,1.0,bright,0.17459308418205718,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,2.0,bright,0.17344789395077911,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,3.0,bright,0.17420483307427548,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,4.0,bright,0.17176497295582976,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,5.0,bright,0.17148931462092223,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,6.0,bright,0.17133064362315176,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,7.0,bright,0.16911765719137511,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,8.0,bright,0.16999061589329453,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,9.0,bright,0.16843805836570555,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,10.0,bright,0.16780663729158218,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,11.0,bright,0.16685685835031838,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,12.0,bright,0.16551249015799274,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,13.0,bright,0.16637113022636457,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,14.0,bright,0.16455544122459007,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,15.0,bright,0.16426802178424685,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,16.0,bright,0.1635445052476982,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,17.0,bright,0.16254907241453928,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,18.0,bright,0.16173865858560527,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,19.0,bright,0.1608571703718893,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,20.0,bright,0.16144661951694608,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,21.0,bright,0.15945995924156028,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,22.0,bright,0.15888850198378013,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,23.0,bright,0.15870291351169108,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,24.0,bright,0.156941024844382,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,25.0,bright,0.1569129905350899,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,26.0,bright,0.15691783943677506,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,27.0,bright,0.1556016408059695,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,28.0,bright,0.1548867891610692,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,29.0,bright,0.15393795128389312,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,30.0,bright,0.15336736101180765,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,31.0,bright,0.15354078196868037,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,32.0,bright,0.1517566652450477,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,33.0,bright,0.1518635480492037,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,34.0,bright,0.15095247768820247,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,35.0,bright,0.149495768921884,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,36.0,bright,0.14986740377032418,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,37.0,bright,0.14881141308936877,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,38.0,bright,0.14832528068174813,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,39.0,bright,0.14711922663361243,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,40.0,bright,0.14737739239195644,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,41.0,bright,0.14654869220689112,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,42.0,bright,0.1449685464415675,0,0.05,0.0,paper_subset,exploratory
