target_id,record_kind,mechanism,gamma_rec,gamma_deph,rate,eta_mean,eta_sem,samples,parameter_match,artifact_stage,paper_eta,absolute_error
T005,map,combined,0.001,0.001,,0.43589763520261027,0.1393457140223529,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,0.001,,0.44648763879963527,0.13404054932658144,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,0.001,,0.48744081406643897,0.11345277260973573,3,paper_subset,exploratory,,
T005,map,combined,0.1,0.001,,0.5767476368672285,0.0673630692654189,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,0.001,,0.6153692706893227,0.03864472757887122,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,0.001,,0.5891541697235246,0.026415590884044268,3,paper_subset,exploratory,,
T005,map,combined,10.0,0.001,,0.3820688293196552,0.0033623654143577052,3,paper_subset,exploratory,,
T005,map,combined,0.001,0.004641588833612777,,0.44036997953996354,0.13739273799663604,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,0.004641588833612777,,0.4507271261615961,0.13220739956858094,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,0.004641588833612777,,0.49079511647889396,0.11207075070457963,3,paper_subset,exploratory,,
T005,map,combined,0.1,0.004641588833612777,,0.5782851524194581,0.06685451288716905,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,0.004641588833612777,,0.6159603814759889,0.038470026640551894,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,0.004641588833612777,,0.5893149250675117,0.026376943188832193,3,paper_subset,exploratory,,
T005,map,combined,10.0,0.004641588833612777,,0.3820441921215009,0.003359690687396908,3,paper_subset,exploratory,,
T005,map,combined,0.001,0.021544346900318832,,0.46023243085563204,0.12897059055905946,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,0.021544346900318832,,0.4695659120388678,0.12429224677089873,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,0.021544346900318832,,0.5057374843508282,0.10606679757558461,3,paper_subset,exploratory,,
T005,map,combined,0.1,0.021544346900318832,,0.5851899785356892,0.06457589608282843,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,0.021544346900318832,,0.618645054212359,0.03767297182877928,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,0.021544346900318832,,0.590055032623656,0.02619855473620726,3,paper_subset,exploratory,,
T005,map,combined,10.0,0.021544346900318832,,0.3819296635191003,0.0033473119229104425,3,paper_subset,exploratory,,
T005,map,combined,0.001,0.1,,0.5339772460064384,0.0994239022078421,3,paper_subset,exploratory,,
