target_id,n_sites,mechanism,eta_mean,eta_sem,best_rate,samples,optimization_samples,parameter_match,artifact_stage
T001,3,rescue,0.9999665257221242,8.393030042857487e-07,10.0,3,2,paper_subset,exploratory
T001,3,dephasing,0.9373037804305181,0.0007417885687942145,4.6415888336127775,3,2,paper_subset,exploratory
T001,3,baseline,0.5082430537397703,0.02235626980180154,0.0,3,0,paper_subset,exploratory
T001,3,combined,0.9999839590909697,9.089236721571973e-08,rec=10;deph=10,3,2,paper_subset,exploratory
T001,6,rescue,0.9999094221969581,2.0338031061615673e-06,10.0,3,2,paper_subset,exploratory
T001,6,dephasing,0.7965310890019527,0.0003729270109999031,10.0,3,2,paper_subset,exploratory
T001,6,baseline,0.22592427697209014,0.012839900190394117,0.0,3,0,paper_subset,exploratory
T001,6,combined,0.9999573359771481,2.9042766134681147e-07,rec=10;deph=10,3,2,paper_subset,exploratory
T001,16,rescue,0.9996395970306083,6.3203282596237665e-06,10.0,3,2,paper_subset,exploratory
T001,16,dephasing,0.4927197425272955,0.00017294897565216623,10.0,3,2,paper_subset,exploratory
T001,16,baseline,0.06960823513699531,0.002304207989959457,0.0,3,0,paper_subset,exploratory
T001,16,combined,0.9997199207609498,1.6629832387377218e-06,rec=10;deph=10,3,2,paper_subset,exploratory
T001,32,rescue,0.9992628806789073,3.5797581811842833e-06,10.0,3,2,paper_subset,exploratory
T001,32,dephasing,0.2984092413860471,6.638096088249747e-05,10.0,3,2,paper_subset,exploratory
T001,32,baseline,0.033154991640853615,0.0005208126486241495,0.0,3,0,paper_subset,exploratory
T001,32,combined,0.9989796157596326,4.225638292303624e-06,rec=10;deph=3.3333333,3,2,paper_subset,exploratory
