n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
3,rescue,0.001,0.5521794242914242,5
3,rescue,0.0021544346900318843,0.5616657482558292,5
3,rescue,0.004641588833612777,0.5813656231610984,5
3,rescue,0.01,0.6205911697978509,5
3,rescue,0.021544346900318832,0.6920357015131939,5
3,rescue,0.046415888336127774,0.8001626129121755,5
3,rescue,0.1,0.9134909084198959,5
3,rescue,0.21544346900318823,0.975746424088616,5
3,rescue,0.46415888336127775,0.9919901361550505,5
3,rescue,1.0,0.9968097284976712,5
3,rescue,2.154434690031882,0.9988115769244962,5
3,rescue,4.6415888336127775,0.9997179604894507,5
3,rescue,5.274997063702617,0.999795457141088,5
3,rescue,5.994842503189409,0.9998548596309924,5
3,rescue,6.812920690579611,0.9998986899598588,5
3,rescue,7.742636826811269,0.9999298941733725,5
3,rescue,8.79922543569107,0.9999514446412062,5
3,rescue,10.0,0.9999659957021049,5
3,dephasing,0.001,0.547045588250317,5
3,dephasing,0.0021544346900318843,0.5507700501779819,5
3,dephasing,0.004641588833612777,0.5586353103649413,5
3,dephasing,0.01,0.5748703816502798,5
3,dephasing,0.021544346900318832,0.6068054914609575,5
3,dephasing,0.046415888336127774,0.6636793489251168,5
3,dephasing,0.1,0.7470602584658674,5
3,dephasing,0.21544346900318823,0.8342731802406563,5
3,dephasing,0.46415888336127775,0.8926701772275696,5
3,dephasing,1.0,0.920746596644743,5
3,dephasing,2.154434690031882,0.9335260808005789,5
3,dephasing,2.7825594022071227,0.9358593083978626,5
3,dephasing,3.593813663804626,0.9373205391305278,5
3,dephasing,4.6415888336127775,0.9378666784193015,5
3,dephasing,5.994842503189409,0.937414341333378,5
3,dephasing,7.742636826811269,0.9358271164277319,5
3,dephasing,10.0,0.9328930202947239,5
4,rescue,0.001,0.40794403624235465,5
4,rescue,0.0021544346900318843,0.42092528605419827,5
4,rescue,0.004641588833612777,0.44787521588489243,5
4,rescue,0.01,0.5015020355487241,5
4,rescue,0.021544346900318832,0.5990266124844814,5
4,rescue,0.046415888336127774,0.7460336888923488,5
4,rescue,0.1,0.8982497538759251,5
4,rescue,0.21544346900318823,0.9781117320604096,5
4,rescue,0.46415888336127775,0.9949504722685019,5
4,rescue,1.0,0.9978641928932929,5
4,rescue,2.154434690031882,0.9989193200931835,5
4,rescue,4.6415888336127775,0.9996471744493858,5
4,rescue,5.274997063702617,0.9997317046032054,5
4,rescue,5.994842503189409,0.9998016026105763,5
4,rescue,6.812920690579611,0.9998569330121467,5
4,rescue,7.742636826811269,0.9998988500584474,5
4,rescue,8.79922543569107,0.9999293288956957,5
4,rescue,10.0,0.9999507270650057,5
4,dephasing,0.001,0.39938335019815563,5
4,dephasing,0.0021544346900318843,0.4027375794232578,5
4,dephasing,0.004641588833612777,0.40984645513089896,5
4,dephasing,0.01,0.42463449069483106,5
4,dephasing,0.021544346900318832,0.45421619205600594,5
4,dephasing,0.046415888336127774,0.5088565727626803,5
4,dephasing,0.1,0.5955076988937241,5
4,dephasing,0.21544346900318823,0.7017830018353153,5
4,dephasing,0.46415888336127775,0.7942297231392403,5
4,dephasing,1.0,0.8522702541067767,5
4,dephasing,2.154434690031882,0.8809895844923933,5
