frequency_mhz,intensity
-50.0,3.723358990213242e-08
-49.95,4.4155592207474246e-08
-49.9,5.231989416772749e-08
-49.85,6.194101187388269e-08
-49.8,7.326895309582007e-08
-49.75,8.659481395529031e-08
-49.7,1.022572109069898e-07
-49.65,1.2064966489986418e-07
-49.6,1.4222906970603035e-07
-49.55,1.675253932866855e-07
-49.5,1.97152779891908e-07
-49.45,2.3182224155807732e-07
-49.4,2.723561509802506e-07
-49.35,3.1970477362136107e-07
-49.3,3.74965105614565e-07
-49.25,4.394023157747775e-07
-49.2,5.144741251332068e-07
-49.15,6.018584961316998e-07
-49.1,7.034850462681772e-07
-49.05,8.21570647890859e-07
-49.0,9.586597273334427e-07
-48.95,1.1176698330196724e-06
-48.9,1.3019431039064334e-06
-48.85,1.5153043370604147e-06
-48.8,1.7621264266618287e-06
-48.75,2.0474040266956555e-06
-48.7,2.376836376433421e-06
-48.65,2.756920321926531e-06
-48.6,3.1950546685358627e-06
-48.55,3.6996571094086016e-06
-48.5,4.280295093168124e-06
-48.45,4.947832121288545e-06
-48.4,5.714591102019419e-06
-48.35,6.5945365336430805e-06
-48.3,7.603477445563024e-06
-48.25,8.759293191471271e-06
-48.2,1.0082184364822704e-05
-48.15,1.1594951293144997e-05
-48.1,1.3323302764397201e-05
-48.05,1.529619784558835e-05
-48.0,1.7546223871018116e-05
-47.95,2.0110013904556172e-05
-47.9,2.30287072168832e-05
-47.85,2.6348456564061276e-05
-47.8,3.012098630744036e-05
-47.75,3.440420567581252e-05
-47.7,3.926288173786056e-05
-47.65,4.476937692489027e-05
-47.6,5.100445621911714e-05
-47.55,5.805816939953758e-05
-47.5,6.603081401352632e-05
-47.45,7.503398501551404e-05
-47.4,8.51917172815349e-05
-47.35,9.664172746726974e-05
-47.3,0.00010953676192399185
-47.25,0.00012404605761781343
-47.2,0.0001403569232089584
-47.15,0.00015867644763471663
-47.1,0.00017923334369778597
-47.05,0.00020227993428547942
-47.0,0.00022809428892918272
-46.95,0.0002569825184518805
-46.9,0.0002892812354376958
-46.85,0.0003253601881851708
-46.8,0.00036562507566815865
-46.75,0.00041052055081734485
-46.7,0.00046053341914471574
-46.65,0.0005161960393541306
-46.6,0.0005780899321065103
-46.55,0.0006468496025297807
-46.5,0.0007231665813730801
-46.45,0.0008077936888953263
-46.4,0.0009015495246403497
-46.35,0.001005323185178653
-46.3,0.0011200792106812313
-46.25,0.0012468627598266051
-46.2,0.0013868050110239314
-46.15,0.0015411287862542686
-46.1,0.0017111543919871629
-46.05,0.0018983056696150443
-46.0,0.002104116245660443
-45.95,0.002330235969652445
-45.9,0.0025784375250343643
-45.85,0.002850623195760931
-45.8,0.0031488317683709107
-45.75,0.003475245546284381
-45.7,0.003832197449885479
-45.65,0.004222178172612683
-45.6,0.004647843359810165
