n,field_v_per_cm,branch,predicted_shift_khz,model_stage
20,0.4,lower_mf0,-2511.343148384452,dirac_plus_stark_plus_scaled_hyperfine
20,0.8,lower_mf0,-2520.5099979645197,dirac_plus_stark_plus_scaled_hyperfine
20,0.4,lower_mf1,-2509.345702796028,dirac_plus_stark_plus_scaled_hyperfine
20,0.8,lower_mf1,-2518.5125523760958,dirac_plus_stark_plus_scaled_hyperfine
20,0.4,lower_mf2,-2508.679887599887,dirac_plus_stark_plus_scaled_hyperfine
20,0.8,lower_mf2,-2517.8467371799547,dirac_plus_stark_plus_scaled_hyperfine
20,0.4,upper_mf0,-1910.0194340324704,dirac_plus_stark_plus_scaled_hyperfine
20,0.8,upper_mf0,-1918.1489089153297,dirac_plus_stark_plus_scaled_hyperfine
20,0.4,upper_mf1,-1908.6878036401881,dirac_plus_stark_plus_scaled_hyperfine
20,0.8,upper_mf1,-1916.8172785230474,dirac_plus_stark_plus_scaled_hyperfine
24,0.4,lower_mf0,-1279.2255602832502,dirac_plus_stark_plus_scaled_hyperfine
24,0.8,lower_mf0,-1303.5861292395416,dirac_plus_stark_plus_scaled_hyperfine
24,0.4,lower_mf1,-1278.4228316999395,dirac_plus_stark_plus_scaled_hyperfine
24,0.8,lower_mf1,-1302.783400656231,dirac_plus_stark_plus_scaled_hyperfine
24,0.4,lower_mf2,-1278.1552555055025,dirac_plus_stark_plus_scaled_hyperfine
24,0.8,lower_mf2,-1302.515824461794,dirac_plus_stark_plus_scaled_hyperfine
24,0.4,upper_mf0,-989.2273694602285,dirac_plus_stark_plus_scaled_hyperfine
24,0.8,upper_mf0,-1013.503364413062,dirac_plus_stark_plus_scaled_hyperfine
24,0.4,upper_mf1,-988.6922170713548,dirac_plus_stark_plus_scaled_hyperfine
24,0.8,upper_mf1,-1012.9682120241882,dirac_plus_stark_plus_scaled_hyperfine
