pauli_product,spin_dependent,time_reversal_even,inversion_even,mirror_z_even
sigma_x tau_x s_I,False,True,True,True
sigma_x tau_x s_x,True,False,True,False
sigma_x tau_x s_y,True,False,True,False
sigma_x tau_x s_z,True,False,True,True
sigma_x tau_y s_I,False,True,False,True
sigma_x tau_y s_x,True,False,False,False
sigma_x tau_y s_y,True,False,False,False
sigma_x tau_y s_z,True,False,False,True
sigma_z tau_I s_I,False,True,False,True
sigma_z tau_I s_x,True,False,False,False
sigma_z tau_I s_y,True,False,False,False
sigma_z tau_I s_z,True,False,False,True
sigma_z tau_z s_I,False,False,True,True
sigma_z tau_z s_x,True,True,True,False
sigma_z tau_z s_y,True,True,True,False
sigma_z tau_z s_z,True,True,True,True
