flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.0,-8,-2.5132741228718345,2.5132741228718345
0.0,-7,-2.199114857512855,2.199114857512855
0.0,-6,-1.8849555921538759,1.8849555921538759
0.0,-5,-1.5707963267948966,1.5707963267948966
0.0,-4,-1.2566370614359172,1.2566370614359172
0.0,-3,-0.9424777960769379,0.9424777960769379
0.0,-2,-0.6283185307179586,0.6283185307179586
0.0,-1,-0.3141592653589793,0.3141592653589793
0.0,0,0.0,-0.0
0.0,1,0.3141592653589793,-0.3141592653589793
0.0,2,0.6283185307179586,-0.6283185307179586
0.0,3,0.9424777960769379,-0.9424777960769379
0.0,4,1.2566370614359172,-1.2566370614359172
0.0,5,1.5707963267948966,-1.5707963267948966
0.0,6,1.8849555921538759,-1.8849555921538759
0.0,7,2.199114857512855,-2.199114857512855
0.0,8,2.5132741228718345,-2.5132741228718345
0.01,-8,-2.510132530218245,2.510132530218245
0.01,-7,-2.1959732648592656,2.1959732648592656
0.01,-6,-1.881813999500286,1.881813999500286
0.01,-5,-1.5676547341413067,1.5676547341413067
0.01,-4,-1.2534954687823274,1.2534954687823274
0.01,-3,-0.9393362034233482,0.9393362034233482
0.01,-2,-0.6251769380643688,0.6251769380643688
0.01,-1,-0.3110176727053895,0.3110176727053895
0.01,0,0.0031415926535897933,-0.0031415926535897933
0.01,1,0.31730085801256913,-0.31730085801256913
0.01,2,0.6314601233715483,-0.6314601233715483
0.01,3,0.9456193887305276,-0.9456193887305276
0.01,4,1.259778654089507,-1.259778654089507
0.01,5,1.5739379194484864,-1.5739379194484864
0.01,6,1.8880971848074657,-1.8880971848074657
0.01,7,2.202256450166445,-2.202256450166445
0.01,8,2.516415715525424,-2.516415715525424
0.02,-8,-2.506990937564655,2.506990937564655
0.02,-7,-2.1928316722056755,2.1928316722056755
0.02,-6,-1.8786724068466965,1.8786724068466965
0.02,-5,-1.5645131414877171,1.5645131414877171
0.02,-4,-1.2503538761287376,1.2503538761287376
0.02,-3,-0.9361946107697583,0.9361946107697583
0.02,-2,-0.622035345410779,0.622035345410779
0.02,-1,-0.3078760800517997,0.3078760800517997
0.02,0,0.006283185307179587,-0.006283185307179587
0.02,1,0.3204424506661589,-0.3204424506661589
0.02,2,0.6346017160251383,-0.6346017160251383
0.02,3,0.9487609813841176,-0.9487609813841176
0.02,4,1.2629202467430967,-1.2629202467430967
0.02,5,1.577079512102076,-1.577079512102076
0.02,6,1.8912387774610553,-1.8912387774610553
0.02,7,2.205398042820035,-2.205398042820035
0.02,8,2.519557308179014,-2.519557308179014
0.03,-8,-2.5038493449110653,2.5038493449110653
0.03,-7,-2.189690079552086,2.189690079552086
0.03,-6,-1.8755308141931064,1.8755308141931064
0.03,-5,-1.561371548834127,1.561371548834127
0.03,-4,-1.247212283475148,1.247212283475148
0.03,-3,-0.9330530181161686,0.9330530181161686
0.03,-2,-0.6188937527571893,0.6188937527571893
0.03,-1,-0.3047344873982099,0.3047344873982099
0.03,0,0.00942477796076938,-0.00942477796076938
0.03,1,0.3235840433197487,-0.3235840433197487
0.03,2,0.637743308678728,-0.637743308678728
0.03,3,0.9519025740377073,-0.9519025740377073
0.03,4,1.2660618393966867,-1.2660618393966867
0.03,5,1.580221104755666,-1.580221104755666
0.03,6,1.8943803701146453,-1.8943803701146453
0.03,7,2.2085396354736244,-2.2085396354736244
0.03,8,2.5226989008326037,-2.5226989008326037
0.04,-8,-2.500707752257475,2.500707752257475
0.04,-7,-2.186548486898496,2.186548486898496
0.04,-6,-1.8723892215395166,1.8723892215395166
0.04,-5,-1.5582299561805373,1.5582299561805373
0.04,-4,-1.244070690821558,1.244070690821558
0.04,-3,-0.9299114254625788,0.9299114254625788
0.04,-2,-0.6157521601035995,0.6157521601035995
0.04,-1,-0.30159289474462014,0.30159289474462014
0.04,0,0.012566370614359173,-0.012566370614359173
0.04,1,0.3267256359733385,-0.3267256359733385
0.04,2,0.6408849013323178,-0.6408849013323178
0.04,3,0.9550441666912971,-0.9550441666912971
0.04,4,1.2692034320502765,-1.2692034320502765
0.04,5,1.5833626974092558,-1.5833626974092558
0.04,6,1.8975219627682351,-1.8975219627682351
0.04,7,2.2116812281272145,-2.2116812281272145
