orientation,width_chains,lambda_r_over_delta_so,lattice_rashba_over_t,trim_k_over_pi,bulk_valence_maximum_over_t,bulk_conduction_minimum_over_t,bulk_indirect_gap_over_t,in_gap_kramers_pair_count,selected_pair_energy_over_t,kramers_pair_residual_over_t,selected_pair_min_edge_weight,uniform_edge_weight_baseline,edge_weight_enrichment,classification,hermiticity_residual
zigzag,32,0.0,0.0,1.0,-0.15588457268119896,0.15588457268119896,0.3117691453623979,2,-1.0186476985737348e-16,1.9154059289420656e-17,0.9999872243012068,0.125,0.8749872243012068,edge_pair_resolved,0.0
armchair,56,0.0,0.0,0.0,-0.15588457268119896,0.15588457268119896,0.3117691453623979,2,-0.00022841558243435995,5.515878552520004e-17,0.8860200459541971,0.42857142857142855,0.4574486173827686,edge_pair_resolved,0.0
armchair,68,0.0,0.0,0.0,-0.15588457268119896,0.15588457268119896,0.3117691453623979,2,9.45465383141496e-05,9.64939933512099e-16,0.8857612174935969,0.35294117647058826,0.5328200410230086,edge_pair_resolved,0.0
armchair,80,0.0,0.0,0.0,-0.15588457268119896,0.15588457268119896,0.3117691453623979,2,3.7778974772885066e-05,1.2788842250824328e-16,0.8857312364499083,0.3,0.5857312364499083,edge_pair_resolved,0.0
zigzag,32,0.25,0.02598076211353316,1.0,-0.07794228634059948,0.15588457268119893,0.2338268590217984,2,-0.00013821386489963524,3.573801411055344e-16,0.9999974909768137,0.125,0.8749974909768137,edge_pair_resolved,0.0
armchair,56,0.25,0.02598076211353316,0.0,-0.07794228634059948,0.15588457268119893,0.2338268590217984,3,-0.006623224427061004,5.672545766444159e-16,0.8588220375317117,0.42857142857142855,0.43025060896028317,edge_pair_resolved,0.0
armchair,68,0.25,0.02598076211353316,0.0,-0.07794228634059948,0.15588457268119893,0.2338268590217984,3,-0.008283963405421686,1.5265566588595902e-16,0.8523569455294598,0.35294117647058826,0.4994157690588716,edge_pair_resolved,0.0
armchair,80,0.25,0.02598076211353316,0.0,-0.07794228634059948,0.15588457268119893,0.2338268590217984,4,-0.009060875569914046,1.7694179454963432e-16,0.8487703153652437,0.3,0.5487703153652437,edge_pair_resolved,0.0
zigzag,32,0.5,0.05196152422706632,1.0,9.15957113233483e-17,0.15588457268119887,0.1558845726811988,0,,,,0.125,,no_in_gap_kramers_pair,0.0
armchair,56,0.5,0.05196152422706632,0.0,9.15957113233483e-17,0.15588457268119887,0.1558845726811988,2,0.1542702916846103,1.6653345369377348e-16,0.43987105987500097,0.42857142857142855,0.011299631303572422,in_gap_pair_not_localized,0.0
armchair,68,0.5,0.05196152422706632,0.0,9.15957113233483e-17,0.15588457268119887,0.1558845726811988,2,0.12062860902656031,1.3877787807814457e-17,0.3333458858302851,0.35294117647058826,-0.01959529064030313,in_gap_pair_not_localized,0.0
armchair,80,0.5,0.05196152422706632,0.0,9.15957113233483e-17,0.15588457268119887,0.1558845726811988,2,0.09672463800728698,4.163336342344337e-17,0.2625902428110777,0.3,-0.03740975718892231,in_gap_pair_not_localized,0.0
zigzag,32,0.75,0.07794228634059948,1.0,0.07794228634059952,0.15588457268119882,0.0779422863405993,0,,,,0.125,,no_in_gap_kramers_pair,0.0
armchair,56,0.75,0.07794228634059948,0.0,0.07794228634059952,0.15588457268119882,0.0779422863405993,1,0.12023761704149219,2.636779683484747e-16,0.46483932593934274,0.42857142857142855,0.03626789736791419,in_gap_pair_not_localized,0.0
armchair,68,0.75,0.07794228634059948,0.0,0.07794228634059952,0.15588457268119882,0.0779422863405993,2,0.15528283883014904,3.885780586188048e-16,0.4007001836655526,0.35294117647058826,0.04775900719496434,in_gap_pair_not_localized,0.0
armchair,80,0.75,0.07794228634059948,0.0,0.07794228634059952,0.15588457268119882,0.0779422863405993,1,0.11827182574407469,9.71445146547012e-17,0.3342862714016174,0.3,0.034286271401617385,in_gap_pair_not_localized,0.0
zigzag,32,0.95,0.098726896031426,1.0,0.14029611541307896,0.15588457268119887,0.015588457268119915,0,,,,0.125,,no_in_gap_kramers_pair,0.0
armchair,56,0.95,0.098726896031426,0.0,0.14029611541307896,0.15588457268119887,0.015588457268119915,0,,,,0.42857142857142855,,no_in_gap_kramers_pair,0.0
armchair,68,0.95,0.098726896031426,0.0,0.14029611541307896,0.15588457268119887,0.015588457268119915,0,,,,0.35294117647058826,,no_in_gap_kramers_pair,0.0
armchair,80,0.95,0.098726896031426,0.0,0.14029611541307896,0.15588457268119887,0.015588457268119915,1,0.15488563835016575,4.996003610813204e-16,0.3524088872399516,0.3,0.05240888723995163,edge_pair_resolved,0.0
zigzag,32,1.05,0.10911920087683928,1.0,0.15588457268119893,0.15588457268119896,2.7755575615628914e-17,0,,,,0.125,,no_in_gap_kramers_pair,0.0
armchair,56,1.05,0.10911920087683928,0.0,0.15588457268119893,0.15588457268119896,2.7755575615628914e-17,0,,,,0.42857142857142855,,no_in_gap_kramers_pair,0.0
armchair,68,1.05,0.10911920087683928,0.0,0.15588457268119893,0.15588457268119896,2.7755575615628914e-17,0,,,,0.35294117647058826,,no_in_gap_kramers_pair,0.0
armchair,80,1.05,0.10911920087683928,0.0,0.15588457268119893,0.15588457268119896,2.7755575615628914e-17,0,,,,0.3,,no_in_gap_kramers_pair,0.0
