n_spins,rate_tau0_over_tauq,kink_density_per_spin,n100_kzm_fit_density
50,0.001,2.569345131087086e-07,
50,0.0015,9.84152633414892e-06,
50,0.0025,0.00020639090053380826,
50,0.004,0.0011471995908290998,
50,0.006,0.00298585665493846,
50,0.01,0.006593193769870619,
50,0.015,0.010331928937158612,
50,0.025,0.01629573500499769,
50,0.04,0.02338666241106762,
50,0.06,0.030987806950456095,
50,0.09,0.04036157730447276,
50,0.13,0.051620693846307554,
50,0.18,0.0634744137652389,
50,0.25,0.07631121970948457,
50,0.4,0.10882307550080678,
60,0.001,5.348141700485994e-06,
60,0.0015,7.781529025663962e-05,
60,0.0025,0.0006657626129805351,
60,0.004,0.0022332275256450227,
60,0.006,0.004438166132436469,
60,0.01,0.008144844491107804,
60,0.015,0.011863182231476541,
60,0.025,0.01778297353875764,
60,0.04,0.024827989590713175,
60,0.06,0.032355863972360656,
60,0.09,0.04168021031063795,
60,0.13,0.052846676383923825,
60,0.18,0.06450327876012835,
60,0.25,0.07705546156939143,
60,0.4,0.10935197255265765,
70,0.001,3.6397588620141436e-05,
70,0.0015,0.00026644959873619906,
70,0.0025,0.001311295539737015,
70,0.004,0.003247352625925073,
70,0.006,0.005553117204886397,
70,0.01,0.009257433886639467,
70,0.015,0.012956900071646875,
70,0.025,0.01884564843796512,
70,0.04,0.025857531537504735,
70,0.06,0.033334180973245066,
70,0.09,0.0426224154907886,
70,0.13,0.0537223781258139,
70,0.18,0.06523818276661139,
70,0.25,0.07758706571605545,
70,0.4,0.109729768170518,
80,0.001,0.00012483335340008407,
80,0.0015,0.0005798234151530551,
80,0.0025,0.0019884461551404864,
80,0.004,0.004079355988395265,
80,0.006,0.0063996957859169925,
80,0.01,0.010091976431509575,
80,0.015,0.013777165505623403,
80,0.025,0.01964261891790906,
80,0.04,0.026629661504804652,
80,0.06,0.03406634025785256,
80,0.09,0.04332906938798884,
80,0.13,0.054379153858147664,
80,0.18,0.06578936107177596,
80,0.25,0.07798576641647331,
80,0.4,0.11001310877594347,
90,0.001,0.00028582476091970805,
90,0.0015,0.0009690323621505027,
90,0.0025,0.0026024092378875516,
90,0.004,0.004741826503036403,
90,0.006,0.0070590527857194085,
90,0.01,0.010741016932429974,
90,0.015,0.014415229336248917,
90,0.025,0.02026236199493901,
90,0.04,0.02723027237554346,
90,0.06,0.03463641503851335,
90,0.09,0.04387868910367272,
90,0.13,0.05488997994871361,
90,0.18,0.0662180545935926,
90,0.25,0.07829587029445059,
90,0.4,0.11023348153626007,
100,0.001,0.0005088875634697921,0.003239866875567196
100,0.0015,0.0013768875512010991,0.004099971390997055
100,0.0025,0.003124796794258087,0.005515757997652925
100,0.004,0.005274257967135647,0.007246607523535013
100,0.006,0.00758658736832316,0.009170402571888439
100,0.01,0.011260314228212049,0.012337091287675996
100,0.015,0.014925623055766512,0.015612283859266711
100,0.025,0.020758206489231882,0.021003458645460556
100,0.04,0.027710831643415354,0.027594361736903068
100,0.06,0.035092474101183,0.03491998221510873
100,0.09,0.04431838485894123,0.044190373726700476
100,0.13,0.055298640952363864,0.05470961470791765
100,0.18,0.06656100997240133,0.06608934717215321
100,0.25,0.0785439508763965,0.07997908451735712
100,0.4,0.11040977563342569,0.10507658889957561
