n_spins,tau_q_hbar_over_w_for_target_fidelity,tau_q_over_tau0_for_target_fidelity,fixed_tau_q_hbar_over_w,fixed_time_fidelity_exact,fixed_time_fidelity_lower,fixed_time_fidelity_upper,tau_q_power_fit,fixed_time_lzf_fit
10,11.522378227818578,23.044756455637156,200.0,0.9999960936092056,0.9999921873417793,0.9999960936162156,21.67091029005946,1.0
20,37.40522722309746,74.81045444619492,200.0,0.9999951176744478,0.9999902356100298,0.9999951176939003,77.51724433895217,0.9999999999998457
30,78.87314090552378,157.74628181104757,200.0,0.9999879986850019,0.9999760104354047,0.9999879987701297,163.37569727425694,0.9999979773683777
40,134.69276617492685,269.3855323498537,200.0,0.9990823881990372,0.9981651909215141,0.9990823983847538,277.2806074815017,0.9993732733015516
50,204.77334348208078,409.54668696416155,200.0,0.9896837817281234,0.9793703705487408,0.9896839267068137,417.9395906324414,0.9910848214515604
60,289.0333005366286,578.0666010732572,200.0,0.9600620495621216,0.9201251697596491,0.9600627280714215,584.3978713928085,0.9622880318662274
70,387.51967756504865,775.0393551300973,200.0,0.9082886132845863,0.8165769201182451,0.9082904410804349,775.9031927329802,0.9100195869671883
80,500.12777573700237,1000.2555514740047,200.0,0.8415708703771723,0.6831409254435897,0.8415745325064761,991.8378283562948,0.8417770239505016
90,630.5797755844142,1261.1595511688283,200.0,0.7686779079332441,0.5373543741636497,0.7686852153247732,1231.6796157885997,0.7670170778175095
100,776.6070873274824,1553.2141746549648,200.0,0.6961041056133768,0.3921949362928363,0.6961333545167258,1494.9775958805706,0.6927212613988687
