length,strength,samples,mean_r,stderr_r,sample_provenance
8,1.0,160,0.51951799494540751,0.0032926560517188685,measured_runtime_scaled_choice
8,2.0,160,0.52839733266023614,0.0030744528372286719,measured_runtime_scaled_choice
8,3.0,160,0.51481732268285674,0.0031861118315427627,measured_runtime_scaled_choice
8,4.0,160,0.4974037103337019,0.0033861232718579663,measured_runtime_scaled_choice
8,4.5,160,0.49077790069193189,0.0029580571527915542,measured_runtime_scaled_choice
8,5.0,160,0.48244866841999723,0.0033438737964010035,measured_runtime_scaled_choice
8,5.5,160,0.46905053292973076,0.0034926053852687359,measured_runtime_scaled_choice
8,6.0,160,0.46599731907300657,0.0034969233839283629,measured_runtime_scaled_choice
8,6.5,160,0.46221760944957407,0.003462158470224182,measured_runtime_scaled_choice
8,7.0,160,0.45641671022499153,0.0035345824159917099,measured_runtime_scaled_choice
8,7.5,160,0.44895942664118255,0.0032415481265511852,measured_runtime_scaled_choice
8,8.0,160,0.44293845609145394,0.0032550182467837373,measured_runtime_scaled_choice
8,9.0,160,0.44018078113457781,0.0033102860388903527,measured_runtime_scaled_choice
8,10.0,160,0.43574185155111966,0.0036228583689525929,measured_runtime_scaled_choice
8,11.0,160,0.42359146513686613,0.0032727412987487454,measured_runtime_scaled_choice
10,1.0,64,0.53052739604470212,0.0024679641347197341,measured_runtime_scaled_choice
10,2.0,64,0.53200669612108575,0.002239727525090269,measured_runtime_scaled_choice
10,3.0,64,0.52361789512373946,0.0021419563790415963,measured_runtime_scaled_choice
10,4.0,64,0.49692787261443266,0.0032728673581992069,measured_runtime_scaled_choice
10,4.5,64,0.48573482857369643,0.0031446792736013148,measured_runtime_scaled_choice
10,5.0,64,0.47334889162132759,0.00333860483408144,measured_runtime_scaled_choice
10,5.5,64,0.45739374555326046,0.0030416273419670986,measured_runtime_scaled_choice
10,6.0,64,0.45715074223500707,0.0032031804477720303,measured_runtime_scaled_choice
10,6.5,64,0.44583758364318932,0.0031185159995497495,measured_runtime_scaled_choice
10,7.0,64,0.43567157502534526,0.0028289613478987116,measured_runtime_scaled_choice
10,7.5,64,0.43790918281548458,0.00322223881635919,measured_runtime_scaled_choice
10,8.0,64,0.42982482128920863,0.0029805236978533928,measured_runtime_scaled_choice
10,9.0,64,0.42975294754583149,0.0032397690063081393,measured_runtime_scaled_choice
10,10.0,64,0.41630331148581523,0.003051870985259704,measured_runtime_scaled_choice
10,11.0,64,0.41545676122947156,0.0033337946110804568,measured_runtime_scaled_choice
12,1.0,32,0.53075250674866936,0.0022427554942757288,measured_runtime_scaled_choice
12,2.0,32,0.53105850525299736,0.0017109933125058715,measured_runtime_scaled_choice
12,3.0,32,0.52787837218843281,0.0018688907653423351,measured_runtime_scaled_choice
12,4.0,32,0.50911637156414657,0.0027651536599417274,measured_runtime_scaled_choice
12,4.5,32,0.4894346554467417,0.0036574737527235186,measured_runtime_scaled_choice
12,5.0,32,0.47417378491099965,0.0035301188891714674,measured_runtime_scaled_choice
12,5.5,32,0.46602762430026745,0.0046183275895803873,measured_runtime_scaled_choice
12,6.0,32,0.44782594277137056,0.0026434268118088987,measured_runtime_scaled_choice
12,6.5,32,0.44633132763763389,0.0034436672428905784,measured_runtime_scaled_choice
12,7.0,32,0.43761732666804187,0.0032084759529970915,measured_runtime_scaled_choice
12,7.5,32,0.42329545440576011,0.0028073724049063899,measured_runtime_scaled_choice
12,8.0,32,0.41766196777002224,0.0029652576280863097,measured_runtime_scaled_choice
12,9.0,32,0.40818752464227825,0.0028435021813196792,measured_runtime_scaled_choice
12,10.0,32,0.40780436454898811,0.0031337143617222534,measured_runtime_scaled_choice
12,11.0,32,0.40276262310298905,0.0021958766580747291,measured_runtime_scaled_choice
14,1.0,2,0.52862454090824196,0.0051791429227697802,measured_runtime_scaled_choice
14,2.0,2,0.52672607977787045,0.00069698450092737152,measured_runtime_scaled_choice
14,3.0,2,0.53277173845205761,0.0023841603666119684,measured_runtime_scaled_choice
14,4.0,2,0.51930388694759422,0.01040708724827388,measured_runtime_scaled_choice
14,4.5,2,0.50178085201715317,0.013311779948783787,measured_runtime_scaled_choice
14,5.0,2,0.47949909531716217,0.012233268964602747,measured_runtime_scaled_choice
14,5.5,2,0.48769656915314086,0.012826333045809428,measured_runtime_scaled_choice
14,6.0,2,0.46801251197373361,0.0024159246238637808,measured_runtime_scaled_choice
14,6.5,2,0.46095929297516736,0.012917228204819305,measured_runtime_scaled_choice
14,7.0,2,0.43469801962617594,0.0027287340730084231,measured_runtime_scaled_choice
14,7.5,2,0.44429439907292195,0.010734163745711289,measured_runtime_scaled_choice
14,8.0,2,0.40450227311055409,0.0016100105381554276,measured_runtime_scaled_choice
14,9.0,2,0.40209545436803906,0.0038002572108885063,measured_runtime_scaled_choice
14,10.0,2,0.39473668359582875,0.0010405165292301439,measured_runtime_scaled_choice
14,11.0,2,0.39979703002504868,0.009927056751811672,measured_runtime_scaled_choice
