N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
1.0000001,0.0,0,5.855855063600185,0.0,True,True,riccati_shooting
1.000001,0.0,0,5.33516396859943,0.0,True,True,riccati_shooting
1.00001,0.0,0,4.779578922239999,0.0,True,True,riccati_shooting
1.0001,0.0,0,4.175337542131435,0.0,True,True,riccati_shooting
1.001,0.0,0,3.4947544794904317,0.0,True,True,riccati_shooting
1.01,0.0,0,2.6797499439630865,0.0,True,True,riccati_shooting
1.02,0.0,0,2.3962902359793947,0.0,True,True,riccati_shooting
1.04,0.0,0,2.0951079281588636,0.0,True,True,riccati_shooting
1.06,0.0,0,1.913267115090469,3.5584684219636234e-13,True,True,real_axis_fd
1.06,0.0,1,3.1215347075952415,-1.9277269521365479,False,True,real_axis_fd
1.06,0.0,2,3.1215347075970032,1.927726952137649,False,True,real_axis_fd
1.06,0.0,3,4.019378376190136,3.3755635371836967,False,True,real_axis_fd
1.06,0.0,4,4.019378376218301,-3.3755635371838375,False,True,real_axis_fd
1.06,0.0,5,4.808897474682745,-4.62184161487874,False,True,real_axis_fd
1.06,0.0,6,4.808897474863613,4.621841615148227,False,True,real_axis_fd
1.06,0.0,7,5.5324950135038815,-5.747766780957628,False,True,real_axis_fd
1.06,0.0,8,5.532495014739151,5.747766779656703,False,True,real_axis_fd
1.06,0.0,9,6.499384291905933,6.702721708907174,False,True,real_axis_fd
1.06,0.0,10,6.499384322796215,-6.702722367374052,False,True,real_axis_fd
1.06,0.0,11,7.795939570006164,-6.620681273561852,False,True,real_axis_fd
1.06,0.0,12,7.795939851648741,6.62068116387472,False,True,real_axis_fd
1.06,0.0,13,9.14887544580677,6.490011357883268,False,True,real_axis_fd
1.08,0.0,0,1.7835849835623296,3.0004483213558466e-13,True,True,real_axis_fd
1.08,0.0,1,3.1464741035144375,1.8806793426577437,False,True,real_axis_fd
1.08,0.0,2,3.1464741035154673,-1.8806793426530775,False,True,real_axis_fd
1.08,0.0,3,4.130624829948469,-3.3336174819371154,False,True,real_axis_fd
1.08,0.0,4,4.130624829974476,3.333617481938073,False,True,real_axis_fd
1.08,0.0,5,4.990300007079993,4.591104532199895,False,True,real_axis_fd
1.08,0.0,6,4.990300007155554,-4.591104532304729,False,True,real_axis_fd
1.08,0.0,7,5.777010019494272,-5.731275848706507,False,True,real_axis_fd
1.08,0.0,8,5.777010019521957,5.731275848832802,False,True,real_axis_fd
1.08,0.0,9,6.54463716123879,-6.7990144618508666,False,True,real_axis_fd
1.08,0.0,10,6.544637206964135,6.799014430751694,False,True,real_axis_fd
1.08,0.0,11,8.026166075460525,7.023050794889544,False,True,real_axis_fd
1.08,0.0,12,8.026168300023489,-7.023050643220836,False,True,real_axis_fd
1.08,0.0,13,9.388046960960207,-6.8925251314113485,False,True,real_axis_fd
1.1,0.0,0,1.6836757879386086,-6.078593700814761e-14,True,True,real_axis_fd
1.1,0.0,1,3.1838857000098026,-1.8253752003418329,False,True,real_axis_fd
1.1,0.0,2,3.1838857000139487,1.825375200340976,False,True,real_axis_fd
1.1,0.0,3,4.252636685214879,3.2813125907329335,False,True,real_axis_fd
1.1,0.0,4,4.2526366852198,-3.2813125907588545,False,True,real_axis_fd
1.1,0.0,5,5.1822581768320966,4.548461013555271,False,True,real_axis_fd
1.1,0.0,6,5.182258176931112,-4.548461013509378,False,True,real_axis_fd
1.1,0.0,7,6.032216246614567,-5.701129109105337,False,True,real_axis_fd
1.1,0.0,8,6.032216247225813,5.701129109516271,False,True,real_axis_fd
1.1,0.0,9,6.830990791390489,6.772661926841059,False,True,real_axis_fd
1.1,0.0,10,6.830990793407892,-6.772661932028664,False,True,real_axis_fd
1.1,0.0,11,7.291557582787482,7.6951465901586324,False,True,real_axis_fd
1.1,0.0,12,8.27009904884386,7.4226727360067795,False,True,real_axis_fd
1.1,0.0,13,8.270122682112552,-7.422673509847917,False,True,real_axis_fd
1.12,0.0,0,1.6031545750842202,2.0296798632822504e-13,True,True,real_axis_fd
1.12,0.0,1,3.2278783991147004,-1.7638264878699161,False,True,real_axis_fd
1.12,0.0,2,3.227878399115636,1.7638264878695693,False,True,real_axis_fd
1.12,0.0,3,4.380583668890833,3.22054071483266,False,True,real_axis_fd
1.12,0.0,4,4.3805836688937205,-3.2205407148367877,False,True,real_axis_fd
1.12,0.0,5,5.380458906972709,4.495643318003999,False,True,real_axis_fd
1.12,0.0,6,5.380458906985469,-4.495643318004789,False,True,real_axis_fd
1.12,0.0,7,6.294369771016704,5.659289842660796,False,True,real_axis_fd
1.12,0.0,8,6.294369771153921,-5.65928984248723,False,True,real_axis_fd
1.12,0.0,9,7.149719931189924,-6.744460521965046,False,True,real_axis_fd
1.12,0.0,10,7.1497199328181935,6.744460521783899,False,True,real_axis_fd
1.12,0.0,11,7.869861570454778,7.842710174545291,False,True,real_axis_fd
1.12,0.0,12,7.869861579239523,-7.842710005571565,False,True,real_axis_fd
1.12,0.0,13,8.512921135272858,7.849976421933067,False,True,real_axis_fd
1.14,0.0,0,1.5363004931311766,2.8649734562175708e-15,True,True,real_axis_fd
1.14,0.0,1,3.2752840472543117,1.6970909583939684,False,True,real_axis_fd
1.14,0.0,2,3.275284047254599,-1.6970909583940044,False,True,real_axis_fd
1.14,0.0,3,4.511843212560081,-3.152301550298658,False,True,real_axis_fd
1.14,0.0,4,4.511843212563149,3.1523015503000247,False,True,real_axis_fd
1.14,0.0,5,5.582519749137823,4.433554176136464,False,True,real_axis_fd
1.14,0.0,6,5.582519749149381,-4.4335541761633595,False,True,real_axis_fd
1.14,0.0,7,6.561283287280238,-5.6065860952241175,False,True,real_axis_fd
1.14,0.0,8,6.561283287336632,5.606586095397062,False,True,real_axis_fd
1.14,0.0,9,7.477546970694359,6.703408824604588,False,True,real_axis_fd
1.14,0.0,10,7.477546970952283,-6.703408825584243,False,True,real_axis_fd
1.14,0.0,11,8.352047238492972,7.758634552151527,False,True,real_axis_fd
1.14,0.0,12,8.35204728626563,-7.758634519801392,False,True,real_axis_fd
1.14,0.0,13,8.914990816019127,8.347028693720485,False,True,real_axis_fd
1.16,0.0,0,1.4796091004516665,1.2454461422575123e-14,True,True,real_axis_fd
1.16,0.0,1,3.324180555780477,-1.6257846724403608,False,True,real_axis_fd
1.16,0.0,2,3.324180555781077,1.6257846724399592,False,True,real_axis_fd
1.16,0.0,3,4.644805937636686,-3.077194270324125,False,True,real_axis_fd
1.16,0.0,4,4.644805937640616,3.0771942703155184,False,True,real_axis_fd
1.16,0.0,5,5.786942602956067,4.362727121964386,False,True,real_axis_fd
1.16,0.0,6,5.78694260301314,-4.362727121966616,False,True,real_axis_fd
1.16,0.0,7,6.831524459197767,-5.543475661636941,False,True,real_axis_fd
1.16,0.0,8,6.831524459265029,5.54347566174464,False,True,real_axis_fd
1.16,0.0,9,7.810145227542554,6.650103021344077,False,True,real_axis_fd
1.16,0.0,10,7.810145227849307,-6.650103021666753,False,True,real_axis_fd
1.16,0.0,11,8.741342500837497,-7.701334630093811,False,True,real_axis_fd
1.16,0.0,12,8.741342502038858,7.70133463573447,False,True,real_axis_fd
1.16,0.0,13,9.471803789115633,8.628688127285324,False,True,real_axis_fd
1.18,0.0,0,1.4307713021259163,-1.0648600267006559e-14,True,True,real_axis_fd
1.18,0.0,1,3.3732957786155167,1.5502847046047483,False,True,real_axis_fd
1.18,0.0,2,3.3732957786162494,-1.5502847046047343,False,True,real_axis_fd
1.18,0.0,3,4.778394804660765,2.995613739373079,False,True,real_axis_fd
1.18,0.0,4,4.778394804666155,-2.995613739371724,False,True,real_axis_fd
1.18,0.0,5,5.9926926406317245,4.283509614157732,False,True,real_axis_fd
1.18,0.0,6,5.99269264063183,-4.283509614129434,False,True,real_axis_fd
1.18,0.0,7,7.104073028185963,-5.470244851149914,False,True,real_axis_fd
1.18,0.0,8,7.104073028339637,5.470244851150066,False,True,real_axis_fd
1.18,0.0,9,8.146214187744931,6.5850323985329124,False,True,real_axis_fd
1.18,0.0,10,8.146214188479977,-6.585032399477532,False,True,real_axis_fd
1.18,0.0,11,9.137025730482705,7.644825473315961,False,True,real_axis_fd
1.18,0.0,12,9.137025731085556,-7.644825465476037,False,True,real_axis_fd
1.18,0.0,13,10.051153526250456,8.678788201411985,False,True,real_axis_fd
1.2,0.0,0,1.3881822667329802,-1.9301504746656996e-14,True,True,real_axis_fd
1.2,0.0,1,3.4217288115240483,1.4708187832825064,False,True,real_axis_fd
1.2,0.0,2,3.4217288115244315,-1.470818783282218,False,True,real_axis_fd
1.2,0.0,3,4.9118410995267485,-2.9078412720725684,False,True,real_axis_fd
1.2,0.0,4,4.911841099533887,2.9078412720688447,False,True,real_axis_fd
1.2,0.0,5,6.199001992095939,4.196147233893909,False,True,real_axis_fd
1.2,0.0,6,6.199001992122757,-4.196147233895829,False,True,real_axis_fd
1.2,0.0,7,7.378148917365362,-5.387087516069388,False,True,real_axis_fd
1.2,0.0,8,7.378148917408158,5.387087515999875,False,True,real_axis_fd
1.2,0.0,9,8.484950514879563,6.508383632628923,False,True,real_axis_fd
1.2,0.0,10,8.4849505153031,-6.508383632057752,False,True,real_axis_fd
1.2,0.0,11,9.53798533484788,-7.576283982653309,False,True,real_axis_fd
1.2,0.0,12,9.537985337397307,7.576283980580992,False,True,real_axis_fd
1.2,0.0,13,10.547355498683395,-8.606513779060446,False,True,real_axis_fd
1.22,0.0,0,1.3506802054802867,-1.4879933252122373e-14,True,True,real_axis_fd
1.22,0.0,1,3.468805407413253,-1.3875051423133156,False,True,real_axis_fd
1.22,0.0,2,3.468805407413771,1.3875051423135871,False,True,real_axis_fd
1.22,0.0,3,5.044568711878491,-2.8140914679896922,False,True,real_axis_fd
1.22,0.0,4,5.044568711881912,2.8140914679880873,False,True,real_axis_fd
1.22,0.0,5,6.4052681190489515,4.100826555228489,False,True,real_axis_fd
1.22,0.0,6,6.405268119064959,-4.100826555253774,False,True,real_axis_fd
1.22,0.0,7,7.6531208842747995,-5.2941447013338285,False,True,real_axis_fd
1.22,0.0,8,7.653120884278963,5.294144701440739,False,True,real_axis_fd
1.22,0.0,9,8.825696992807401,-6.4202519577729555,False,True,real_axis_fd
1.22,0.0,10,8.825696992922786,6.420251957346219,False,True,real_axis_fd
1.22,0.0,11,9.942407374638577,7.494658299515393,False,True,real_axis_fd
1.22,0.0,12,9.942407376720332,-7.494658300249585,False,True,real_axis_fd
1.22,0.0,13,11.015350312915968,-8.528005207485249,False,True,real_axis_fd
1.24,0.0,0,1.3173965247388582,-3.043712038586498e-14,True,True,real_axis_fd
1.24,0.0,1,3.5139969744308153,1.3003654844686603,False,True,real_axis_fd
1.24,0.0,2,3.5139969744311985,-1.3003654844682633,False,True,real_axis_fd
1.24,0.0,3,5.176129464987766,-2.7145387275200563,False,True,real_axis_fd
1.24,0.0,4,5.176129464990769,2.7145387275228754,False,True,real_axis_fd
1.24,0.0,5,6.610996847863724,-3.9976986661982195,False,True,real_axis_fd
1.24,0.0,6,6.610996847870506,3.997698666188586,False,True,real_axis_fd
1.24,0.0,7,7.928455149996301,-5.191526411205772,False,True,real_axis_fd
1.24,0.0,8,7.928455150022197,5.191526411176363,False,True,real_axis_fd
1.24,0.0,9,9.167883301536676,6.320700800738323,False,True,real_axis_fd
1.24,0.0,10,9.167883301900762,-6.3207008006983205,False,True,real_axis_fd
1.24,0.0,11,10.349492344463474,-7.399952583140527,False,True,real_axis_fd
1.24,0.0,12,10.349492346702496,7.399952583695695,False,True,real_axis_fd
1.24,0.0,13,11.485590663933207,8.438944816779593,False,True,real_axis_fd
1.26,0.0,0,1.2876646546821853,-7.560570206867614e-14,True,True,real_axis_fd
1.26,0.0,1,3.5568726017450554,-1.209318444745442,False,True,real_axis_fd
1.26,0.0,2,3.5568726017453676,1.209318444745558,False,True,real_axis_fd
1.26,0.0,3,5.306164489284191,-2.609333698800853,False,True,real_axis_fd
1.26,0.0,4,5.306164489286958,2.6093336987978026,False,True,real_axis_fd
1.26,0.0,5,6.815768328507755,3.8868927902397457,False,True,real_axis_fd
1.26,0.0,6,6.815768328517889,-3.8868927902430213,False,True,real_axis_fd
1.26,0.0,7,8.203684842686146,-5.079324145033966,False,True,real_axis_fd
1.26,0.0,8,8.2036848427178,5.079324145025471,False,True,real_axis_fd
1.26,0.0,9,9.51099979802716,6.209778237088496,False,True,real_axis_fd
