N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
0.0,0.1875,0,-0.5669908825227283,1.298645937568202e-15,True,False,real_axis_fd
0.0,0.1875,1,0.2990201834831252,-7.477522857824121e-18,True,True,real_axis_fd
0.0,0.1875,2,1.1650169114137352,1.3306928517577117e-15,True,True,real_axis_fd
0.0,0.1875,3,2.030999300912793,-1.944589327363598e-16,True,True,real_axis_fd
0.0,0.1875,4,2.8969673516241934,-1.2526006060081664e-15,True,True,real_axis_fd
0.0,0.1875,5,3.7629210631921204,3.747942646341273e-17,True,True,real_axis_fd
0.0,0.1875,6,4.628860435259847,2.357977385066335e-16,True,True,real_axis_fd
0.0,0.1875,7,5.494785467471458,-1.078434837456945e-16,True,True,real_axis_fd
0.0,0.1875,8,6.360696159470782,4.196443823165714e-16,True,True,real_axis_fd
0.0,0.1875,9,7.2265925109012255,3.874132064193422e-17,True,True,real_axis_fd
0.0,0.1875,10,8.092474521406709,-1.5835172814087618e-16,True,True,real_axis_fd
0.0,0.1875,11,8.958342190630837,4.214076811754649e-18,True,True,real_axis_fd
0.02,0.1875,0,-0.5549537332721917,-6.138777819191602e-16,True,False,real_axis_fd
0.02,0.1875,1,0.2902873033205453,-1.1138564215144271e-14,True,True,real_axis_fd
0.02,0.1875,2,1.1567086687471329,-5.589811325636546e-17,True,True,real_axis_fd
0.02,0.1875,3,2.015707507187594,-8.541649623449393e-16,True,True,real_axis_fd
0.02,0.1875,4,2.881837027551084,-1.2787650545672445e-15,True,True,real_axis_fd
0.02,0.1875,5,3.7436094225111254,4.0664909976645445e-16,True,True,real_axis_fd
0.02,0.1875,6,4.609634959326319,-9.556958527631895e-16,True,True,real_axis_fd
0.02,0.1875,7,5.4725788226789644,1.759857286912444e-15,True,True,real_axis_fd
0.02,0.1875,8,6.3385423512376935,-5.974010849505529e-16,True,True,real_axis_fd
0.02,0.1875,9,7.202123520234069,9.1046909576106e-15,True,True,real_axis_fd
0.02,0.1875,10,8.068040336228364,3.299807678183688e-16,True,True,real_axis_fd
0.02,0.1875,11,8.932016197252725,-1.87667932688536e-14,True,True,real_axis_fd
0.04,0.1875,0,-0.5410729666145642,-1.421177204129401e-14,True,False,real_axis_fd
0.04,0.1875,1,0.2814959461600193,1.309846407254176e-15,True,True,real_axis_fd
0.04,0.1875,2,1.1494254993882742,-3.8650234953981476e-15,True,True,real_axis_fd
0.04,0.1875,3,2.0006306817990342,-1.4351190835870276e-15,True,True,real_axis_fd
0.04,0.1875,4,2.8673775751199173,1.2243121378054704e-14,True,True,real_axis_fd
0.04,0.1875,5,3.724488092433875,-1.5700397546713406e-15,True,True,real_axis_fd
0.04,0.1875,6,4.590869932006712,2.4584501985525873e-15,True,True,real_axis_fd
0.04,0.1875,7,5.450492796537299,-6.759174181482822e-15,True,True,real_axis_fd
0.04,0.1875,8,6.316694295228672,-1.2873467345168715e-14,True,True,real_axis_fd
0.04,0.1875,9,7.177697593752395,1.3291377880198757e-14,True,True,real_axis_fd
0.04,0.1875,10,8.043786808327276,1.5795843108296782e-14,True,True,real_axis_fd
0.04,0.1875,11,8.905656712440507,-3.313209122676576e-14,True,True,real_axis_fd
0.06,0.1875,0,-0.5251434642386634,2.4125625784764485e-14,True,False,real_axis_fd
0.06,0.1875,1,0.2725291845250353,6.813917358662427e-15,True,True,real_axis_fd
0.06,0.1875,2,1.1433077558311502,-1.9503241148705414e-15,True,True,real_axis_fd
0.06,0.1875,3,1.9857571398958758,5.062002862104951e-15,True,True,real_axis_fd
0.06,0.1875,4,2.8536948318173287,-1.6549016179548276e-14,True,True,real_axis_fd
0.06,0.1875,5,3.705573548471885,-1.0407037139666583e-15,True,True,real_axis_fd
0.06,0.1875,6,4.572657468698102,-3.7255816299244995e-15,True,True,real_axis_fd
0.06,0.1875,7,5.4285563210382,3.92153842059011e-15,True,True,real_axis_fd
0.06,0.1875,8,6.295236719024455,-4.506309011175097e-15,True,True,real_axis_fd
0.06,0.1875,9,7.153350352244452,3.013681749636472e-16,True,True,real_axis_fd
0.06,0.1875,10,8.019793821954941,1.8526925565653235e-14,True,True,real_axis_fd
0.06,0.1875,11,8.879303276828571,-4.910294009486401e-14,True,True,real_axis_fd
0.08,0.1875,0,-0.5069189603404878,2.993293891183687e-14,True,False,real_axis_fd
0.08,0.1875,1,0.2632287549691599,-6.004275576079397e-15,True,True,real_axis_fd
0.08,0.1875,2,1.1385193850080033,3.753538557184296e-14,True,True,real_axis_fd
0.08,0.1875,3,1.9710624348601269,1.7371740535264924e-14,True,True,real_axis_fd
0.08,0.1875,4,2.8409109921777125,7.606184656385125e-15,True,True,real_axis_fd
0.08,0.1875,5,3.6868760524636817,-1.004575066617344e-15,True,True,real_axis_fd
0.08,0.1875,6,4.555103045104917,1.432712509352601e-15,True,True,real_axis_fd
0.08,0.1875,7,5.406795119240518,-5.658775026640037e-15,True,True,real_axis_fd
0.08,0.1875,8,6.274266199352539,-1.1625441288570745e-14,True,True,real_axis_fd
0.08,0.1875,9,7.129116007602112,-2.0164951779342343e-14,True,True,real_axis_fd
0.08,0.1875,10,7.996152240493814,-7.606706829291469e-15,True,True,real_axis_fd
