a,gamma,momentum_shift,block_length,n_sites,covariance_frobenius_error,entropy_absolute_error_bits
0.8,1.0,0.0,2,32,0.00013382032513948856,0.00010610810394229286
0.8,1.0,0.0,2,64,7.59489586292794e-08,6.148387687865409e-08
0.8,1.0,0.0,2,128,3.390381905508828e-14,2.4980018054066022e-14
0.8,1.0,0.0,2,256,7.850462293418876e-17,1.6653345369377348e-15
0.8,1.0,0.0,2,512,0.0,0.0
0.8,1.0,0.0,2,1024,7.850462293418876e-17,2.220446049250313e-16
0.8,1.0,0.0,4,32,0.0003015663090585757,0.00017908014431722297
0.8,1.0,0.0,4,64,1.690925021310073e-07,1.0785608794972035e-07
0.8,1.0,0.0,4,128,7.509679982982357e-14,5.573319583618286e-14
0.8,1.0,0.0,4,256,2.1876782011535153e-16,8.770761894538737e-15
0.8,1.0,0.0,4,512,1.724981670649946e-16,3.3306690738754696e-15
0.8,1.0,0.0,4,1024,2.1854762094519229e-16,1.7763568394002505e-15
0.8,1.0,0.0,6,32,0.0005447234045053788,0.00025091409267985476
0.8,1.0,0.0,6,64,3.002146137984424e-07,1.5752475124308774e-07
0.8,1.0,0.0,6,128,1.3222177232083955e-13,7.360778653264788e-14
0.8,1.0,0.0,6,256,3.6135584986195336e-16,8.881784197001252e-15
0.8,1.0,0.0,6,512,3.127124764480335e-16,6.8833827526759706e-15
0.8,1.0,0.0,6,1024,3.288113323062915e-16,1.4654943925052066e-14
0.8,1.0,0.5,2,32,0.00013366844124055522,0.00010594811359299072
0.8,1.0,0.5,2,64,7.594889081087328e-08,6.148381115345103e-08
0.8,1.0,0.5,2,128,3.396084944957071e-14,2.842170943040401e-14
0.8,1.0,0.5,2,256,1.5700924586837752e-16,3.3306690738754696e-16
0.8,1.0,0.5,2,512,7.850462293418876e-17,1.6653345369377348e-15
0.8,1.0,0.5,2,1024,7.850462293418876e-17,1.6653345369377348e-15
0.8,1.0,0.5,4,32,0.000301228251267848,0.0001786393273798259
0.8,1.0,0.5,4,64,1.690923519516623e-07,1.0785591564310693e-07
0.8,1.0,0.5,4,128,7.512767379050588e-14,5.573319583618286e-14
0.8,1.0,0.5,4,256,3.2084412964475094e-16,4.440892098500626e-16
0.8,1.0,0.5,4,512,2.1677797545656835e-16,4.440892098500626e-16
0.8,1.0,0.5,4,1024,1.9453668910313342e-16,2.6645352591003757e-15
0.8,1.0,0.5,6,32,0.0005441233707012945,0.0002497632407566508
0.8,1.0,0.5,6,64,3.002143494056555e-07,1.575243352425204e-07
0.8,1.0,0.5,6,128,1.3236883234293773e-13,8.315570454442422e-14
0.8,1.0,0.5,6,256,4.36213111340614e-16,1.0769163338864018e-14
0.8,1.0,0.5,6,512,3.3350030627926397e-16,5.551115123125783e-16
0.8,1.0,0.5,6,1024,3.153572696217671e-16,8.881784197001252e-16
1.0,1.0,0.5,2,32,0.0012549605054117034,0.0014533865591891404
1.0,1.0,0.5,2,64,0.00031327635503435464,0.00036294940197001413
1.0,1.0,0.5,2,128,7.828995976318515e-05,9.071233561830372e-05
1.0,1.0,0.5,2,256,1.957046045302374e-05,2.2676278054523102e-05
1.0,1.0,0.5,2,512,4.8922783213811786e-06,5.668713372708467e-06
1.0,1.0,0.5,2,1024,1.22283856609349e-06,1.4169127986463081e-06
1.0,1.0,0.5,4,32,0.004832966167631112,0.00612451007627679
1.0,1.0,0.5,4,64,0.0012014174811005687,0.0015250327589331203
1.0,1.0,0.5,4,128,0.0002999312349638544,0.00038087978707923575
1.0,1.0,0.5,4,256,7.495562312692003e-05,9.519533002211311e-05
1.0,1.0,0.5,4,512,1.8736403580114414e-05,2.3796273548537528e-05
1.0,1.0,0.5,4,1024,4.683140418290401e-06,5.947887198543e-06
1.0,1.0,0.5,6,32,0.010882109639125627,0.013982960393876587
1.0,1.0,0.5,6,64,0.0026864228467333353,0.003464589383761929
1.0,1.0,0.5,6,128,0.0006695185321083926,0.00086423881421549
1.0,1.0,0.5,6,256,0.00016724809288749283,0.00021593872344638498
1.0,1.0,0.5,6,512,4.180201892770642e-05,5.397481283409e-05
1.0,1.0,0.5,6,1024,1.044808569182138e-05,1.3490770218727022e-05
