model,block_length,larger_block_length,minimum_margin,worst_partial_sum_index,normalization_error,tolerance,passed
critical_ising,2,4,1.35251365662725e-10,15,0,1e-10,true
critical_ising,3,5,3.33066907387547e-16,31,2.22044604925031e-16,1e-10,true
critical_ising,4,6,1.11022302462516e-16,53,1.11022302462516e-16,1e-10,true
critical_ising,5,7,0,69,0,1e-10,true
critical_ising,6,8,0,93,0,1e-10,true
critical_ising,7,9,3.33066907387547e-16,109,3.33066907387547e-16,1e-10,true
critical_ising,8,10,4.44089209850063e-16,125,4.44089209850063e-16,1e-10,true
critical_ising,9,11,6.66133814775094e-16,137,6.66133814775094e-16,1e-10,true
critical_ising,10,12,-4.44089209850063e-16,152,4.44089209850063e-16,1e-10,true
critical_xx,2,4,6.42135594686177e-06,15,1.11022302462516e-16,1e-10,true
critical_xx,3,5,1.55277054547653e-08,31,0,1e-10,true
critical_xx,4,6,5.38036282193843e-12,63,5.55111512312578e-16,1e-10,true
critical_xx,5,7,1.11022302462516e-16,127,6.66133814775094e-16,1e-10,true
critical_xx,6,8,7.7715611723761e-16,237,7.7715611723761e-16,1e-10,true
critical_xx,7,9,1.77635683940025e-15,398,1.77635683940025e-15,1e-10,true
critical_xx,8,10,9.99200722162641e-16,567,9.99200722162641e-16,1e-10,true
critical_xx,9,11,-1.11022302462516e-15,752,1.11022302462516e-15,1e-10,true
critical_xx,10,12,-3.33066907387547e-16,942,3.33066907387547e-16,1e-10,true
