a,distance_from_criticality,block_length,scaled_coordinate_l_times_distance,entropy_bits,entropy_minus_log2_l_over_6
0.8,0.19999999999999996,5,0.9999999999999998,0.6434460892210181,0.2564580734064577
0.8,0.19999999999999996,10,1.9999999999999996,0.6583217094929648,0.10466702701173769
0.8,0.19999999999999996,20,3.999999999999999,0.6595309816286914,-0.060790367519202415
0.8,0.19999999999999996,40,7.999999999999998,0.6595409609434854,-0.22744705487107508
0.8,0.19999999999999996,60,11.999999999999996,0.6595409618874655,-0.32494080404728765
0.9,0.09999999999999998,10,0.9999999999999998,0.8977201711528047,0.3440654886715776
0.9,0.09999999999999998,20,1.9999999999999996,0.9148482377533147,0.1945268886054209
0.9,0.09999999999999998,40,3.999999999999999,0.9164338640106225,0.029445848196062108
0.9,0.09999999999999998,80,7.999999999999998,0.916450668664792,-0.1372040138164352
0.9,0.09999999999999998,120,11.999999999999996,0.9164506712770337,-0.23469776132438613
0.95,0.050000000000000044,20,1.0000000000000009,1.1197482311625082,0.3994268820146144
0.95,0.050000000000000044,40,2.0000000000000018,1.137990645612736,0.25100262979817556
0.95,0.050000000000000044,80,4.0000000000000036,1.139782438874386,0.08612775639315884
0.95,0.050000000000000044,160,8.000000000000007,1.1398036769688649,-0.08051767217902883
0.95,0.050000000000000044,240,12.00000000000001,1.1398036810913865,-0.17801141817669985
0.975,0.025000000000000022,40,1.0000000000000009,1.3199558896149657,0.43296787380040525
0.975,0.025000000000000022,80,2.0000000000000018,1.338754749736025,0.28510006725479786
0.975,0.025000000000000022,160,4.0000000000000036,1.3406540102678683,0.12033266111997465
0.975,0.025000000000000022,320,8.000000000000007,1.3406777499112723,-0.046310265903287906
0.975,0.025000000000000022,480,12.00000000000001,1.3406777550306195,-0.14380401090413342
